registry_close,amount,currency,source,registry_close_source
2010-06-22,3.441923,RUB,skill_fill_yahoo,yahoo_ex_div
2020-09-11,5.0,RUB,moex_iss,
2021-07-11,4.0,RUB,skill_fill_dohod,
2021-07-11,5.0,RUB,moex_iss,
2021-09-21,4.0,RUB,moex_iss,
2021-12-20,4.0,RUB,moex_iss,
2022-07-11,8.0,RUB,moex_iss,
2022-09-11,15.0,RUB,moex_iss,
2022-12-18,15.0,RUB,moex_iss,
2023-07-11,10.0,RUB,moex_iss,
2023-09-22,16.0,RUB,moex_iss,
2023-12-09,19.0,RUB,moex_iss,
2024-07-08,10.0,RUB,moex_iss,
2024-10-06,10.0,RUB,moex_iss,
2024-12-02,20.0,RUB,moex_iss,
2025-07-07,10.0,RUB,moex_iss,
