registry_close,amount,currency,source,registry_close_source
2014-11-20,34.44,RUB,skill_fill_yahoo,yahoo_ex_div
2014-11-21,11.16,RUB,skill_fill_tbank,tbank_reestr
2014-11-21,23.28,RUB,skill_fill_tbank,tbank_reestr
2015-04-15,54.6,RUB,skill_fill_yahoo,yahoo_ex_div
2015-10-07,22.75,RUB,skill_fill_yahoo,yahoo_ex_div
2016-05-03,22.75,RUB,manual_disclosure,
2017-05-01,13.65,RUB,manual_disclosure,
2017-10-05,59.82,RUB,skill_fill_yahoo,yahoo_ex_div
2018-04-03,75.07,RUB,moex_iss,
2018-10-08,20.48,RUB,moex_iss,
2019-04-07,101.63,RUB,moex_iss,
2019-10-07,48.79,RUB,moex_iss,
2020-04-07,60.92,RUB,moex_iss,
2020-10-05,48.79,RUB,moex_iss,
2021-04-05,13.58,RUB,skill_fill_dohod,
2021-04-05,120.42,RUB,moex_iss,
2021-10-03,85.27,RUB,moex_iss,
2022-12-12,148.05,RUB,moex_iss,
2023-10-01,118.43,RUB,moex_iss,
2024-04-07,205.38,RUB,moex_iss,
2024-09-29,142.11,RUB,moex_iss,
2025-04-07,98.92,RUB,moex_iss,
2026-04-07,229.37,RUB,skill_fill_yahoo,yahoo_ex_div
