registry_close,amount,currency,source,registry_close_source
2010-05-03,4.42,RUB,manual_disclosure,
2011-05-13,10.34,RUB,manual_disclosure,
2012-05-04,18.86,RUB,manual_disclosure,
2013-04-19,22.2,RUB,manual_disclosure,
2014-04-28,22.28,RUB,manual_disclosure,
2016-04-28,12.41,RUB,manual_disclosure,
2017-04-24,39.2,RUB,manual_disclosure,
2017-08-29,44.8,RUB,manual_disclosure,
2018-04-23,44.85,RUB,manual_disclosure,
2018-09-04,45.9,RUB,manual_disclosure,
2019-04-18,46.5,RUB,manual_disclosure,
2019-09-09,46.55,RUB,manual_disclosure,
2020-04-30,46.55,RUB,manual_disclosure,
2020-09-08,46.55,RUB,manual_disclosure,
2021-04-29,28.0,RUB,manual_disclosure,
2021-09-07,22.5,RUB,manual_disclosure,
