registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2007-05-15,120.0,RUB,skill_fill_tbank,tbank_reestr,100.0
2007-11-13,108.0,RUB,skill_fill_tbank,tbank_reestr,100.0
2008-05-26,112.00000000000001,RUB,skill_fill_tbank,tbank_reestr,100.0
2010-05-21,210.0,RUB,skill_fill_tbank,tbank_reestr,100.0
2010-05-24,217.39380000000003,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2011-05-16,180.0,RUB,skill_fill_tbank,tbank_reestr,100.0
2011-05-17,186.3375,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2012-05-23,202.90089999999998,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2012-05-24,196.0,RUB,skill_fill_tbank,tbank_reestr,100.0
2013-04-30,400.83000000000004,RUB,skill_fill_tbank,tbank_reestr,100.0
2013-05-02,414.9423,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2013-11-01,220.7,RUB,moex_iss,,
2014-06-17,248.48,RUB,moex_iss,,
2014-12-22,762.34,RUB,moex_iss,,
2015-05-25,670.04,RUB,moex_iss,,
2015-09-25,305.07,RUB,moex_iss,,
2015-12-30,321.95,RUB,moex_iss,,
2016-06-21,230.14,RUB,moex_iss,,
2016-12-28,444.25,RUB,moex_iss,,
2017-06-23,446.1,RUB,moex_iss,,
2017-10-19,224.2,RUB,moex_iss,,
2018-07-17,607.98,RUB,moex_iss,,
2018-09-28,803.3425,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2018-10-01,776.02,RUB,moex_iss,,
2019-06-21,792.52,RUB,moex_iss,,
2019-10-07,883.93,RUB,moex_iss,,
2019-12-27,604.09,RUB,moex_iss,,
2020-05-25,557.2,RUB,moex_iss,,
2020-12-24,623.35,RUB,moex_iss,,
2021-05-31,1057.1755,RUB,skill_fill_yahoo,yahoo_ex_div,100.0
2021-06-01,1021.22,RUB,moex_iss,,
2022-01-14,1523.17,RUB,moex_iss,,
2022-06-14,1166.22,RUB,moex_iss,,
2023-12-26,915.33,RUB,moex_iss,,
