registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2012-05-02,0.06,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-03-14,0.5353,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-05-12,0.3458,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-05-18,1.0105,RUB,skill_fill_yahoo,yahoo_ex_div,
2016-05-10,3.2261,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-04-20,5.0726,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-06-15,4.253,RUB,skill_fill_yahoo,yahoo_ex_div,
2019-05-06,7.792,RUB,moex_iss,,
2020-07-10,4.5468,RUB,moex_iss,,
2021-05-06,3.36,RUB,moex_iss,,
2021-09-20,5.745,RUB,moex_iss,,
2022-07-11,3.9741,RUB,moex_iss,,
2023-07-11,9.1,RUB,moex_iss,,
2024-07-09,6.22,RUB,moex_iss,,
2025-07-10,4.15,RUB,moex_iss,,
2026-06-29,2.85,RUB,skill_fill_tbank,tbank_reestr,
