registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2013-06-07,4.02,RUB,manual_disclosure,,
2014-05-23,2.53,RUB,manual_disclosure,,
2015-06-05,4.01,RUB,manual_disclosure,,
2016-04-22,6.66,RUB,manual_disclosure,,
2016-09-09,3.8,RUB,manual_disclosure,,
2017-04-28,4.5,RUB,manual_disclosure,,
2017-09-19,4.67,RUB,manual_disclosure,,
2018-04-25,6.0,RUB,manual_disclosure,,
2019-05-24,10.65,RUB,manual_disclosure,,
2020-09-16,18.5,RUB,manual_disclosure,,
2020-09-18,9.8,RUB,manual_disclosure,,
2021-05-05,19.0,RUB,manual_disclosure,,
2021-09-24,18.0,RUB,manual_disclosure,,
2022-11-07,8.55,RUB,manual_disclosure,,
2024-06-20,141.0,RUB,moex_iss,,
2024-09-09,22.0,RUB,moex_iss,,
2024-11-29,20.0,RUB,moex_iss,,
2025-05-19,22.0,RUB,moex_iss,,
2025-10-20,42.0,RUB,skill_fill_disclosure,,
