registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2004-05-03,12.13,RUB,skill_fill_dohod,,
2005-05-02,11.78,RUB,skill_fill_dohod,,
2007-05-12,39.77,RUB,skill_fill_dohod,,
2008-05-10,46.98,RUB,skill_fill_dohod,,
2009-05-08,20.16,RUB,skill_fill_dohod,,
2010-02-15,20.16,RUB,skill_fill_dohod,,
2010-05-11,49.44,RUB,skill_fill_dohod,,
2011-03-31,197.94,RUB,skill_fill_dohod,,
2014-07-09,78.1,RUB,skill_fill_dohod,,
2015-07-08,56.27,RUB,skill_fill_dohod,,
2016-07-18,222.0,RUB,skill_fill_dohod,,
2017-07-13,233.0,RUB,skill_fill_dohod,,
2018-07-12,231.0,RUB,moex_iss,,
2019-07-11,232.0,RUB,moex_iss,,
