registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2011-05-11,0.0028,RUB,skill_fill_dohod,,
2012-05-04,0.0028,RUB,skill_fill_dohod,,
2013-04-30,0.00179,RUB,skill_fill_dohod,,
2014-07-16,0.00102,RUB,skill_fill_dohod,,
2015-06-29,0.0058,RUB,skill_fill_dohod,,
2016-06-24,0.0142,RUB,skill_fill_dohod,,
2017-06-20,0.0083,RUB,skill_fill_dohod,,
2018-06-13,0.0216,RUB,skill_fill_dohod,,
2019-06-03,0.003,RUB,moex_iss,,
2020-01-14,0.0032,RUB,moex_iss,,
2020-06-09,0.0073,RUB,moex_iss,,
2022-06-28,0.0249,RUB,moex_iss,,
2023-01-08,0.01893,RUB,moex_iss,,
2023-06-23,0.00504,RUB,moex_iss,,
2024-06-14,0.0384,RUB,skill_fill_dohod,,
2024-06-14,0.05441,RUB,moex_iss,,
2025-07-07,0.03741,RUB,moex_iss,,
