registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-05-13,2.3,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-11,3.9,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-17,5.8,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-10-24,30.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-11-01,13.8,RUB,moex_iss,,
2014-07-04,20.0,RUB,moex_iss,,
2014-12-16,25.0,RUB,moex_iss,,
2015-06-29,27.0,RUB,moex_iss,,
2016-07-01,20.0,RUB,moex_iss,,
2019-12-16,33.37,RUB,moex_iss,,
2020-11-20,30.0,RUB,moex_iss,,
2021-05-18,38.0,RUB,moex_iss,,
2021-12-16,35.0,RUB,moex_iss,,
