registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-04-14,9.140740000000001,RUB,skill_fill_yahoo,yahoo_ex_div,10.0
2010-07-20,8.39215,RUB,skill_fill_yahoo,yahoo_ex_div,10.0
2011-04-13,11.08118,RUB,skill_fill_yahoo,yahoo_ex_div,10.0
2011-10-07,25.836380000000002,RUB,skill_fill_yahoo,yahoo_ex_div,10.0
2012-10-16,62.00535000000001,RUB,skill_fill_yahoo,yahoo_ex_div,10.0
2013-11-14,2.623,RUB,manual_disclosure,,
2017-07-17,152.41,RUB,moex_iss,,
2017-09-25,104.3,RUB,moex_iss,,
2018-06-10,147.12,RUB,moex_iss,,
2018-10-18,131.11,RUB,moex_iss,,
2019-05-16,143.62,RUB,moex_iss,,
2019-10-10,162.98,RUB,moex_iss,,
2020-08-28,244.75,RUB,moex_iss,,
2020-10-20,240.18,RUB,moex_iss,,
2021-06-07,387.15,RUB,moex_iss,,
2021-10-11,267.48,RUB,moex_iss,,
2024-12-13,1301.75,RUB,moex_iss,,
2025-04-25,73.0,RUB,moex_iss,,
2025-10-13,70.85,RUB,skill_fill_disclosure,,
2025-12-22,36.0,RUB,skill_fill_disclosure,,
2026-05-18,56.8,RUB,skill_fill_disclosure,,
