registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2011-06-02,1200.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-27,1600.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-06-10,60.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-10-08,880.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-11,160.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2016-08-26,200.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-07-07,500.0,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-07-03,500.0,RUB,moex_iss,,
2019-05-27,1000.0,RUB,moex_iss,,
2020-09-30,805.55,RUB,moex_iss,,
2021-05-25,901.0,RUB,moex_iss,,
2022-05-30,1310.0,RUB,moex_iss,,
2022-10-11,2400.0,RUB,moex_iss,,
2023-05-02,2400.0,RUB,moex_iss,,
2024-05-06,2000.0,RUB,moex_iss,,
