registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2013-12-02,10.59,RUB,manual_disclosure,,
2014-06-13,21.28,RUB,manual_disclosure,,
2014-08-18,16.71,RUB,manual_disclosure,,
2014-11-24,19.14,RUB,manual_disclosure,,
2015-05-26,13.37,RUB,manual_disclosure,,
2016-05-26,14.72,RUB,manual_disclosure,,
2016-08-29,14.52,RUB,manual_disclosure,,
2016-12-05,14.04,RUB,manual_disclosure,,
2017-03-29,34.27,RUB,manual_disclosure,,
2017-04-03,11.0,RUB,manual_disclosure,,
2017-05-29,12.5,RUB,manual_disclosure,,
2017-08-29,12.41,RUB,manual_disclosure,,
2019-05-28,18.2,RUB,manual_disclosure,,
2019-08-30,18.48,RUB,manual_disclosure,,
2019-12-02,17.8,RUB,manual_disclosure,,
2020-04-06,17.31,RUB,manual_disclosure,,
2020-06-02,10.04,RUB,manual_disclosure,,
2020-09-22,24.15,RUB,manual_disclosure,,
2020-12-01,26.0,RUB,manual_disclosure,,
2021-04-27,23.37,RUB,manual_disclosure,,
2021-06-22,16.2,RUB,manual_disclosure,,
2021-09-07,22.25,RUB,manual_disclosure,,
2021-12-06,22.44,RUB,manual_disclosure,,
