registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
1998-05-10,0.57362,RUB,skill_fill_tbank,tbank_reestr,
2000-05-08,0.8093,RUB,skill_fill_tbank,tbank_reestr,
2001-05-09,0.4243,RUB,skill_fill_tbank,tbank_reestr,
2002-04-14,0.919524,RUB,skill_fill_tbank,tbank_reestr,
2003-04-28,1.27472,RUB,skill_fill_tbank,tbank_reestr,
2004-05-11,3.25301,RUB,skill_fill_tbank,tbank_reestr,
2005-05-06,2.9738,RUB,skill_fill_tbank,tbank_reestr,
2006-05-05,3.7178,RUB,skill_fill_tbank,tbank_reestr,
2007-04-27,2.9589,RUB,skill_fill_tbank,tbank_reestr,
2008-04-22,3.8809,RUB,skill_fill_tbank,tbank_reestr,
2009-04-14,2.9124,RUB,skill_fill_tbank,tbank_reestr,
2010-05-11,2.1005,RUB,skill_fill_yahoo,yahoo_ex_div,
2010-09-22,1.6667,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-11,0.4344,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-04-27,4.6959,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-05-02,4.102198,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-14,4.85,RUB,moex_iss,,
2015-07-03,4.05,RUB,moex_iss,,
2016-07-08,5.92,RUB,moex_iss,,
2017-07-07,5.39,RUB,moex_iss,,
2018-07-08,5.045825249373,RUB,moex_iss,,
2019-01-13,2.5,RUB,moex_iss,,
2019-07-04,2.5,RUB,moex_iss,,
2020-08-21,5.0,RUB,moex_iss,,
2021-07-12,5.0,RUB,moex_iss,,
2022-07-20,4.56,RUB,moex_iss,,
2023-12-01,5.4465,RUB,moex_iss,,
2024-09-27,6.06,RUB,moex_iss,,
2025-08-13,6.25,RUB,moex_iss,,
