registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2008-03-14,0.82,RUB,skill_fill_tbank,tbank_reestr,
2009-05-15,1.326,RUB,skill_fill_tbank,tbank_reestr,
2010-05-17,1.0488,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-16,1.18,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-11,2.15,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-05-15,1.48,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-16,2.36,RUB,moex_iss,,
2015-07-16,8.21,RUB,moex_iss,,
2016-07-18,6.92,RUB,moex_iss,,
2017-07-19,0.6,RUB,moex_iss,,
2018-07-19,1.38,RUB,moex_iss,,
2019-07-18,7.62,RUB,moex_iss,,
2020-07-20,0.97,RUB,moex_iss,,
2021-07-20,6.72,RUB,moex_iss,,
2022-07-20,4.73,RUB,moex_iss,,
2023-07-20,0.8,RUB,moex_iss,,
2024-07-18,12.29,RUB,moex_iss,,
2025-07-17,8.5,RUB,moex_iss,,
2026-07-16,0.85,RUB,skill_fill_tbank,tbank_reestr,
