registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-04-22,0.009,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-04-15,0.06313,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-15,0.024085,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-04,0.0012,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-07-03,0.049681,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-06-29,0.022893,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-06-29,0.024348679,RUB,moex_iss,,
2019-07-02,0.024845,RUB,moex_iss,,
2020-08-24,0.028747,RUB,moex_iss,,
2021-07-05,0.0627653,RUB,moex_iss,,
2022-07-04,0.0846086,RUB,moex_iss,,
2023-07-05,0.1695389,RUB,moex_iss,,
2024-07-06,0.3121725,RUB,moex_iss,,
2025-07-06,0.4703035,RUB,moex_iss,,
