registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2004-10-01,1.0,RUB,skill_fill_tbank,tbank_reestr,
2006-05-15,1.0,RUB,skill_fill_tbank,tbank_reestr,
2008-05-13,5.65,RUB,skill_fill_yahoo,yahoo_ex_div,
2009-05-13,4.42,RUB,skill_fill_yahoo,yahoo_ex_div,
2010-02-01,6.56,RUB,manual_disclosure,,
2011-05-06,5.02,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-11,7.08,RUB,skill_fill_yahoo,yahoo_ex_div,
2013-05-14,8.6,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-14,8.23,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-07-13,10.58,RUB,skill_fill_yahoo,yahoo_ex_div,
2016-07-06,10.96,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-07-06,22.81,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-12-22,27.78,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-07-06,12.16,RUB,moex_iss,,
2018-10-12,30.27,RUB,moex_iss,,
2019-01-09,22.26,RUB,moex_iss,,
2019-07-05,32.38,RUB,moex_iss,,
2019-09-27,40.11,RUB,moex_iss,,
2019-12-30,24.36,RUB,moex_iss,,
2020-06-30,1.0,RUB,moex_iss,,
2020-10-12,9.94,RUB,moex_iss,,
2021-07-09,12.3,RUB,moex_iss,,
2021-10-12,16.52,RUB,moex_iss,,
2022-01-10,9.98,RUB,moex_iss,,
2022-07-08,16.14,RUB,moex_iss,,
2022-10-11,32.71,RUB,moex_iss,,
2023-01-10,6.86,RUB,moex_iss,,
2023-07-11,27.71,RUB,manual_disclosure,,
2023-10-11,27.54,RUB,moex_iss,,
2024-01-09,35.17,RUB,moex_iss,,
2024-07-04,25.17,RUB,moex_iss,,
2024-10-08,38.2,RUB,moex_iss,,
2025-01-08,17.39,RUB,moex_iss,,
2025-06-02,43.11,RUB,moex_iss,,
2025-10-14,14.35,RUB,skill_fill_yahoo,yahoo_ex_div,
2026-01-09,8.13,RUB,skill_fill_yahoo,yahoo_ex_div,
2026-07-15,11.61,RUB,skill_fill_tbank,tbank_reestr,
