registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-05-13,4.4e-05,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-11,4.7e-05,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-02,4.87e-05,RUB,manual_disclosure,,
2013-04-30,0.0001218,RUB,manual_disclosure,,
2014-07-03,0.000167,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-07-09,0.000225,RUB,skill_fill_yahoo,yahoo_ex_div,
2016-07-05,0.000243,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-07-06,0.000345,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-06-22,0.000489,RUB,skill_fill_yahoo,yahoo_ex_div,
2019-06-26,0.000644605,RUB,moex_iss,,
2020-07-07,0.001036523,RUB,moex_iss,,
2021-07-05,0.001070552,RUB,moex_iss,,
2022-07-18,0.001125376,RUB,moex_iss,,
2025-07-08,0.000828802,RUB,moex_iss,,
