registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2010-05-13,0.023,RUB,skill_fill_yahoo,yahoo_ex_div,
2011-05-24,0.019744,RUB,skill_fill_yahoo,yahoo_ex_div,
2012-05-23,0.034086,RUB,skill_fill_yahoo,yahoo_ex_div,
2014-07-04,0.0202,RUB,skill_fill_yahoo,yahoo_ex_div,
2015-07-09,0.015,RUB,skill_fill_yahoo,yahoo_ex_div,
2016-07-13,0.0962,RUB,skill_fill_yahoo,yahoo_ex_div,
2017-06-16,0.0276,RUB,skill_fill_yahoo,yahoo_ex_div,
2018-06-15,0.017202,RUB,skill_fill_yahoo,yahoo_ex_div,
2019-07-03,0.010955421,RUB,moex_iss,,
2020-01-14,0.0088,RUB,moex_iss,,
2020-06-17,0.0073,RUB,moex_iss,,
2022-12-17,0.0254,RUB,moex_iss,,
2023-06-30,0.0098,RUB,moex_iss,,
2024-06-27,0.0325,RUB,moex_iss,,
2025-06-23,0.021,RUB,moex_iss,,
