registry_close,amount,currency,source,registry_close_source,split_adjusted_back_by
2018-07-17,1163.74,RUB,moex_iss,,
2018-10-10,4054.09,RUB,moex_iss,,
2019-01-10,2173.72,RUB,moex_iss,,
2019-07-12,1971.74,RUB,moex_iss,,
2019-10-11,3010.1,RUB,moex_iss,,
2020-01-10,1319.19,RUB,moex_iss,,
2020-07-10,182.54,RUB,moex_iss,,
2020-10-14,1378.57,RUB,moex_iss,,
2021-01-14,806.73,RUB,moex_iss,,
2021-07-09,1022.48,RUB,moex_iss,,
2021-10-14,2520.28,RUB,moex_iss,,
2022-01-11,1611.56,RUB,moex_iss,,
2022-07-13,2581.53,RUB,moex_iss,,
2022-10-14,2479.81,RUB,moex_iss,,
2023-01-12,740.99,RUB,moex_iss,,
2024-01-10,303.2,RUB,moex_iss,,
2024-07-12,1636.53,RUB,moex_iss,,
2024-10-14,2378.96,RUB,moex_iss,,
2025-01-13,652.35,RUB,moex_iss,,
2025-07-14,2522.47,RUB,moex_iss,,
