date,open,high,low,close,volume,value,board
2017-12-14,234.95,234.95,232.1,232.4,23970,5595736.5,TQBR
2017-12-15,232.4,233.6,232.4,233.59,10540,2450308.4,TQBR
2017-12-18,233.6,233.89,233.6,233.89,8920,2084519.8,TQBR
2017-12-19,233.99,233.99,232.75,232.75,14070,3285256.2,TQBR
2017-12-20,232.75,233.49,232.55,232.55,5870,1366548.3,TQBR
2017-12-21,232.55,232.56,232.55,232.55,2470,574398.6,TQBR
2017-12-22,209.3,233.4,209.3,232.05,6690,1548433.4,TQBR
2017-12-25,232,232,231.34,231.34,9540,2210876.4,TQBR
2017-12-26,231.31,231.31,230.5,230.5,8750,2019387.6,TQBR
2017-12-27,229.5,229.5,227.7,228.49,14320,3277642.5,TQBR
2017-12-28,227.7,229.41,227.7,229.41,80,18233.1,TQBR
2017-12-29,227.91,229.62,227.91,229.56,690,157390.5,TQBR
2018-01-03,228,229.28,228,228.0,570,130021.2,TQBR
2018-01-04,228.5,228.5,227.7,227.7,3420,779347.8,TQBR
2018-01-09,227.77,227.77,227.7,227.7,2190,498741.3,TQBR
2018-01-10,227.63,227.63,227.63,227.63,790,179827.7,TQBR
2018-01-11,228.84,228.84,226.7,226.7,9380,2131961.6,TQBR
2018-01-12,227.84,227.84,226.35,226.35,5730,1297659.6,TQBR
2018-01-15,226.14,226.14,225.49,225.49,17650,3988066.4,TQBR
2018-01-16,225.21,226.26,225,225.0,7840,1765132.6,TQBR
2018-01-17,225,226,224.84,224.84,1760,396013.9,TQBR
2018-01-18,225,225.98,225,225.0,1950,438759.8,TQBR
2018-01-19,225,226,224.79,225.0,12750,2867755,TQBR
2018-01-22,225.99,226,224.93,225.0,2590,582773.6,TQBR
2018-01-23,226,226,222.21,222.21,350,77954.8,TQBR
2018-01-24,222.16,222.16,221,221.0,920,203855.3,TQBR
2018-01-25,221,221,217.67,217.67,3160,692805.9,TQBR
2018-01-26,217.18,217.18,216.4,216.4,4240,919302.8,TQBR
2018-01-29,215.51,215.51,215.5,215.5,400,86200.1,TQBR
2018-01-30,216.3,216.3,215.2,215.2,290,62639,TQBR
2018-01-31,215.2,217,215.2,217.0,1720,370824.9,TQBR
2018-02-01,215.9,216.5,202.1,216.4,4500,970971,TQBR
2018-02-02,215.9,216.5,215.9,216.5,2860,619183,TQBR
2018-02-05,215.9,216.9,215.9,216.9,230,49698,TQBR
2018-02-06,215.9,215.9,215.8,215.9,1510,326000,TQBR
2018-02-07,215.9,216.9,215.9,216.9,700,151140,TQBR
2018-02-08,216.1,216.1,215.9,215.9,1160,250500,TQBR
2018-02-09,215.9,215.9,215.9,215.9,300,64770,TQBR
2018-02-12,215.9,215.9,215.9,215.9,370,79883,TQBR
2018-02-13,216.8,217.3,215.9,217.3,6170,1339442,TQBR
2018-02-14,217.4,217.6,217.4,217.6,730,158704,TQBR
2018-02-15,216.7,217.5,216.5,216.5,4450,964069,TQBR
2018-02-16,216.5,217.5,216.5,217.5,740,160260,TQBR
2018-02-19,217.5,217.5,217.5,217.5,1010,219675,TQBR
2018-02-20,216.8,216.8,206.8,207.2,1200,252267,TQBR
2018-02-21,206.3,215.5,206.2,215.5,1190,255112,TQBR
2018-02-22,215.5,215.5,215.5,215.5,180,38790,TQBR
2018-02-26,215.5,215.5,213.5,213.6,3190,682912,TQBR
2018-02-28,210.5,210.5,209.4,209.4,1450,304104,TQBR
2018-03-01,210.5,210.5,210.5,210.5,10,2105,TQBR
2018-03-02,210.5,210.5,209.5,209.5,1550,325225,TQBR
2018-03-05,209.5,209.5,209.5,209.5,500,104750,TQBR
2018-03-06,208.7,208.9,204.4,208.9,3810,782913,TQBR
2018-03-07,206.5,206.5,206,206.0,4060,837401,TQBR
2018-03-09,209.4,209.4,206,206.0,40,8274,TQBR
2018-03-12,206,207,206,207.0,1060,218371,TQBR
2018-03-13,207,207,206.1,206.1,10580,2188938,TQBR
2018-03-14,206,208,206,208.0,1020,210160,TQBR
2018-03-15,206,206,205.5,205.5,11560,2379542,TQBR
2018-03-16,205.4,209.3,205.3,206.1,4900,1009556,TQBR
2018-03-19,206.1,206.1,206,206.0,60,12362,TQBR
2018-03-22,206,206,205.9,205.9,4650,957785,TQBR
2018-03-26,206,206,206,206.0,1250,257500,TQBR
2018-03-27,206,207.7,206,206.0,4020,828137,TQBR
2018-03-28,207.5,207.5,207.5,207.5,30,6225,TQBR
2018-03-29,206,209.4,206,209.4,540,112737,TQBR
2018-04-02,206.2,206.3,206.2,206.2,1020,210325,TQBR
2018-04-03,208.7,209,208.7,209.0,1200,250765,TQBR
2018-04-06,206,206,206,206.0,430,88580,TQBR
2018-04-09,206,206.1,206,206.0,1850,381133,TQBR
2018-04-10,206,209.9,206,209.9,3990,822787,TQBR
2018-04-11,206.2,206.2,206,206.1,110,22665,TQBR
2018-04-12,192.5,206,190,206.0,40,7945,TQBR
2018-04-13,203.9,205,203.9,205.0,7,1429.5,SMAL
2018-04-16,206,206,206,206.0,2710,558260,TQBR
2018-04-17,204.6,204.6,204.6,204.6,10,2046,TQBR
2018-04-18,203.5,203.5,202.5,202.5,6000,1216711,TQBR
2018-04-19,201.5,201.5,198.5,198.5,11240,2257504,TQBR
2018-04-20,198.4,198.4,198.4,198.4,30,5952,TQBR
2018-04-23,198.4,200.9,197.5,200.9,5350,1060413,TQBR
2018-04-24,197.5,199.8,178.2,181.0,21010,3932772,TQBR
2018-04-25,177.3,178.9,175.9,175.9,740,131526,TQBR
2018-04-26,173,173,148,151.4,3890,643273,TQBR
2018-04-27,151.4,167.8,151.4,167.8,9810,1582044,TQBR
2018-04-28,167.8,184.9,166.9,168.9,2450,411827,TQBR
2018-04-30,165,165,165,165.0,10,1650,TQBR
2018-05-03,165,165,163.5,163.5,2800,461223,TQBR
2018-05-04,164.2,164.3,164.2,164.2,50,8212,TQBR
2018-05-07,165.5,165.5,164.2,164.2,400,65745,TQBR
2018-05-08,167.3,167.3,164,164.0,20,3313,TQBR
2018-05-10,167.3,167.3,163.9,163.9,20,3312,TQBR
2018-05-11,164,167.4,164,167.4,960,160583,TQBR
2018-05-14,164.5,164.5,164.5,164.5,110,18095,TQBR
2018-05-15,164.1,164.1,164.1,164.1,100,16410,TQBR
2018-05-16,164.2,164.2,164,164.0,550,90239,TQBR
2018-05-22,163.9,163.9,163.9,163.9,200,32780,TQBR
2018-05-25,163.9,167.2,163.9,163.9,350,57399,TQBR
2018-05-29,163.9,163.9,163.9,163.9,230,37697,TQBR
2018-05-30,163.9,163.9,163.2,163.2,6040,987978,TQBR
2018-05-31,163.5,163.5,163.5,163.5,10,1635,TQBR
2018-06-01,160.4,160.4,160.3,160.3,1070,171522,TQBR
