date,open,high,low,close,volume,value,board
2007-09-25,32776.0,34000.0,32776.0,33300.0,435,14556774.09,EQLV
2007-09-26,33300.01,39001.0,33300.01,39001.0,215,7421131.08,EQLV
2007-09-27,34500.0,37968.0,33505.0,34500.0,1177,40326840.01,EQLV
2007-09-28,34499.0,34500.0,33999.0,34400.0,399,13587712.0,EQLV
2007-10-01,34000.0,34195.0,33900.0,33980.0,196,6656983.0,EQLV
2007-10-02,34100.0,36100.0,34100.0,36000.0,977,34234875.8,EQLV
2007-10-03,36000.0,36000.0,35000.0,35000.0,233,8289386.75,EQLV
2007-10-04,35000.0,35900.0,35000.0,35105.0,445,15750467.97,EQLV
2007-10-05,34500.0,35450.0,34500.0,35300.0,231,8129547.65,EQLV
2007-10-08,35400.0,35700.0,35150.0,35700.0,666,23602429.01,EQLV
2007-10-09,35550.0,35920.0,35350.0,35700.0,1949,69349499.51,EQLV
2007-10-10,35949.0,36200.0,35300.0,35700.0,854,30539308.15,EQLV
2007-10-11,35700.0,36000.0,35501.01,35655.0,179,6399551.01,EQLV
2007-10-12,35700.0,36000.0,35400.0,35550.0,1071,38038211.12,EQLV
2007-10-15,35501.0,35550.0,35150.02,35299.88,207,7309731.46,EQLV
2007-10-16,35000.0,35170.0,34930.0,35000.0,182,6369371.0,EQLV
2007-10-17,34851.0,35500.0,34800.0,35000.0,338,11822216.03,EQLV
2007-10-18,34900.0,34900.0,34000.0,34070.0,632,21777782.32,EQLV
2007-10-19,33990.0,34150.0,33700.0,33950.0,413,13977732.0,EQLV
2007-10-22,33400.0,33600.0,33100.0,33600.0,271,9067760.92,EQLV
2007-10-23,33900.0,34999.0,33900.0,34680.0,428,14647205.4,EQLV
2007-10-24,34500.0,34950.0,34200.0,34950.0,189,6538609.9,EQLV
2007-10-25,35000.0,36700.0,34960.0,35800.0,2898,104594893.0,EQLV
2007-10-26,36300.0,36750.0,35600.0,36640.0,3443,125341012.97,EQLV
2007-10-29,36950.0,37850.0,36302.01,37500.0,2597,97041204.09,EQLV
2007-10-30,37555.0,37999.97,37102.0,37500.0,440,16430036.62,EQLV
2007-10-31,37251.01,37800.0,37251.01,37500.0,808,30279959.46,EQLV
2007-11-01,38450.0,38499.0,36900.0,37000.0,922,34477033.77,EQLV
2007-11-02,36900.0,37449.0,36900.0,37449.0,287,10669307.87,EQLV
2007-11-06,37999.0,38890.0,37000.0,38299.98,1830,69293841.57,EQLV
