date,open,high,low,close,volume,value,board
2006-10-20,652.0,834.93,652.0,834.93,18,13863.93,EQNE
2006-10-23,834.93,834.93,834.93,834.93,10,8349.3,EQNE
2006-10-24,834.93,1160.0,750.0,801.0,1027,890107.69,EQNE
2006-10-25,810.0,950.0,700.0,765.0,2503,2007640.72,EQNE
2006-10-26,790.0,790.0,720.0,735.0,1333,1006129.47,EQNE
2006-10-27,755.0,776.0,721.0,750.0,2439,1803455.48,EQNE
2006-10-30,775.0,784.0,711.1,711.1,392,294319.72,EQNE
2006-10-31,747.0,762.0,732.0,748.0,176,131371.22,EQNE
2006-11-01,750.0,750.0,721.0,730.0,1204,881161.02,EQNE
2006-11-02,732.9,733.0,723.01,723.01,94,68396.5,EQNE
2006-11-03,734.99,739.9,715.0,734.99,467,341093.96,EQNE
2006-11-07,733.0,744.35,722.02,744.0,493,361910.59,EQNE
2006-11-08,735.0,735.0,709.99,719.0,3431,2468365.4,EQNE
2006-11-09,710.1,727.0,710.1,726.0,1754,1269219.77,EQNE
2006-11-10,729.0,731.89,719.0,720.0,2162,1566894.9,EQNE
2006-11-13,729.0,730.2,720.25,720.25,2567,1856892.63,EQNE
2006-11-14,726.8,734.99,722.5,725.0,7046,5122987.16,EQNE
2006-11-15,730.0,730.0,719.0,725.0,694,502734.4,EQNE
2006-11-16,722.0,723.89,721.0,722.0,762,550250.63,EQNE
2006-11-17,717.82,720.0,713.5,718.99,945,675776.15,EQNE
2006-11-20,727.0,727.0,713.01,717.0,339,243052.97,EQNE
2006-11-21,716.01,717.0,714.0,715.11,492,351864.86,EQNE
2006-11-22,714.0,715.5,712.0,715.5,700,500054.9,EQNE
2006-11-23,715.0,720.0,715.0,720.0,2268,1622884.4,EQNE
2006-11-24,720.0,720.0,711.5,711.5,5315,3794142.15,EQNE
2006-11-27,712.1,718.0,710.0,711.0,1875,1338308.0,EQNE
2006-11-28,717.69,720.0,711.0,712.0,1639,1169678.95,EQNE
2006-11-29,717.0,720.0,712.0,717.0,51,36611.64,EQNE
2006-11-30,717.69,740.0,713.1,733.0,626,452981.17,EQNE
2006-12-01,725.0,732.0,725.0,732.0,1641,1195286.58,EQNE
2006-12-04,725.0,741.0,725.0,741.0,2334,1721246.8,EQNE
2006-12-05,742.0,760.0,733.0,746.0,2236,1662656.57,EQNE
2006-12-06,760.0,765.0,744.0,760.0,2344,1772527.98,EQNE
2006-12-07,763.0,781.0,763.0,774.0,7452,5720774.94,EQNE
2006-12-08,770.3,770.3,760.0,760.0,3554,2715594.88,EQNE
2006-12-11,772.0,773.0,742.0,765.0,801,606018.9,EQNE
2006-12-12,760.01,767.0,760.01,761.1,618,471780.76,EQNE
2006-12-13,760.0,760.0,720.0,757.0,1430,1067201.5,EQNE
2006-12-14,731.5,755.0,731.0,755.0,15,10994.0,EQNE
2006-12-15,750.0,767.0,750.0,764.99,635,484898.28,EQNE
2006-12-18,765.51,765.51,745.5,750.0,822,619243.48,EQNE
2006-12-19,750.01,763.0,740.0,759.0,2619,1971342.78,EQNE
2006-12-20,760.0,769.0,750.0,759.99,1594,1201805.97,EQNE
2006-12-21,750.0,750.0,735.0,748.01,3006,2225149.29,EQNE
2006-12-22,745.0,745.0,730.0,735.0,851,625331.16,EQNE
2006-12-25,736.0,748.0,733.5,745.0,2682,1983604.3,EQNE
2006-12-26,740.0,754.0,740.0,754.0,649,487329.99,EQNE
2006-12-27,755.0,766.0,755.0,763.0,990,754155.0,EQNE
2006-12-28,765.0,788.0,763.0,763.0,3230,2485376.9,EQNE
2006-12-29,770.0,771.99,766.0,770.0,1673,1286673.0,EQNE
2007-01-09,770.0,780.0,747.01,755.0,514,392725.17,EQNE
2007-01-10,764.0,764.0,739.9,762.9,606,456737.76,EQNE
2007-01-11,760.0,785.0,743.02,785.0,1194,906466.62,EQNE
2007-01-12,750.0,760.0,748.5,752.0,1798,1354180.34,EQNE
2007-01-15,753.0,779.0,750.0,769.61,4247,3272282.37,EQNE
