date,open,high,low,close,volume,value,board
2012-05-21,20,20,20,20.0,6000,120000,EQNE
2012-05-22,20,20,20,20.0,3000,60000,EQNE
2012-05-24,20.005,20.005,20.002,20.002,10000,200035,EQNE
2012-05-28,20.001,20.001,20.001,20.001,8000,160008,EQNE
2012-06-26,20.001,20.001,20.001,20.001,256100,5122256.1,EQNE
2012-08-14,20.006,20.006,20.006,20.006,200000,4001200,EQNE
2012-08-17,20.006,20.006,20.006,20.006,83100,1662498.6,EQNE
2012-08-28,20.003,20.003,19.998,19.998,20000,400015,EQNE
2012-09-13,20,20,20,20.0,20000,400000,EQNE
2012-11-09,20,20,20,20.0,10000,200000,EQNE
2012-11-15,20.005,20.005,20.005,20.005,10000,200050,EQNE
2012-11-16,20,20,20,20.0,3100,62000,EQNE
2012-11-22,20,20,20,20.0,10000,200000,EQNE
2012-11-28,19.997,19.997,19.997,19.997,10000,199970,EQNE
2012-11-29,19.998,19.998,19.998,19.998,7000,139986,EQNE
2012-12-13,20,20,20,20.0,13100,262000,EQNE
2012-12-25,22,22,22,22.0,190000,4180000,EQNE
2013-02-12,20,20.8,20,20.8,4000,82400,EQNE
2013-02-13,20.5,20.5,20.5,20.5,6000,123000,EQNE
2013-03-13,20.2,20.2,20.2,20.2,13000,262600,EQNE
2013-03-14,20.2,20.2,20.2,20.2,2300,46460,EQNE
2013-03-20,20.2,20.2,20.2,20.2,10000,202000,EQNE
2013-03-22,20.15,20.15,20.15,20.15,45000,906750,EQNE
2013-05-29,20.17,20.17,20.17,20.17,1500,30255,EQNE
2013-05-31,20.18,20.18,20.18,20.18,30000,605400,EQNE
2013-06-10,20.18,20.18,20.18,20.18,31500,635670,EQNE
2013-06-21,20.2,20.2,20.2,20.2,17100,345420,EQNE
2013-06-25,20.1,20.2,20.1,20.2,6000,120900,EQNE
2013-07-17,20.15,20.15,20.15,20.15,90,1813.5,SMAL
2013-07-24,20.11,20.11,20.11,20.11,10000,201100,EQNE
2013-09-20,20.14,20.15,20.14,20.15,50800,1023152,TQNE
2013-09-27,20.13,20.13,20.13,20.13,2100,42273,TQNE
2013-10-23,20.11,20.12,20.11,20.12,3900,78445.5,TQNE
2013-11-14,20.604,20.604,20.604,20.604,3900,80355.6,TQNE
2013-12-03,21.6,21.6,21.5,21.5,22100,476360,TQNE
2013-12-17,20.3,20.3,20.3,20.3,17100,347130,TQNE
2014-01-31,20.45,20.45,20.45,20.45,17100,349695,TQNE
2014-02-11,21.156,21.16,21.156,21.16,14200,300432,TQNE
2014-03-31,21.15,21.15,21.15,21.15,57400,1214010,TQNE
2014-05-05,21.15,21.15,21.15,21.15,211500,4473225,TQNE
2014-06-25,21.2,21.21,21.2,21.21,20000,424100,TQBR
2014-07-28,21.09,21.1,21.09,21.1,7500,158225,TQBR
2014-09-23,21.43,21.5,21.43,21.5,7500,161005,TQBR
2014-11-28,20.9,21,20.9,21.0,12500,262250,TQBR
2015-01-29,21.2,21.2,21,21.0,3000,63450,TQBR
2015-02-25,20.5,20.5,20.5,20.5,5500,112750,TQBR
2015-02-26,20,20,20,20.0,4000,80000,TQBR
2015-04-30,20.5,20.5,20.5,20.5,21100,432550,TQBR
2015-06-30,20,20,20,20.0,21000,420000,TQBR
2015-09-17,20.1,20.4,20.1,20.4,16600,336240,TQBR
2015-09-22,20.5,20.5,20.5,20.5,10000,205000,TQBR
2015-10-01,20.5,20.5,20.5,20.5,3,61.5,SMAL
2015-10-12,20.5,20.5,20.5,20.5,1,20.5,SMAL
2016-01-05,12.3,12.3,12.3,12.3,1,12.3,SMAL
2016-01-06,12.3,12.3,12.3,12.3,9,110.7,SMAL
2016-02-02,12.3,12.3,12.3,12.3,1,12.3,SMAL
2016-04-07,21,21,21,21.0,1,21,SMAL
2016-04-12,12.3,12.3,12.3,12.3,1,12.3,SMAL
2016-04-13,16,16.4,16,16.4,10,160.4,SMAL
2016-04-14,12.3,12.3,12.3,12.3,6,73.8,SMAL
2016-04-22,12.3,12.3,12.3,12.3,1,12.3,SMAL
2016-04-25,12.3,12.4,12.3,12.4,76,942.3,SMAL
2016-05-17,28.6,28.6,28.6,28.6,1,28.6,SMAL
2016-06-14,20.5,20.5,20.5,20.5,10000,205000,TQBR
2016-06-27,16,16,16,16.0,6,96,SMAL
2016-10-20,20.5,20.5,20.5,20.5,200,4100,TQBR
2016-10-21,25.1,25.1,25.1,25.1,100,2510,TQBR
2016-10-25,25.1,27.5,25.1,27.4,900,23060,TQBR
2016-10-26,32,32,32,32.0,100,3200,TQBR
2016-10-27,29.2,44.6,23.5,30.0,1000,30680,TQBR
2016-10-28,41.8,41.9,25.8,30.0,1500,45790,TQBR
2016-10-31,41.9,41.9,30,39.0,1300,45340,TQBR
2016-11-01,41,42.4,40.1,41.3,400,16480,TQBR
2016-11-02,35.2,43.4,35.2,42.3,400,15730,TQBR
2016-11-07,36,36.9,36,36.9,200,7290,TQBR
2016-11-08,36,36,29.6,30.6,300,9620,TQBR
2016-11-09,31.7,31.7,31.7,31.7,100,3170,TQBR
2016-11-11,28,28.6,28,28.6,200,5660,TQBR
2016-11-14,28,28,28,28.0,100,2800,TQBR
2016-11-15,24.1,37,20.4,37.0,1800,46330,TQBR
2016-11-16,31.5,44,31,37.4,2000,72100,TQBR
2016-11-17,36.3,37.4,36.3,37.4,200,7370,TQBR
2016-11-18,36.5,43.8,36.4,43.8,600,22900,TQBR
2016-11-21,44.9,45.7,27.5,45.7,500,20670,TQBR
2016-11-22,33.1,45.9,33.1,45.9,300,11340,TQBR
2016-11-24,34.2,46,28,46.0,1200,43960,TQBR
2016-12-05,35.7,45,30,45.0,1100,39340,TQBR
2016-12-08,35.7,36.2,30.2,36.2,800,25540,TQBR
2016-12-15,32.6,33.7,29.2,32.4,1000,31640,TQBR
2016-12-19,35,35,35,35.0,100,3500,TQBR
2016-12-20,34,34,34,34.0,100,3400,TQBR
2016-12-21,36.9,36.9,31,32.0,700,22780,TQBR
2016-12-22,30.2,36,30.2,36.0,700,23260,TQBR
2016-12-23,30.3,36,30.3,36.0,1600,53360,TQBR
2016-12-27,31.1,45,31.1,45.0,700,26780,TQBR
2016-12-28,37,37,33.2,33.2,900,30940,TQBR
2016-12-30,31.6,32.8,31.6,32.8,300,9680,TQBR
2017-01-03,33,40,33,40.0,500,18100,TQBR
2017-01-09,36.5,36.5,36.5,36.5,100,3650,TQBR
2017-01-11,40,44,33,33.0,600,23700,TQBR
2017-01-12,36,36.5,36,36.5,300,10850,TQBR
2017-01-13,32.6,35.9,32.6,35.9,600,20550,TQBR
2017-01-20,35.9,35.9,35.9,35.9,100,3590,TQBR
2017-01-23,33,35.9,33,35.9,400,13490,TQBR
2017-01-25,32.3,43.8,32.3,33.0,700,25540,TQBR
2017-01-31,32.4,33.1,32.2,33.1,600,19440,TQBR
2017-02-01,32.1,32.1,32.1,32.1,100,3210,TQBR
2017-02-07,32,32,32,32.0,100,3200,TQBR
2017-02-08,33.7,33.9,33.7,33.9,300,10140,TQBR
2017-02-15,36,36,36,36.0,100,3600,TQBR
2017-02-27,28,34,28,33.0,700,21900,TQBR
2017-02-28,30,30,30,30.0,100,3000,TQBR
2017-03-01,34.5,34.5,34.5,34.5,100,3450,TQBR
2017-03-13,30,30,27,27.0,200,5700,TQBR
2017-03-20,20,20,20,20.0,18,360,SMAL
2017-03-24,27,31,27,31.0,200,5800,TQBR
2017-03-30,27,27,27,27.0,300,8100,TQBR
2017-03-31,27,27,24,24.0,200,5100,TQBR
2017-04-04,31,31,31,31.0,300,9300,TQBR
2017-04-24,33,33,33,33.0,100,3300,TQBR
2017-05-12,21.6,30.3,21.6,30.3,200,5190,TQBR
2017-05-22,32,32,32,32.0,100,3200,TQBR
2017-05-25,21.6,21.6,21.6,21.6,100,2160,TQBR
2017-06-16,15.6,15.6,15.6,15.6,100,1560,TQBR
2017-06-22,13,13,13,13.0,100,1300,TQBR
2017-06-26,24.3,24.3,24.3,24.3,100,2430,TQBR
2017-06-29,26.5,26.5,26.5,26.5,100,2650,TQBR
2017-06-30,30,30,30,30.0,100,3000,TQBR
2017-08-08,30,32,21,30.0,600,16500,TQBR
2017-08-10,20.2,30.8,20.2,30.8,400,10200,TQBR
2017-08-14,21,31,21,31.0,800,21000,TQBR
2017-08-15,20.2,31,20.2,31.0,400,10240,TQBR
2017-08-18,23.2,33,21.2,32.9,1100,30730,TQBR
2017-08-21,31,32,31,32.0,200,6300,TQBR
2017-08-22,22.2,32.8,22.2,32.8,600,16580,TQBR
2017-08-23,23.2,32.5,23.2,32.5,600,16710,TQBR
2017-08-24,23.5,32.3,23.5,32.3,600,16740,TQBR
2017-08-25,24.2,32.2,24.2,32.2,400,11280,TQBR
2017-08-28,23.8,36,23.8,36.0,600,17940,TQBR
2017-08-29,25.7,34.6,25.7,34.6,700,21380,TQBR
2017-08-30,26.5,34.4,26.5,34.4,600,18270,TQBR
2017-09-01,27.1,34.2,27.1,34.2,700,21760,TQBR
2017-09-04,22.7,33.8,22.7,33.8,800,22600,TQBR
2017-09-06,23.3,33.7,23.3,33.7,1200,34580,TQBR
2017-09-08,33.6,33.6,33.6,33.6,400,13440,TQBR
2017-09-11,23.3,33.4,23.3,33.4,600,17010,TQBR
2017-09-12,21.3,31.8,21.3,31.8,600,15930,TQBR
2017-09-13,21.5,33.5,21.5,33.5,800,22000,TQBR
2017-09-14,22,31.3,22,31.3,600,15990,TQBR
2017-09-18,22.4,31,22.4,31.0,800,21360,TQBR
2017-09-19,22.6,30.8,22.6,30.8,1000,27500,TQBR
2017-09-22,20,32,20,32.0,500,13560,TQBR
2017-09-25,23.8,33.8,23.8,33.8,1100,31950,TQBR
2017-09-26,23.3,23.3,23.3,23.3,100,2330,TQBR
2017-09-28,27.7,27.7,27.7,27.7,100,2770,TQBR
2017-10-04,19.2,30.8,19.2,30.8,200,5000,TQBR
2017-10-05,21.7,21.7,21.7,21.7,100,2170,TQBR
2017-10-09,17.5,33.8,17.5,31.0,1000,26760,TQBR
2017-10-10,23.6,32.8,23.6,32.8,400,11280,TQBR
2017-10-12,25.2,31.8,25.2,31.8,400,11400,TQBR
2017-10-13,19.5,31.3,19.5,31.3,400,10160,TQBR
2017-10-16,33,41.8,25,40.6,1300,45440,TQBR
2017-10-17,31.2,39.6,26.3,26.3,700,22050,TQBR
2017-10-18,38.6,38.6,35,38.6,1100,41010,TQBR
2017-10-19,29.5,54,29.5,38.3,2500,114810,TQBR
2017-10-20,53.3,53.5,53.3,53.5,400,21350,TQBR
2017-10-23,65,74.8,42.2,74.8,500,33130,TQBR
2017-10-24,51.3,104.5,51.3,104.5,600,55390,TQBR
2017-10-25,127.4,146.2,127.4,146.2,400,56590,TQBR
2017-10-31,87.7,129.9,87.7,129.9,1000,101990,TQBR
2017-11-01,82.9,129.9,82.9,129.9,700,79250,TQBR
2017-11-02,139.9,144,129.9,130.0,500,68530,TQBR
2017-11-07,77.7,99,77.7,99.0,800,68990,TQBR
2017-11-08,109.9,109.9,109.9,109.9,100,10990,TQBR
2017-11-14,119.7,119.7,119.7,119.7,100,11970,TQBR
2017-11-23,99.9,116.9,99.9,116.9,200,21680,TQBR
2017-12-12,61,112.5,61,112.5,200,17350,TQBR
2017-12-18,77,77,77,77.0,100,7700,TQBR
2017-12-19,108.9,108.9,105.8,105.8,200,21470,TQBR
2018-01-12,114.9,114.9,114.9,114.9,100,11490,TQBR
2018-02-20,114.9,114.9,114.9,114.9,100,11490,TQBR
2018-02-27,113.4,113.4,113.4,113.4,100,11340,TQBR
2018-03-01,114.3,114.3,114.3,114.3,100,11430,TQBR
2018-03-02,114.3,156.4,114.3,156.4,500,65530,TQBR
2018-03-05,199.9,199.9,199.9,199.9,200,39980,TQBR
2018-03-15,276.8,276.8,276.8,276.8,200,55360,TQBR
2018-03-16,276.8,276.8,276.8,276.8,100,27680,TQBR
2018-03-20,277.7,295,269.9,269.9,300,84260,TQBR
2018-03-21,160,160,160,160.0,5,800,SMAL
2018-03-23,289.9,289.9,150,254.9,1200,249330,TQBR
2018-03-26,254.8,254.8,254.8,254.8,100,25480,TQBR
2018-03-27,131.5,238.5,131.5,238.4,400,77130,TQBR
2018-04-20,120.6,238.3,120.6,201.4,1600,291290,TQBR
2018-04-23,279.5,280.8,204.9,204.9,1000,246030,TQBR
2018-04-24,225,239.9,151.3,180.0,1300,260620,TQBR
2018-04-25,111.2,190.9,111.2,190.9,400,68390,TQBR
2018-04-26,205,205,205,205.0,100,20500,TQBR
2018-04-27,180.9,180.9,163.1,179.9,1400,250640,TQBR
2018-04-28,207.7,207.7,207.7,207.7,100,20770,TQBR
2018-04-30,249,249,249,249.0,200,49800,TQBR
2018-05-03,261.5,261.5,145.5,205.5,800,153050,TQBR
2018-05-04,255,255,255,255.0,100,25500,TQBR
2018-05-07,246.5,348,149.5,164.5,9300,1662000,TQBR
2018-05-08,164,164,115.5,119.0,7000,906300,TQBR
2018-05-10,104,137.5,104,118.0,2600,322400,TQBR
2018-05-11,112.5,112.5,92.5,98.5,11700,1177600,TQBR
2018-05-14,100,104.5,97,102.5,1800,179950,TQBR
2018-05-15,102,102,93.5,96.5,1200,116850,TQBR
2018-05-16,86,95.5,86,91.5,1700,155550,TQBR
2018-05-17,86,86,85,85.0,900,77000,TQBR
2018-05-18,87,87,87,87.0,100,8700,TQBR
2018-05-21,74.5,89,74.5,87.0,1000,83750,TQBR
2018-05-22,88.5,90.5,84,84.0,600,52850,TQBR
2018-05-23,94,117,87,102.0,4400,468350,TQBR
2018-05-24,107,107,90,96.5,8000,797650,TQBR
2018-05-25,92,95,90.5,90.5,400,36900,TQBR
2018-05-28,81.5,81.5,80.5,81.5,400,32450,TQBR
2018-05-29,78,83,78,83.0,500,40900,TQBR
2018-05-30,81,81.5,80,81.5,600,48600,TQBR
2018-05-31,75.5,75.5,68,70.0,3700,261650,TQBR
2018-06-01,68,70,68,70.0,200,13800,TQBR
2018-06-04,65.5,68,63.5,63.5,700,45750,TQBR
2018-06-06,63.5,63.5,63.5,63.5,100,6350,TQBR
2018-06-07,65.5,70,65.5,69.0,1100,75750,TQBR
2018-06-08,70.5,70.5,67,67.0,300,20450,TQBR
2018-06-14,75,75,75,75.0,200,15000,TQBR
2018-06-20,75,75,75,75.0,100,7500,TQBR
2018-06-27,84.5,84.5,84.5,84.5,100,8450,TQBR
2018-06-28,76,76,71.5,71.5,300,22350,TQBR
2018-07-03,51,65.5,50,57.5,4400,251700,TQBR
2018-07-04,56.5,57,56.5,57.0,500,28450,TQBR
2018-07-05,51.5,55,51.5,55.0,300,15850,TQBR
2018-07-10,55.5,55.5,54,54.0,200,10950,TQBR
2018-07-12,50.5,50.5,50.5,50.5,100,5050,TQBR
2018-07-18,53,56.5,52.5,56.5,600,33150,TQBR
2018-07-19,55,55,55,55.0,100,5500,TQBR
2018-07-20,51.5,51.5,51.5,51.5,100,5150,TQBR
2018-07-25,51.5,51.5,51.5,51.5,100,5150,TQBR
2018-07-30,54.5,54.5,54.5,54.5,100,5450,TQBR
2018-08-01,51.5,52,51.5,52.0,200,10350,TQBR
2018-08-08,49,52,49,52.0,200,10100,TQBR
2018-08-09,54,54,52.5,52.5,200,10650,TQBR
2018-08-10,51,51,51,51.0,100,5100,TQBR
2018-08-14,41.5,41.5,41.5,41.5,100,4150,TQBR
2018-08-16,33.5,44,33.5,43.0,900,37500,TQBR
2018-08-22,47,47.5,47,47.5,300,14200,TQBR
2018-08-23,41,41.5,40.5,41.5,400,16350,TQBR
2018-08-24,37.5,40,33,39.5,1500,55400,TQBR
2018-08-27,39.5,39.5,39.5,39.5,100,3950,TQBR
2018-08-29,39.5,39.5,39.5,39.5,100,3950,TQBR
2018-09-07,43,43.5,35,41.0,600,24100,TQBR
2018-09-11,36,40,36,40.0,200,7600,TQBR
2018-09-12,38,38,38,38.0,100,3800,TQBR
2018-09-17,48.5,48.5,48.5,48.5,100,4850,TQBR
2018-09-18,48.5,48.5,48.5,48.5,900,43650,TQBR
2018-10-10,48.5,48.5,48.5,48.5,500,24250,TQBR
2018-10-11,46,46,45,45.0,400,18200,TQBR
2018-10-22,45,45,45,45.0,100,4500,TQBR
2018-10-23,35,62.5,32,62.5,6100,330850,TQBR
2018-10-24,67,87,67,87.0,4400,372000,TQBR
2018-10-25,115,121.5,96.5,97.0,18300,2115950,TQBR
2018-10-26,97,118.5,65,100.5,27300,2533800,TQBR
2018-10-29,81,85,81,82.0,1500,123850,TQBR
2018-10-30,85,85,78,78.0,400,32650,TQBR
2018-10-31,76.5,85,71.5,71.5,1900,148050,TQBR
2018-11-01,80,80,68,74.0,2100,152600,TQBR
2018-11-02,74,74,74,74.0,100,7400,TQBR
2018-11-06,80,80,76,80.0,500,39300,TQBR
2018-11-07,85,85,67,78.0,1800,138100,TQBR
2018-11-08,80,80,75,75.0,900,68700,TQBR
2018-11-09,78,78,75,75.0,200,15300,TQBR
2018-11-12,74,74,73,74.0,500,36900,TQBR
2018-11-13,73,73,73,73.0,100,7300,TQBR
2018-11-14,72,90,64,72.0,2900,224200,TQBR
2018-11-15,81,93,76,87.0,1800,153300,TQBR
2018-11-16,87,87,87,87.0,200,17400,TQBR
2018-11-19,80,89,80,89.0,1100,93400,TQBR
2018-11-20,79,83,76,79.0,3200,248900,TQBR
2018-11-21,80,80,78,79.0,2600,205300,TQBR
2018-11-22,81,81,48,80.0,4100,277400,TQBR
2018-11-23,75,75,65,74.0,500,35900,TQBR
2018-11-26,74,74,74,74.0,100,7400,TQBR
2018-11-27,76,98,75,81.0,3800,321800,TQBR
2018-11-29,79,80,79,79.0,400,31800,TQBR
2018-12-11,67,71,67,71.0,200,13800,TQBR
2018-12-17,71,71,71,71.0,100,7100,TQBR
2018-12-18,65,76,65,74.0,400,28200,TQBR
2018-12-20,66,72,66,68.0,500,34300,TQBR
2018-12-28,76,76,76,76.0,200,15200,TQBR
2019-01-08,76,76,76,76.0,500,38000,TQBR
2019-01-11,75,75,75,75.0,100,7500,TQBR
2019-01-14,69,69,69,69.0,100,6900,TQBR
2019-01-15,70,70,70,70.0,600,42000,TQBR
2019-01-16,73,75,73,75.0,1500,109800,TQBR
2019-01-17,72,72,72,72.0,100,7200,TQBR
2019-01-22,71,87,71,77.0,900,70500,TQBR
2019-01-23,82,105,82,98.0,4900,452700,TQBR
2019-01-24,87,97,81,88.0,1700,149500,TQBR
2019-01-25,84,84,82,82.0,400,33200,TQBR
2019-01-29,70,90,70,78.0,1000,83900,TQBR
2019-01-30,81,81,81,81.0,100,8100,TQBR
2019-01-31,82,87,82,87.0,400,34300,TQBR
2019-02-05,84,84,84,84.0,200,16800,TQBR
2019-02-06,80,80,80,80.0,400,32000,TQBR
2019-02-07,79,95,70,85.0,600,51200,TQBR
2019-02-08,82,82,80,80.0,300,24200,TQBR
2019-02-11,90,91,89,91.0,300,27000,TQBR
2019-02-12,81,90,80,80.0,1700,141100,TQBR
2019-02-13,79,82,79,82.0,200,16100,TQBR
2019-02-14,82,82,82,82.0,100,8200,TQBR
2019-02-18,90,92,88,89.0,1000,90400,TQBR
2019-02-19,95,118,94,103.0,2400,241700,TQBR
2019-02-20,101,105,83,89.0,2100,192700,TQBR
2019-02-22,89,110,88,98.0,1400,138500,TQBR
2019-02-26,92,92,87,88.0,900,81000,TQBR
2019-02-27,88,88,86,87.0,600,52100,TQBR
2019-03-04,86,86,85,85.0,400,34200,TQBR
2019-03-05,84,84,84,84.0,100,8400,TQBR
2019-03-12,83,84,81,81.0,400,33200,TQBR
2019-03-14,81,114,81,93.0,14500,1475300,TQBR
2019-03-15,94,109,94,100.0,1600,162600,TQBR
2019-03-18,85,100,85,100.0,400,38200,TQBR
2019-03-19,102,102,102,102.0,100,10200,TQBR
2019-03-20,90,90,90,90.0,100,9000,TQBR
2019-03-21,89,89,87,89.0,2000,175100,TQBR
2019-03-22,88,88,87,87.0,1100,95800,TQBR
2019-03-25,85,89,85,89.0,300,26300,TQBR
2019-03-26,90,90,90,90.0,200,18000,TQBR
2019-04-01,85,85,85,85.0,100,8500,TQBR
2019-04-05,74,84,73,80.0,14300,1146000,TQBR
2019-04-08,86,93,75,75.0,1700,141600,TQBR
2019-04-10,79,82,79,82.0,600,48500,TQBR
2019-04-11,77,77,68,74.0,3200,229900,TQBR
2019-04-12,71,77,71,75.0,1700,126700,TQBR
2019-04-15,71,74,68,70.0,4800,337100,TQBR
2019-04-16,70,71,70,71.0,400,28100,TQBR
2019-04-17,71,71,70,70.0,300,21100,TQBR
2019-04-19,65,70,65,70.0,200,13500,TQBR
2019-04-22,70,72,70,72.0,300,21400,TQBR
2019-04-23,73,88,73,82.0,6400,523700,TQBR
2019-04-24,83,91,82,82.0,2000,168600,TQBR
2019-04-25,81,81,80,80.0,500,40100,TQBR
2019-04-26,78,84,74,84.0,500,39200,TQBR
2019-05-06,81,81,76,76.0,500,39700,TQBR
2019-05-07,73,74,73,74.0,2100,154300,TQBR
2019-05-14,75,75,75,75.0,100,7500,TQBR
2019-05-15,73,73,73,73.0,200,14600,TQBR
2019-05-16,73,73,73,73.0,100,7300,TQBR
2019-05-17,73,73,73,73.0,100,7300,TQBR
2019-05-20,73,73,73,73.0,100,7300,TQBR
2019-05-23,72,73,71,73.0,600,43000,TQBR
2019-05-24,69,69,67,67.0,1700,116500,TQBR
2019-05-27,70,83,70,73.0,5900,434900,TQBR
2019-05-28,68,74,68,74.0,200,14200,TQBR
2019-05-29,69,72,69,72.0,300,21100,TQBR
2019-06-04,70,70,66,66.0,300,20600,TQBR
2019-06-05,72,82,70,77.0,1000,77900,TQBR
2019-06-06,77,77,72,72.0,400,29700,TQBR
2019-06-07,68,74,68,70.0,600,42800,TQBR
2019-06-10,74,75,74,75.0,300,22300,TQBR
2019-06-11,72,72,72,72.0,500,36000,TQBR
2019-06-14,71,71,71,71.0,100,7100,TQBR
2019-06-19,70,70,70,70.0,200,14000,TQBR
2019-06-20,65,71,65,70.0,500,34200,TQBR
2019-06-21,63,68,63,66.0,5300,346200,TQBR
2019-06-24,63,67,63,66.0,700,46300,TQBR
2019-06-25,64,66,64,66.0,500,32700,TQBR
2019-06-26,65,65,65,65.0,900,58500,TQBR
2019-06-27,64,65,63,63.0,2000,126400,TQBR
2019-07-01,62,62,62,62.0,100,6200,TQBR
2019-07-02,62,63,62,63.0,300,18700,TQBR
2019-07-03,62,62,62,62.0,200,12400,TQBR
2019-07-04,62,62,61,61.0,200,12300,TQBR
2019-07-05,61,61,61,61.0,100,6100,TQBR
2019-07-08,62,62,62,62.0,200,12400,TQBR
2019-07-09,64,64,64,64.0,100,6400,TQBR
2019-07-10,64,65,62,62.0,900,57400,TQBR
2019-07-11,64,64,61,61.0,300,18900,TQBR
2019-07-12,60,63,60,63.0,700,42500,TQBR
2019-07-15,64,88,64,88.0,52200,4401000,TQBR
2019-07-16,89,90,68,71.0,21200,1627900,TQBR
2019-07-17,70,74,68,70.0,3200,225100,TQBR
2019-07-18,67,76,67,75.0,3500,256700,TQBR
2019-07-19,78,78,73,73.0,1900,145500,TQBR
2019-07-22,75,79,69,70.0,2200,156900,TQBR
2019-07-23,69,69,68,68.0,300,20600,TQBR
2019-07-24,69,69,69,69.0,200,13800,TQBR
2019-07-25,73,73,70,71.0,700,49400,TQBR
2019-07-26,71,72,70,72.0,300,21300,TQBR
2019-07-29,71,71,69,69.0,600,42400,TQBR
2019-07-30,68,70,68,70.0,500,34500,TQBR
2019-07-31,69,70,69,70.0,200,13900,TQBR
2019-08-01,69,70,68,70.0,700,47900,TQBR
2019-08-02,71,71,70,70.0,200,14100,TQBR
2019-08-05,69,69,68,68.0,300,20500,TQBR
2019-08-06,70,70,70,70.0,100,7000,TQBR
2019-08-07,70,70,67,68.0,400,27200,TQBR
2019-08-08,71,71,68,68.0,700,48200,TQBR
2019-08-09,69,69,69,69.0,100,6900,TQBR
2019-08-12,69,69,68,68.0,200,13700,TQBR
2019-08-13,69,69,69,69.0,200,13800,TQBR
2019-08-14,69,69,67,67.0,500,33900,TQBR
2019-08-15,66,67,65,65.0,1000,65600,TQBR
2019-08-16,65,67,65,67.0,500,32700,TQBR
2019-08-19,66,66,66,66.0,200,13200,TQBR
2019-08-20,67,69,67,69.0,400,27200,TQBR
2019-08-22,68,69,67,69.0,300,20400,TQBR
2019-08-23,66,73,64,68.0,1700,114800,TQBR
2019-08-26,66,67,66,67.0,500,33100,TQBR
2019-08-27,68,69,67,67.0,300,20400,TQBR
2019-08-28,68,68,68,68.0,1600,108800,TQBR
2019-08-29,69,69,66,67.0,800,53600,TQBR
2019-08-30,68,70,67,67.0,1900,128500,TQBR
2019-09-02,68,70,67,70.0,1220,83340,TQBR
2019-09-03,68,69,66,69.0,830,55690,TQBR
2019-09-04,66,68,65,67.0,1260,83130,TQBR
2019-09-05,67,67,65,66.0,700,46070,TQBR
2019-09-06,65,67,65,66.0,330,21960,TQBR
2019-09-09,67,67,65,66.0,380,25160,TQBR
2019-09-10,66,67,65,66.0,810,53480,TQBR
2019-09-11,66,67,66,66.0,240,15940,TQBR
2019-09-12,65,66,65,66.0,70,4610,TQBR
2019-09-13,67,67,67,67.0,170,11390,TQBR
2019-09-16,67,67,66,67.0,130,8640,TQBR
2019-09-17,66,68,65,67.0,450,30010,TQBR
2019-09-18,68,68,67,67.0,230,15610,TQBR
2019-09-19,67,68,66,66.0,420,27970,TQBR
2019-09-20,67,67,66,66.0,1470,97050,TQBR
2019-09-23,67,72,67,71.0,1250,86960,TQBR
2019-09-24,70,71,67,69.0,250,17230,TQBR
