date,open,high,low,close,volume,value,board
2011-03-01,61.0,87.99,61.0,87.99,215,17539.65,SMAL
2011-03-02,85.0,85.0,79.88,84.84,183,14797.04,SMAL
2011-03-03,78.94,89.0,74.44,82.75,221,18046.46,SMAL
2011-03-04,75.15,83.0,75.11,79.0,110,8846.37,SMAL
2011-03-05,75.11,75.49,75.01,75.49,39,2936.53,SMAL
2011-03-09,77.0,77.7,75.01,77.6,72,5509.32,SMAL
2011-03-10,70.0,70.0,55.0,55.0,10,565.0,SMAL
2011-03-14,72.0,79.99,72.0,79.99,61,4553.7,SMAL
2011-03-15,54.0,74.95,54.0,74.95,116,7335.25,SMAL
2011-03-16,71.72,72.0,51.0,71.71,124,8273.98,SMAL
2011-03-17,71.01,71.01,70.78,70.78,38,2694.24,SMAL
2011-03-18,70.5,70.5,70.5,70.5,1,70.5,SMAL
2011-03-21,69.51,70.49,69.51,70.49,40,2800.0,SMAL
2011-03-22,70.02,70.02,70.02,70.02,40,2800.8,SMAL
2011-03-23,70.0,70.0,70.0,70.0,10,700.0,SMAL
2011-03-24,62.74,78.16,62.74,78.16,43,2873.85,SMAL
2011-03-25,69.0,73.5,68.54,73.5,159,11325.58,SMAL
2011-03-28,71.45,71.45,67.8,71.4,72,5071.2,SMAL
2011-03-29,68.1,72.98,68.01,72.98,116,7985.46,SMAL
2011-03-30,69.02,69.5,69.01,69.5,81,5614.32,SMAL
2011-03-31,70.0,70.0,70.0,70.0,30,2100.0,SMAL
2011-04-01,70.0,71.0,66.01,66.01,72,5015.59,SMAL
2011-04-04,69.7,69.7,69.6,69.6,79,5499.2,SMAL
2011-04-05,67.23,68.04,67.23,68.04,25,1699.38,SMAL
2011-04-06,69.03,69.21,69.03,69.21,69,4764.43,SMAL
2011-04-07,73.0,75.03,73.0,73.0,264,19460.11,SMAL
2011-04-11,67.06,71.28,67.06,71.0,189,13136.36,SMAL
2011-04-12,71.0,71.0,71.0,71.0,10,710.0,SMAL
2011-04-13,68.02,74.0,68.02,70.28,226,15871.22,SMAL
2011-04-14,68.53,68.53,67.0,67.0,13,886.3,SMAL
2011-04-15,68.35,68.35,68.35,68.35,1,68.35,SMAL
2011-04-18,68.27,68.27,68.27,68.27,10,682.7,SMAL
2011-04-19,65.8,67.0,65.32,65.32,142,9335.44,SMAL
2011-04-20,64.5,64.77,64.5,64.5,91,5869.77,SMAL
2011-04-21,61.12,64.32,61.12,61.12,71,4371.52,SMAL
2011-04-25,64.0,64.0,60.12,61.68,1002,61205.79,SMAL
2011-04-26,55.14,58.0,55.14,57.15,74,4192.23,SMAL
2011-04-27,55.04,56.0,55.02,55.03,116,6385.42,SMAL
2011-04-28,55.03,55.03,55.03,55.03,5,275.15,SMAL
2011-04-29,55.01,55.01,52.57,54.7,299,16211.62,SMAL
2011-05-04,50.12,50.12,50.12,50.12,17,852.04,SMAL
2011-05-05,50.01,50.01,50.0,50.0,90,4500.5,SMAL
2011-05-06,51.3,51.3,51.3,51.3,4,205.2,SMAL
2011-05-10,49.0,49.0,49.0,49.0,44,2156.0,SMAL
2011-05-11,50.5,50.5,36.0,36.0,120,5190.32,SMAL
2011-05-12,35.5,50.5,35.5,48.13,106,5098.63,SMAL
2011-05-13,49.0,49.0,44.0,46.0,54,2389.0,SMAL
2011-05-16,47.99,47.99,47.99,47.99,3,143.97,SMAL
2011-05-17,47.0,47.99,47.0,47.0,89,4184.98,SMAL
2011-05-18,50.5,59.99,50.01,50.01,200,10193.04,SMAL
2011-05-19,52.4,65.0,50.0,65.0,506,28936.51,SMAL
2011-05-20,54.0,55.0,47.51,54.68,54,2894.39,SMAL
2011-05-23,47.51,47.51,47.51,47.51,2,95.02,SMAL
2011-05-24,50.01,50.98,50.01,50.98,103,5189.83,SMAL
2011-05-26,48.0,48.0,48.0,48.0,10,480.0,SMAL
2011-05-27,50.92,52.91,50.92,52.91,65,3409.0,SMAL
2011-05-30,45.0,50.3,36.5,36.52,136,5589.32,SMAL
2011-05-31,51.39,51.39,51.39,51.39,60,3083.4,SMAL
2011-06-02,51.18,51.18,51.18,51.18,7,358.26,SMAL
2011-06-03,54.57,54.57,54.57,54.57,1,54.57,SMAL
2011-06-07,56.0,56.0,56.0,56.0,3,168.0,SMAL
2011-06-08,56.0,58.98,56.0,58.98,172,9878.66,SMAL
2011-06-10,70.0,70.0,70.0,70.0,1,70.0,SMAL
2011-06-15,72.98,72.98,62.05,71.7,104,6495.64,SMAL
2011-06-16,66.99,66.99,66.99,66.99,4,267.96,SMAL
2011-06-17,60.0,66.4,60.0,66.4,120,7583.6,SMAL
2011-06-21,70.0,70.0,70.0,70.0,1,70.0,SMAL
2011-06-22,70.05,70.05,70.01,70.01,50,3501.38,SMAL
2011-06-27,68.0,68.0,68.0,68.0,4,272.0,SMAL
2011-06-28,68.0,69.97,68.0,69.97,17,1185.45,SMAL
2011-06-29,75.0,77.5,75.0,77.5,137,10433.45,SMAL
2011-07-01,73.5,75.0,73.0,75.0,52,3823.0,SMAL
2011-07-04,73.0,73.0,73.0,73.0,39,2847.0,SMAL
2011-07-05,70.23,73.45,70.23,73.45,117,8333.11,SMAL
2011-07-06,68.14,73.0,68.14,73.0,152,10738.16,SMAL
2011-07-11,73.29,73.29,73.29,73.29,50,3664.5,SMAL
2011-07-14,74.2,75.76,70.0,74.0,110,7804.16,SMAL
2011-07-18,73.23,73.23,72.1,72.1,58,4243.19,SMAL
2011-07-19,72.0,74.9,52.0,74.9,96,6025.7,SMAL
2011-07-20,68.49,68.49,68.49,68.49,86,5890.14,SMAL
2011-07-26,70.99,71.0,67.0,68.9,98,6671.28,SMAL
2011-07-28,72.46,72.46,71.52,71.52,159,11422.27,SMAL
2011-07-29,71.0,71.0,71.0,71.0,55,3905.0,SMAL
2011-08-01,73.0,73.0,73.0,73.0,9,657.0,SMAL
2011-08-02,73.96,73.96,73.96,73.96,3,221.88,SMAL
2011-08-03,60.15,70.01,60.15,70.01,8,520.64,SMAL
2011-08-04,52.27,70.0,52.27,69.5,20,1220.2,SMAL
2011-08-05,63.02,63.02,63.01,63.01,73,4599.83,SMAL
2011-08-08,52.11,56.16,47.0,56.16,95,5173.09,SMAL
2011-08-10,64.94,64.94,64.94,64.94,50,3247.0,SMAL
2011-08-12,71.2,71.2,71.2,71.2,3,213.6,SMAL
2011-08-16,70.0,70.0,70.0,70.0,40,2800.0,SMAL
2011-08-19,74.0,74.0,73.99,74.0,63,4661.97,SMAL
2011-08-22,72.44,80.99,72.44,80.99,33,2476.02,SMAL
2011-08-24,81.19,84.25,81.19,84.25,38,3146.52,SMAL
2011-08-25,79.0,79.0,79.0,79.0,1,79.0,SMAL
2011-08-26,68.01,80.0,67.02,80.0,39,2643.68,SMAL
2011-08-29,72.17,72.17,72.16,72.16,78,5629.08,SMAL
2011-08-30,76.0,80.0,76.0,80.0,206,15996.43,SMAL
2011-08-31,73.34,73.34,73.34,73.34,10,733.4,SMAL
2011-09-01,78.38,80.49,78.38,78.71,91,7208.64,SMAL
2011-09-02,80.03,80.03,80.03,80.03,1,80.03,SMAL
2011-09-05,79.0,80.99,69.06,80.0,82,6461.28,SMAL
2011-09-06,81.99,81.99,81.36,81.36,51,4175.08,SMAL
2011-09-07,84.17,84.2,84.17,84.2,79,6651.27,SMAL
2011-09-08,84.16,84.16,84.16,84.16,9,757.44,SMAL
2011-09-12,82.0,82.0,82.0,82.0,15,1230.0,SMAL
2011-09-13,85.83,86.0,85.57,85.6,171,14668.43,SMAL
2011-09-15,82.0,85.0,82.0,85.0,70,5845.0,SMAL
2011-09-16,84.92,84.92,84.92,84.92,15,1273.8,SMAL
2011-09-19,80.09,80.09,80.09,80.09,50,4004.5,SMAL
2011-09-22,75.08,75.08,75.08,75.08,11,825.88,SMAL
2011-09-27,80.0,80.0,80.0,80.0,1,80.0,SMAL
2011-09-28,80.0,80.0,80.0,80.0,95,7600.0,SMAL
2011-09-29,57.52,80.04,57.52,80.03,272,20461.51,SMAL
2011-10-04,76.0,76.0,75.01,75.01,51,3826.5,SMAL
2011-10-06,75.0,75.0,75.0,75.0,32,2400.0,SMAL
2011-10-14,73.56,73.56,73.56,73.56,35,2574.6,SMAL
2011-10-18,70.0,73.0,70.0,73.0,33,2385.0,SMAL
2011-10-25,52.07,70.0,52.07,70.0,160,9765.6,SMAL
2011-10-26,51.0,51.0,51.0,51.0,1,51.0,SMAL
2011-10-27,68.0,68.02,68.0,68.02,75,5100.5,SMAL
2011-10-31,52.0,52.0,52.0,52.0,44,2288.0,SMAL
2011-11-01,67.0,67.0,67.0,67.0,50,3350.0,SMAL
2011-11-02,65.04,65.04,65.04,65.04,1,65.04,SMAL
2011-11-03,66.0,66.0,66.0,66.0,51,3366.0,SMAL
2011-11-10,71.0,71.0,71.0,71.0,1,71.0,SMAL
2011-11-11,58.09,72.0,58.09,71.0,82,5517.63,SMAL
2011-11-15,69.6,69.6,69.6,69.6,10,696.0,SMAL
2011-11-18,70.0,70.0,70.0,70.0,80,5600.0,SMAL
2011-11-22,63.06,69.16,63.06,69.16,105,6743.8,SMAL
2011-12-02,72.0,72.0,72.0,72.0,1,72.0,SMAL
2011-12-05,69.0,69.0,69.0,69.0,1,69.0,SMAL
2011-12-06,69.5,70.0,69.5,70.0,9,629.5,SMAL
2011-12-07,70.29,70.29,70.29,70.29,50,3514.5,SMAL
2011-12-09,70.01,70.01,70.01,70.01,3,210.03,SMAL
2011-12-12,73.0,73.0,73.0,73.0,24,1752.0,SMAL
2011-12-13,74.5,75.5,74.5,75.5,74,5576.96,SMAL
2011-12-15,73.0,74.51,73.0,74.5,90,6645.18,SMAL
2011-12-19,72.01,72.01,72.01,72.01,10,720.1,SMAL
2011-12-20,75.0,75.0,75.0,75.0,26,1950.0,SMAL
2011-12-26,75.0,75.0,75.0,75.0,51,3825.0,SMAL
2011-12-28,77.0,77.0,74.0,77.0,62,4744.0,SMAL
2012-01-04,73.01,75.01,72.12,75.01,41,2961.58,SMAL
2012-01-05,79.99,79.99,79.12,79.12,40,3175.24,SMAL
2012-01-06,81.0,89.99,80.03,80.03,112,9176.25,SMAL
2012-01-09,75.78,80.0,75.78,80.0,20,1557.8,SMAL
2012-01-10,72.69,74.21,72.69,74.21,10,731.46,SMAL
2012-01-11,80.05,80.05,80.04,80.04,89,7123.69,SMAL
2012-01-12,83.02,83.02,83.02,83.02,10,830.2,SMAL
2012-01-13,80.01,80.01,80.01,80.01,124,9921.24,SMAL
2012-01-17,80.0,80.0,75.74,75.74,34,2617.76,SMAL
2012-01-20,82.99,82.99,82.99,82.99,5,414.95,SMAL
2012-01-24,72.99,72.99,72.99,72.99,2,145.98,SMAL
2012-01-25,72.22,72.22,72.22,72.22,15,1083.3,SMAL
2012-01-26,76.21,80.1,76.21,80.1,65,4992.55,SMAL
2012-01-27,77.06,77.09,77.06,77.09,2,154.15,SMAL
2012-01-30,75.5,77.0,75.5,77.0,91,6872.0,SMAL
2012-01-31,79.02,79.02,79.02,79.02,1,79.02,SMAL
2012-02-01,79.18,79.18,79.17,79.17,2,158.35,SMAL
2012-02-02,77.02,77.02,77.01,77.01,93,7162.16,SMAL
2012-02-07,77.0,77.0,77.0,77.0,30,2310.0,SMAL
2012-02-08,77.02,77.02,77.02,77.02,38,2926.76,SMAL
2012-02-09,79.01,79.01,79.01,79.01,1,79.01,SMAL
2012-02-13,79.06,79.06,79.06,79.06,24,1897.44,SMAL
2012-02-16,70.47,78.0,70.47,78.0,20,1522.3,SMAL
2012-02-28,80.0,88.88,80.0,88.88,53,4334.84,SMAL
2012-03-07,80.02,80.02,80.02,80.02,17,1360.34,SMAL
2012-03-11,81.01,81.02,81.01,81.02,51,4131.52,SMAL
