date,open,high,low,close,volume,value,board
2007-08-27,410,410,410,410.0,27000,11070000,EQLI
2007-08-28,410,410,410,410.0,5000,2050000,EQLI
2007-09-20,455,455,455,455.0,500,227500,EQLI
2007-09-21,460,460,460,460.0,1,460,EQLI
2007-09-24,470,470,470,470.0,1,470,EQLI
2007-09-25,500,500,500,500.0,1,500,EQLI
2007-10-12,474,485,465,480.0,38,17798,EQLI
2007-10-15,495,495,495,495.0,1,495,EQLI
2007-10-16,496,496,496,496.0,1,496,EQLI
2007-10-19,490,490,490,490.0,1,490,EQLI
2007-10-25,390,490,390,475.0,1252,491877.99,EQLI
2007-10-26,491,491,491,491.0,1,491,EQLI
2007-10-29,484,484,484,484.0,1,484,EQLI
2007-10-30,485,485,485,485.0,12,5820,EQLI
2007-10-31,480,491,480,491.0,3,1451,EQLI
2007-11-01,490,490,490,490.0,1,490,EQLI
2007-11-02,490,490,489,489.0,563,275868,EQLI
2007-11-07,491,491,491,491.0,1000,491000,EQLI
2007-11-09,508,508,508,508.0,1,508,EQLI
2007-11-19,505,505,493,493.0,1011,498461,EQLI
2007-11-21,490,490,490,490.0,390,191100,EQLI
2007-11-22,505,505,505,505.0,1,505,EQLI
2007-11-26,500,506,500,506.0,72,36348,EQLI
2007-11-27,505.55,505.55,505.55,505.55,45,22749.75,EQLI
2007-12-05,425,450,425,450.0,23,9850,EQNL
2007-12-06,500,515,500,510.0,26,13330,EQNL
2007-12-07,505,505,505,505.0,1955,987275,EQNL
2007-12-13,550,550,550,550.0,1,550,EQNL
2007-12-14,510,510,510,510.0,121,61710,EQNL
2007-12-19,510,520,510,520.0,302,157028,EQNL
2007-12-21,530,550,500,500.0,210,109227,EQNL
2007-12-25,520,520,520,520.0,10,5200,EQNL
2007-12-26,525,525,525,525.0,62,32550,EQNL
2007-12-28,515,520,505,520.0,3970,2022675,EQNL
2008-01-09,520,520,520,520.0,1,520,EQNL
2008-01-10,520,520,510,510.0,607,315540,EQNL
2008-01-15,525,530,520,524.0,481,251680,EQNL
2008-01-17,525,525,525,525.0,111,58275,EQNL
2011-05-18,367.77,367.77,367.77,367.77,112720,41455034.4,EQNL
2011-05-23,370,370,367.77,367.77,24970,9194300,EQNL
2011-09-28,310.38,315,306,307.0,7510,2317941.9,EQNL
2011-09-29,310,310,301.02,307.02,3260,996710.8,EQNL
2011-09-30,301.09,319.5,280,307.0,6780,2037232.8,EQNL
2011-10-03,295.55,301.28,285,290.0,4480,1312121,EQNL
2011-10-04,287.05,295,277.01,289.9,8940,2554478.2,EQNL
2011-10-05,309.99,309.99,285,288.0,5830,1701337.9,EQNL
2011-10-06,307,307,307,307.0,50,15350,EQNL
2011-10-07,309.46,312.5,309.46,312.5,740,229834.3,EQNL
2011-10-10,310.5,320.98,308,309.99,3230,1004492.6,EQNL
2011-10-11,311.24,318.98,311.24,318.98,270,86046.3,EQNL
2011-10-12,318,321,318,321.0,1320,423660.3,EQNL
2011-10-13,310.46,324,310.46,324.0,6930,2233244.5,EQNL
2011-10-14,317,318.99,315.11,318.99,630,199674.7,EQNL
2011-10-17,323.99,324,313.98,315.19,140,44738,EQNL
2011-10-18,306.55,329,305,317.8,2060,651802,EQNL
2011-10-19,326,326,321,321.0,400,128752.7,EQNL
2011-10-20,320.99,321,310.59,310.59,660,208755.3,EQNL
2011-10-21,305.03,315,305.03,315.0,3200,994501.6,EQNL
2011-10-24,320.99,321,308,314.99,8470,2629155.4,EQNL
2011-10-25,312.1,317,304.5,305.5,5400,1659135.9,EQNL
2011-10-26,304.2,321,304.2,314.0,3600,1136916.1,EQNL
2011-10-27,314,322.78,307.05,307.05,13550,4213286.3,EQNL
2011-10-28,307,307,293,300.0,12410,3697777.9,EQNL
2011-10-31,299,300,295,300.0,2430,727413.1,EQNL
2011-11-01,296.35,296.35,280.49,291.52,1250,360220.6,EQNL
2011-11-02,285.77,294.99,281.6,292.0,210,60893.1,EQNL
2011-11-03,298.93,299,291.5,296.99,520,153296,EQNL
2011-11-07,296.99,297.1,291.3,296.47,130,38379.1,EQNL
2011-11-08,296.01,300,291.45,300.0,1830,547370.7,EQNL
2011-11-09,305,305,286,300.0,2920,871731.9,EQNL
