date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2011-03-21,158.5,158.5,158.5,158.5,200,31700,EQNE
2011-03-23,221.9,221.9,221.9,221.9,2350,521465,EQNE
2011-04-14,225,225,225,225.0,1150,258750,EQNE
2011-04-27,232,240,232,240.0,400,94400,EQNE
2011-06-22,246,246,246,246.0,2050,504300,EQNE
2011-06-23,247,247,247,247.0,700,172900,EQNE
2011-06-27,247.5,247.5,247.5,247.5,650,160875,EQNE
2011-06-29,246.5,246.5,246.5,246.5,700,172550,EQNE
2011-09-21,248,248,247.5,247.5,1400,346925,EQNE
2011-09-23,246.5,247,246.5,247.0,550,135725,EQNE
2011-09-27,248,248,248,248.0,300,74400,EQNE
2011-11-30,347.2,347.2,347.2,347.2,40,13888,EQNE
2011-12-02,486,486,486,486.0,10,4860,EQNE
2011-12-05,293,293,293,293.0,20,5860,EQNE
2011-12-06,252,252,252,252.0,300,75600,EQNE
2011-12-07,352.8,352.8,251.01,349.98,80,25176.6,EQNE
2011-12-09,489,489,247.04,295.0,70,25640.3,EQNE
2011-12-13,253.01,348.96,253.01,260.0,280,74509.2,EQNE
2011-12-14,260.01,345,260.01,345.0,20,6050.1,EQNE
2011-12-22,288,288,288,288.0,500,144000,EQNE
2011-12-23,286,286,286,286.0,250,71500,EQNE
2011-12-26,290,290,252.11,252.11,360,104021.1,EQNE
2011-12-27,290.5,290.5,290.5,290.5,500,145250,EQNE
2011-12-28,291,291,290.99,290.99,360,104759.9,EQNE
2011-12-30,254.01,254.01,254.01,254.01,10,2540.1,EQNE
2012-01-03,255.02,255.02,255.02,255.02,10,2550.2,EQNE
2012-01-10,256,256,256,256.0,20,5120,EQNE
2012-01-19,250.01,348,250.01,348.0,20,5980.1,EQNE
2012-01-24,250.07,320,250.07,320.0,20,5700.7,EQNE
2012-02-13,247.05,333.33,247.05,333.33,20,5803.8,EQNE
2012-03-02,247.02,338.8,247.02,338.8,20,5858.2,EQNE
2012-03-12,247.02,348.96,247.02,348.96,20,5959.8,EQNE
2012-03-13,247.07,348.96,247.07,348.96,30,9449.9,EQNE
2012-03-14,252,283,252,283.0,40,10949.9,EQNE
2012-03-15,275,275,275,275.0,10,2750,EQNE
2012-03-21,247.02,326.97,247.02,326.97,20,5739.9,EQNE
2012-03-27,253.01,298,253.01,298.0,20,5510.1,EQNE
2012-03-28,252.01,296,252.01,296.0,20,5480.1,EQNE
2012-04-02,252.02,348.96,252.02,348.96,20,6009.8,EQNE
2012-04-03,280,348.96,280,348.96,20,6289.6,EQNE
2012-04-05,280,348.96,280,348.96,20,6289.6,EQNE
2012-04-06,282.8,299.97,282.8,299.97,20,5827.7,EQNE
2012-06-09,329.99,349,329.99,349.0,430,147979.3,EQNE
2012-06-18,206.48,206.48,206.48,206.48,1,206.48,SMAL
2012-06-19,294,348.99,294,348.99,30,9809.9,EQNE
2012-06-21,349,349,253.03,315.0,70,21241.2,EQNE
2012-06-22,295.01,300.83,246.51,300.83,600,156237.3,EQNE
2012-09-10,349,349,248,348.0,170,53520,EQNE
2012-09-11,248,348,248,348.0,80,23960,EQNE
2012-09-12,275,348,275,348.0,80,25220,EQNE
2012-09-18,347,347,265.18,265.18,20,6121.8,EQNE
2012-10-05,264.99,264.99,264.99,264.99,10,2649.9,EQNE
2012-10-08,343.99,343.99,273,273.0,30,9599.9,EQNE
2012-10-09,249.62,249.62,249.62,249.62,10,2496.2,EQNE
2012-10-10,282.07,343.95,253,343.95,30,8790.2,EQNE
2012-10-17,343,349,343,349.0,20,6920,EQNE
2012-10-30,300,300,300,300.0,30,9000,EQNE
2013-02-11,290.01,290.01,290,290.0,30,8700.1,EQNE
2013-02-22,406,406,307.99,307.99,20,7139.9,EQNE
2013-03-11,304.02,304.02,304.01,304.01,30,9120.5,EQNE
2013-04-10,348.99,348.99,251,251.0,20,5999.9,EQNE
2013-05-07,264,264,264,264.0,10,2640,EQNE
2013-05-31,298.31,298.31,298.31,298.31,10,2983.1,EQNE
2013-06-11,288,288,288,288.0,10,2880,EQNE
2013-08-12,248.42,248.42,248.42,248.42,10,2484.2,EQNE
2013-11-07,282.82,300,282.82,300.0,20,5828.2,TQNE
2013-11-20,300,300,300,300.0,10,3000,TQNE
2013-12-05,300,300,300,300.0,200,60000,TQNE
2013-12-11,300,300,300,300.0,10,3000,TQNE
2013-12-23,200.01,200.01,200.01,200.01,10,2000.1,TQNE
2014-01-24,200,200,200,200.0,10,2000,TQNE
2014-02-07,200,200,200,200.0,10,2000,TQNE
2014-03-11,200,200,200,200.0,10,2000,TQNE
2014-03-27,200,200,200,200.0,10,2000,TQNE
2014-11-20,300,300,300,300.0,10,3000,TQBR
2014-11-25,300,300,300,300.0,10,3000,TQBR
2014-12-16,250,250,250,250.0,10,2500,TQBR
2014-12-18,300,300,300,300.0,10,3000,TQBR
2015-03-19,295,295,295,295.0,10,2950,TQBR
2015-06-24,201,201,201,201.0,10,2010,TQBR
2015-08-14,279,280,279,280.0,20,5590,TQBR
2015-08-24,181,250,180,250.0,30,6110,TQBR
2015-08-26,200,200,200,200.0,10,2000,TQBR
2015-08-27,255,279,255,279.0,20,5340,TQBR
2015-09-02,270,270,270,270.0,10,2700,TQBR
2015-09-03,205,205,205,205.0,10,2050,TQBR
2015-09-04,299,299,209,298.0,190,47940,TQBR
2015-09-07,206,300,206,299.0,270,71260,TQBR
2015-09-08,206,299,206,299.0,340,91290,TQBR
2015-09-09,219,299,219,298.0,160,43680,TQBR
2015-09-10,223,300,223,300.0,210,62230,TQBR
2015-09-11,183,183,183,183.0,10,1830,TQBR
2015-09-18,347,347,260,281.0,420,129210,TQBR
2015-09-21,348,348,267,347.0,90,28240,TQBR
2015-09-22,309,350,273,344.0,890,293480,TQBR
2015-09-23,263,339,254,298.0,220,63680,TQBR
2015-09-24,300,300,300,300.0,10,3000,TQBR
2015-09-25,299,299,299,299.0,20,5980,TQBR
2015-09-28,269,299,268,299.0,80,22700,TQBR
2015-09-29,255,339,255,328.0,320,91900,TQBR
2015-09-30,272,348,272,299.0,360,110100,TQBR
2015-10-14,272,307,272,307.0,20,5790,TQBR
2015-10-19,275,275,275,275.0,10,2750,TQBR
2015-10-21,304,313,304,313.0,40,12290,TQBR
2015-10-29,283,283,283,283.0,20,5660,TQBR
2015-11-02,310,310,281,281.0,40,11820,TQBR
2015-11-03,308,308,252,252.0,240,69900,TQBR
2015-11-06,312,348,260,281.0,1040,309250,TQBR
2015-11-10,337,337,292,292.0,270,84310,TQBR
2015-11-12,294,294,294,294.0,10,2940,TQBR
2015-11-19,293,293,272,272.0,20,5650,TQBR
2015-11-23,280,280,280,280.0,40,11200,TQBR
2015-12-02,281,281,260,260.0,40,11020,TQBR
2016-01-05,292,292,290,290.0,20,5820,TQBR
2016-01-06,174,225,174,225.0,14,2793,SMAL
2016-02-03,300,300,300,300.0,10,3000,TQBR
2016-02-05,303,303,303,303.0,20,6060,TQBR
2016-03-10,310,315,305,305.0,30,9300,TQBR
2016-03-24,314,323,314,323.0,20,6370,TQBR
2016-04-14,343,343,343,343.0,10,3430,TQBR
2016-05-20,310,310,310,310.0,10,3100,TQBR
2016-05-24,348,348,348,348.0,10,3480,TQBR
2016-06-22,295,295,295,295.0,2,590,SMAL
2016-08-11,267,274,267,274.0,20,5410,TQBR
2016-08-16,275,275,275,275.0,10,2750,TQBR
2016-09-22,377,402,333,402.0,100,38330,TQBR
2016-09-23,562,562,549,562.0,40,22350,TQBR
2016-09-26,785,785,337,394.0,200,82320,TQBR
2016-09-27,543,543,260,350.0,340,117180,TQBR
2016-09-28,481,483,265,400.0,210,78890,TQBR
2016-09-29,400,439,400,439.0,20,8390,TQBR
2016-10-04,437,437,305,352.0,60,21580,TQBR
2016-10-05,400,400,314,330.0,30,10440,TQBR
