date,open,high,low,close,volume,value,board
2012-11-22,1780.0,1780.0,1780.0,1780.0,1200,2136000.0,EQNE
2012-11-23,1770.0,1780.0,1769.0,1780.0,775,1371770.1,EQNE
2012-11-26,1765.0,1765.0,1750.0,1750.0,26,45856.0,EQNE
2012-11-27,1760.0,1760.0,1740.0,1750.0,21,36804.0,EQNE
2012-11-28,1720.0,1720.0,1720.0,1720.0,515,885800.0,EQNE
2012-11-29,1720.0,1720.0,1720.0,1720.0,50,86000.0,EQNE
2012-12-04,1710.0,1710.0,1710.0,1710.0,128,218880.0,EQNE
2012-12-05,1720.0,1750.0,1720.0,1750.0,753,1301229.5,EQNE
2012-12-07,1721.0,1725.0,1721.0,1725.0,229,394729.0,EQNE
2012-12-11,1740.0,1750.0,1740.0,1750.0,15,26110.0,EQNE
2012-12-12,1746.0,1750.0,1746.0,1750.0,2,3496.0,EQNE
2012-12-17,1740.0,1780.0,1740.0,1770.0,98,171515.0,EQNE
2012-12-18,1800.0,1800.0,1780.0,1800.0,305,546720.0,EQNE
2012-12-20,1800.0,1800.0,1800.0,1800.0,78,140400.0,EQNE
2012-12-24,1770.0,1775.0,1770.0,1775.0,1070,1896400.0,EQNE
2012-12-27,1765.0,1770.0,1764.1,1764.1,387,683630.5,EQNE
2012-12-28,1770.0,1770.0,1770.0,1770.0,93,164610.0,EQNE
2013-01-08,1850.0,1850.0,1826.0,1850.0,116,214576.0,EQNE
2013-01-10,1850.0,1850.0,1815.0,1820.0,643,1170038.0,EQNE
2013-01-11,1830.0,1830.0,1800.0,1817.0,1088,1980290.0,EQNE
2013-01-15,1810.0,1810.0,1810.0,1810.0,92,166520.0,EQNE
2013-01-18,1840.0,1840.0,1840.0,1840.0,95,174800.0,EQNE
2013-01-21,1840.0,1840.0,1840.0,1840.0,65,119600.0,EQNE
2013-01-22,1830.0,1830.0,1830.0,1830.0,16,29280.0,EQNE
2013-01-23,1845.0,1845.0,1845.0,1845.0,173,319185.0,EQNE
2013-01-24,1860.0,1865.0,1840.0,1864.0,56,104119.0,EQNE
2013-01-25,1850.0,1850.0,1850.0,1850.0,42,77700.0,EQNE
2013-01-28,1870.0,1870.0,1870.0,1870.0,119,222530.0,EQNE
2013-01-29,1895.0,1898.0,1895.0,1898.0,588,1115142.0,EQNE
2013-01-30,1870.0,1875.0,1870.0,1870.0,40,74925.0,EQNE
2013-01-31,1866.0,1900.0,1860.0,1900.0,1814,3424731.0,EQNE
2013-02-01,1940.0,1950.0,1940.0,1950.0,4712,9166280.0,EQNE
2013-02-05,1990.0,2020.0,1990.0,2020.0,1155,2322845.0,EQNE
2013-02-06,2030.0,2030.0,2030.0,2030.0,550,1116500.0,EQNE
2013-02-07,2010.0,2010.0,2000.0,2000.0,61,122560.0,EQNE
2013-02-08,2005.0,2005.0,1990.0,1990.0,116,231590.0,EQNE
2013-02-11,1990.0,1990.0,1980.0,1990.0,326,648380.0,EQNE
2013-02-13,1990.0,2020.0,1985.1,2020.0,81,163319.5,EQNE
2013-02-14,1995.0,2000.0,1995.0,2000.0,83,165740.0,EQNE
2013-02-15,1990.0,1990.0,1990.0,1990.0,10,19900.0,EQNE
2013-02-19,1980.0,1980.0,1980.0,1980.0,23,45540.0,EQNE
2013-02-20,1970.0,1970.0,1970.0,1970.0,320,630400.0,EQNE
2013-02-21,1950.0,1950.0,1948.0,1950.0,224,436570.0,EQNE
2013-02-22,1965.0,1970.0,1965.0,1970.0,134,263440.0,EQNE
2013-02-25,2030.0,2030.0,2030.0,2030.0,3,6090.0,EQNE
2013-02-26,1972.0,1972.0,1972.0,1972.0,1,1972.0,EQNE
2013-02-27,1972.0,1972.0,1972.0,1972.0,1,1972.0,EQNE
2013-02-28,2050.0,2050.0,2050.0,2050.0,1000,2050000.0,EQNE
2013-03-01,2065.0,2065.0,2065.0,2065.0,20,41300.0,EQNE
2013-03-04,1970.0,1970.0,1970.0,1970.0,8,15760.0,EQNE
