date,open,high,low,close,volume,value,board
2012-11-22,1320.0,1320.0,1320.0,1320.0,1,1320.0,EQNE
2012-11-26,1295.0,1295.0,1295.0,1295.0,1,1295.0,EQNE
2012-11-27,1300.0,1310.0,1300.0,1310.0,3978,5191290.0,EQNE
2012-11-28,1300.0,1300.0,1300.0,1300.0,229,297700.0,EQNE
2012-11-30,1310.0,1310.0,1310.0,1310.0,4,5240.0,EQNE
2012-12-04,1324.0,1324.0,1323.9,1323.9,51,67523.9,EQNE
2012-12-05,1320.1,1320.1,1320.1,1320.1,162,213856.2,EQNE
2012-12-06,1329.0,1329.0,1329.0,1329.0,17,22593.0,EQNE
2012-12-07,1320.0,1330.0,1315.0,1315.0,9,11901.2,EQNE
2012-12-10,1320.0,1320.0,1318.0,1320.0,5,6596.0,EQNE
2012-12-11,1315.0,1333.0,1300.0,1322.5,929,1221345.8,EQNE
2012-12-12,1328.3,1329.0,1320.0,1324.0,6,7949.3,EQNE
2012-12-14,1320.0,1320.0,1320.0,1320.0,200,264000.0,EQNE
2012-12-17,1318.1,1324.0,1318.1,1324.0,26,34276.5,EQNE
2012-12-18,1320.0,1340.0,1320.0,1340.0,629,831889.9,EQNE
2012-12-24,1320.0,1320.0,1320.0,1320.0,130,171600.0,EQNE
2012-12-25,1319.1,1319.1,1319.1,1319.1,30,39573.0,EQNE
2012-12-26,1325.0,1325.2,1325.0,1325.2,650,861265.2,EQNE
2012-12-27,1320.2,1320.2,1320.2,1320.2,508,670661.6,EQNE
2012-12-28,1320.1,1320.1,1320.1,1320.1,71,93727.1,EQNE
2013-01-09,1364.4,1364.4,1364.4,1364.4,1,1364.4,EQNE
2013-01-10,1354.2,1364.6,1354.2,1360.0,93,126478.8,EQNE
2013-01-11,1363.0,1363.0,1363.0,1363.0,91,124033.0,EQNE
2013-01-15,1335.0,1359.0,1335.0,1359.0,23,30827.0,EQNE
2013-01-18,1348.9,1363.0,1348.9,1363.0,450,610044.5,EQNE
2013-01-21,1365.0,1365.0,1365.0,1365.0,104,141960.0,EQNE
2013-01-24,1360.0,1370.0,1360.0,1364.9,9,12268.8,EQNE
2013-01-25,1355.0,1360.0,1355.0,1360.0,89,121025.0,EQNE
2013-01-29,1387.0,1390.0,1387.0,1390.0,85,117898.0,EQNE
2013-01-30,1380.7,1380.7,1380.7,1380.7,42,57989.4,EQNE
2013-01-31,1400.0,1405.0,1400.0,1405.0,141,197650.0,EQNE
2013-02-01,1430.0,1440.0,1430.0,1440.0,292,418770.0,EQNE
2013-02-06,1425.0,1425.0,1421.0,1421.0,3,4271.0,EQNE
2013-02-07,1430.0,1430.0,1427.0,1429.0,6,8573.0,EQNE
2013-02-08,1425.0,1428.0,1390.0,1400.0,69,98084.7,EQNE
2013-02-11,1390.2,1390.3,1390.0,1390.2,534,742359.8,EQNE
2013-02-12,1395.0,1395.0,1395.0,1395.0,143,199485.0,EQNE
2013-02-13,1400.0,1410.5,1400.0,1410.2,35,49258.0,EQNE
2013-02-14,1400.0,1410.0,1395.0,1410.0,31,43538.1,EQNE
2013-02-15,1414.0,1414.0,1410.0,1410.0,46,65004.0,EQNE
2013-02-19,1410.0,1410.0,1410.0,1410.0,75,105750.0,EQNE
2013-02-20,1407.0,1407.0,1407.0,1407.0,191,268737.0,EQNE
2013-02-21,1387.0,1390.0,1387.0,1390.0,20,27770.0,EQNE
2013-02-22,1382.3,1386.0,1382.3,1386.0,164,227211.5,EQNE
2013-02-28,1390.0,1390.0,1380.0,1385.0,10,13861.0,EQNE
2013-03-01,1370.4,1370.4,1370.4,1370.4,50,68520.0,EQNE
