date,open,high,low,close,volume,value,board
2009-07-29,353.5,353.5,353.5,353.5,1,353.5,EQNE
2009-07-30,441,494,441,494.0,3,1429,EQNE
2009-07-31,595,666,595,666.0,3,1927,EQNE
2009-08-03,665,665,665,665.0,1,665,EQNE
2009-09-15,600.01,600.01,600,600.0,10,6000.02,EQNE
2009-09-16,598,598,530,530.0,85,49810,EQNE
2009-09-17,450,499.99,450,499.99,12,5499.98,EQNE
2009-09-21,430.01,430.01,414.99,415.0,47,19580,EQNE
2009-09-22,475,530,421,421.0,26,12800.93,EQNE
2009-09-24,450,450,300,335.02,56,19935.02,EQNE
2009-09-29,374.98,395,374.98,395.0,7,2654.95,EQNE
2009-10-02,410,410,410,410.0,1,410,EQNE
2009-10-06,405,480,405,480.0,21,9244,EQNE
2009-10-07,480,500,480,500.0,2,980,EQNE
2009-10-08,525,525,525,525.0,1,525,EQNE
2009-10-13,350.26,550,350.26,550.0,3,1250.52,EQNE
2009-10-14,390.55,400,350.01,350.01,59,22665.72,EQNE
2009-10-19,449.98,523.91,449.98,477.99,51,25082.34,EQNE
2009-10-20,519,519,405.37,405.37,7,3354.97,EQNE
2009-10-21,433.57,451.01,390.38,390.38,6,2567.35,EQNE
2009-10-23,390.38,390.38,390.38,390.38,4,1561.52,EQNE
2009-11-02,395.02,395.02,390.32,390.32,36,14121.91,EQNE
2009-11-12,355.56,361,352,361.0,22,7774.36,EQNE
2009-11-16,452.85,500,425,425.0,26,12270.69,EQNE
2009-11-17,391.02,391.02,391.01,391.01,12,4692.16,EQNE
2009-11-23,468.99,468.99,468.99,468.99,3,1406.97,EQNE
2009-11-27,469,485,430.01,430.01,8,3628.06,EQNE
2009-12-01,365.52,365.52,345,359.01,42,14730.98,EQNE
2009-12-03,335.19,335.19,335.07,335.07,11,3686.25,EQNE
2009-12-04,383.24,384.06,383.24,384.06,3,1151.36,EQNE
2009-12-07,351.1,351.1,351.1,351.1,2,702.2,EQNE
2009-12-08,468.98,468.98,398.64,398.64,2,867.62,EQNE
2009-12-10,440.01,555,431,431.0,12,5590,EQNE
2009-12-11,370,380.01,370,380.0,7,2620.01,EQNE
2009-12-17,436.85,436.85,385.04,385.04,4,1643.78,EQNE
2009-12-30,388,388,388,388.0,3,1164,EQNE
2010-01-14,408.57,408.57,408.57,408.57,1,408.57,EQNE
2010-01-15,357.55,357.55,357.55,357.55,1,357.55,EQNE
2010-01-18,399.98,450.99,399.98,450.99,16,6496.23,EQNE
2010-01-19,450.01,450.01,450,450.0,202,90900.02,EQNE
2010-01-20,500,600,441,441.0,8,3978,EQNE
2010-02-03,459.99,460,459.99,460.0,5,2299.97,EQNE
2010-02-04,459.99,460,442.05,442.05,18,8189.81,EQNE
2010-02-10,437.67,437.67,437.67,437.67,2,875.34,EQNE
2010-02-11,433.34,433.34,429.05,429.05,4,1724.78,EQNE
2010-02-12,424.8,424.8,367,367.0,40,15539.11,EQNE
2010-02-19,405.99,406,365.01,405.99,20,7914.98,EQNE
2010-02-24,371.3,371.3,371.18,371.18,6,2227.62,EQNE
