date,open,high,low,close,volume,value,board
2009-06-26,247,247,247,247.0,10,2470,EQNE
2009-06-29,345,345.02,345,345.02,5,1725.05,EQNE
2009-06-30,480,480,480,480.0,2,960,EQNE
2009-07-01,672,672,672,672.0,2,1344,EQNE
2009-07-03,850,850,850,850.0,1,850,EQNE
2009-07-07,1000,1010,1000,1010.0,71,71681,EQNE
2009-07-08,758,1150,758,1150.0,14,11004,EQNE
2009-07-09,500,1089,485,485.0,11,5954,EQNE
2009-07-13,450,763,450,763.0,2070,1575142,EQNE
2009-07-14,999,999,461.57,994.97,691,658799.79,EQNE
2009-07-15,632,900,623,900.0,22,14478.3,EQNE
2009-07-16,630,800,526,800.0,37,21327,EQNE
2009-07-17,550,799.97,550,789.97,54,38315.41,EQNE
2009-07-20,973,973,600,898.87,13,11455.88,EQNE
2009-07-21,606,940.97,550.01,747.99,31,19720.56,EQNE
2009-07-22,550.02,600.98,550.02,600.98,35,20232.79,EQNE
2009-07-23,550.01,598.91,400,547.8,96,45024.85,EQNE
2009-07-24,425,488.99,420,431.0,232,100886.02,EQNE
2009-07-27,400,600,372.01,431.57,325,149485.39,EQNE
2009-07-28,390.01,440,370.12,370.12,50,20090.14,EQNE
2009-07-30,361.02,399.99,311,394.99,9,3362,EQNE
2009-07-31,320,399.88,320,350.0,114,39859.88,EQNE
2009-08-03,437,437,437,437.0,46,20102,EQNE
2009-08-04,400,400,370.01,380.0,153,61030.04,EQNE
2009-08-05,383.01,438.96,318.13,367.16,43,16786.93,EQNE
2009-08-06,428.97,428.97,428.97,428.97,3,1286.91,EQNE
2009-08-10,410,410,332.01,332.01,2,742.01,EQNE
2009-08-13,399.99,399.99,340,340.0,13,5019.9,EQNE
2009-08-18,340,360,332,350.0,14,4792,EQNE
2009-08-19,380,413.97,380,413.97,1504,622535,EQNE
2009-08-21,410,418,410,418.0,1101,460210,EQNE
2009-09-01,360,360,360,360.0,5,1800,EQNE
2009-09-03,340.03,399.97,330.01,350.0,39,13464.85,EQNE
2009-09-04,400,450,400,450.0,36,14975.47,EQNE
2009-09-07,500,500,370,370.0,99,36760.1,EQNE
2009-09-08,419.67,419.67,419.67,419.67,86,36091.62,EQNE
2009-09-11,372,372,372,372.0,3,1116,EQNE
2009-09-14,355,356,355,356.0,2,711,EQNE
2009-09-15,384.82,418.95,383.79,418.0,414,172013.47,EQNE
2009-09-16,380,429.9,380,429.9,1673,702379,EQNE
2009-09-17,480,480,429,429.9,116,54376.5,EQNE
2009-09-18,469,590,380,399.95,1546,596109.62,EQNE
2009-09-21,385,418.99,366,418.99,180,73733.57,EQNE
2009-09-22,430,500,382.51,500.0,699,276243.37,EQNE
2009-09-24,429,429,372,399.99,347,131343.93,EQNE
2009-09-25,399,434.99,378,387.26,119,47461.4,EQNE
2009-09-28,400,400,400,400.0,5,2000,EQNE
2009-09-29,430,430,430,430.0,1,430,EQNE
2009-10-01,449.98,449.99,449.98,449.99,9,4049.9,EQNE
