date,open,high,low,close,volume,value,board
2007-06-19,5.7,5.7,5.7,5.7,100,570.0,EQNE
2007-06-28,4.0,4.0,4.0,4.0,1100,4400.0,EQNE
2007-07-17,3.8,3.8,3.8,3.8,100,380.0,EQNE
2007-07-19,4.0,4.0,4.0,4.0,2300,9200.0,EQNE
2007-07-20,5.0,5.0,5.0,5.0,300,1500.0,EQNE
2007-07-25,5.0,5.0,5.0,5.0,2000,10000.0,EQNE
2007-08-22,4.999,4.999,4.999,4.999,800,3999.2,EQNE
2007-09-10,2.999,2.999,2.999,2.999,500,1499.5,EQNE
2007-09-11,3.0,3.0,3.0,3.0,1300,3900.0,EQNE
2007-09-12,2.828,2.828,2.828,2.828,300,848.4,EQNE
2007-09-13,2.828,3.4,2.828,3.4,1800,5662.4,EQNE
2007-10-03,2.911,2.911,2.911,2.911,2500,7277.5,EQNE
2007-10-04,4.075,4.075,4.075,4.075,2500,10187.5,EQNE
2007-10-17,2.902,3.53,2.902,3.53,7500,23580.0,EQNE
2007-10-24,3.5,4.402,3.2,3.2,3400,14066.2,EQNE
2007-10-29,3.45,3.45,3.45,3.45,5000,17250.0,EQNE
2007-11-06,3.5,3.5,3.5,3.5,100,350.0,EQNE
2007-12-18,3.0,3.0,3.0,3.0,300,900.0,EQNE
2007-12-25,3.0,3.0,3.0,3.0,100,300.0,EQNE
2008-01-17,3.0,3.5,3.0,3.5,2500,7650.0,EQNE
2008-01-22,3.4,3.4,3.4,3.4,30000,102000.0,EQNE
2008-01-29,3.33,3.33,3.23,3.23,3400,11242.0,EQNE
2008-02-04,3.2,3.2,3.2,3.2,100,320.0,EQNE
2008-02-06,3.3,3.3,3.3,3.3,10300,33990.0,EQNE
2008-02-11,3.35,3.35,3.35,3.35,100,335.0,EQNE
2008-02-22,3.3,3.3,3.3,3.3,100,330.0,EQNE
2008-02-26,3.2,3.2,3.2,3.2,3200,10240.0,EQNE
2008-02-29,3.15,3.15,3.01,3.01,7700,23303.0,EQNE
2008-03-21,3.449,3.449,3.449,3.449,12900,44492.1,EQNE
2008-03-25,3.2,3.2,3.2,3.2,100,320.0,EQNE
2008-04-15,3.399,3.399,3.399,3.399,100,339.9,EQNE
2008-04-16,3.399,3.399,3.399,3.399,30000,101970.0,EQNE
2008-04-17,3.45,3.45,3.45,3.45,500,1725.0,EQNE
2008-04-18,3.45,3.45,3.45,3.45,500,1725.0,EQNE
2008-04-23,2.98,3.4,2.98,3.4,200,638.0,EQNE
2008-05-30,2.91,2.91,2.91,2.91,5400,15714.0,EQNE
2008-06-04,3.45,3.45,3.45,3.45,100,345.0,EQNE
2008-06-17,3.4,3.4,3.4,3.4,100,340.0,EQNE
2008-06-27,3.0,3.0,3.0,3.0,11300,33900.0,EQNE
2008-06-30,3.0,3.0,3.0,3.0,100,300.0,EQNE
2008-07-01,3.0,3.0,3.0,3.0,2200,6600.0,EQNE
2008-07-03,3.0,3.0,3.0,3.0,10200,30600.0,EQNE
2008-07-07,3.389,3.389,3.389,3.389,100,338.9,EQNE
2008-07-23,3.446,3.446,3.446,3.446,100,344.6,EQNE
2008-08-11,3.447,3.448,3.447,3.448,300,1034.3,EQNE
2008-08-21,2.828,2.828,2.828,2.828,500,1414.0,EQNE
2008-08-25,3.449,3.449,3.449,3.449,100,344.9,EQNE
2008-09-23,2.828,2.828,2.828,2.828,1300,3676.4,EQNE
2008-09-24,2.828,2.828,2.828,2.828,200,565.6,EQNE
2008-12-02,2.3,2.8,2.3,2.8,10200,23560.0,EQNE
2008-12-03,1.6,1.6,1.6,1.6,10400,16640.0,EQNE
2008-12-09,1.386,1.386,1.3,1.3,20600,26831.6,EQNE
2008-12-23,1.5,1.5,1.5,1.5,20000,30000.0,EQNE
2009-01-12,1.499,1.499,1.499,1.499,41800,62658.2,EQNE
2009-03-19,1.5,1.5,1.5,1.5,100,150.0,EQNE
2009-04-13,1.5,1.5,1.5,1.5,200,300.0,EQNE
2009-04-14,1.5,1.5,1.5,1.5,4700,7050.0,EQNE
2009-04-16,1.6,1.6,1.6,1.6,200,320.0,EQNE
2009-04-20,1.6,1.8,1.6,1.8,79400,135997.4,EQNE
2009-04-22,1.26,1.518,1.2,1.518,6000,7665.0,EQNE
2009-04-23,1.59,1.6,1.59,1.6,15100,24059.0,EQNE
2009-04-27,1.35,1.35,1.35,1.35,100,135.0,EQNE
2009-05-07,1.3,1.6,1.3,1.45,3000,4395.0,EQNE
2009-05-08,1.3,1.5,1.3,1.5,2000,2800.0,EQNE
2009-05-12,1.55,1.55,1.55,1.55,600,930.0,EQNE
2009-05-13,1.55,1.6,1.55,1.6,7000,11180.0,EQNE
2009-05-18,1.599,1.6,1.599,1.6,5000,7999.8,EQNE
2009-05-21,1.599,1.599,1.599,1.599,100,159.9,EQNE
2009-05-22,1.6,1.6,1.6,1.6,5000,8000.0,EQNE
2009-06-02,1.699,1.7,1.699,1.7,1000,1699.9,EQNE
2009-06-04,1.7,1.7,1.7,1.7,500,850.0,EQNE
2009-06-09,1.6,1.6,1.6,1.6,18500,29600.0,EQNE
2009-06-22,1.7,1.7,1.7,1.7,100,170.0,EQNE
2009-07-09,1.7,1.85,1.7,1.8,17700,31510.0,EQNE
2009-07-13,1.7,1.7,1.7,1.7,24000,40800.0,EQNE
2009-07-15,1.8,1.9,1.787,1.9,8800,16188.7,EQNE
2009-07-22,1.7,2.3,1.699,2.3,62100,105689.9,EQNE
2009-07-27,2.0,2.0,2.0,2.0,300,600.0,EQNE
2009-07-28,2.0,2.0,2.0,2.0,500,1000.0,EQNE
2009-07-30,2.0,2.0,2.0,2.0,4700,9400.0,EQNE
2009-07-31,2.1,2.1,1.714,1.714,4700,9677.1,EQNE
2009-08-03,2.099,2.1,1.802,2.1,6200,12869.1,EQNE
2009-08-04,1.72,2.0,1.72,2.0,300,544.0,EQNE
2009-08-06,2.0,2.0,2.0,2.0,10000,20000.0,EQNE
2009-08-10,2.0,2.0,2.0,2.0,100,200.0,EQNE
2009-08-11,1.5,1.5,1.5,1.5,45,67.5,SMAL
2009-08-12,2.0,2.0,2.0,2.0,2500,5000.0,EQNE
2009-08-19,1.997,2.1,1.997,2.1,28500,58798.5,EQNE
2009-08-24,2.099,2.1,2.099,2.1,12600,26457.4,EQNE
2009-08-27,2.099,2.099,2.0,2.0,1000,2009.9,EQNE
2009-08-28,2.0,2.0,2.0,2.0,1300,2600.0,EQNE
2009-08-31,2.0,2.05,2.0,2.05,71700,143825.0,EQNE
2009-09-01,2.05,2.79,1.301,1.982,1516700,2997515.8,EQNE
2009-09-02,2.0,2.0,2.0,2.0,600,1200.0,EQNE
2009-09-03,2.0,2.0,1.9,1.9,2000,3840.5,EQNE
2009-09-04,2.099,2.1,2.099,2.099,4100,8608.6,EQNE
2009-09-07,2.0,2.05,2.0,2.05,18600,37870.0,EQNE
2009-09-08,1.902,2.099,1.902,2.099,500,1029.3,EQNE
2009-09-09,2.0,2.1,2.0,2.1,36500,75989.7,EQNE
2009-09-10,2.1,2.1,2.1,2.1,1700,3570.0,EQNE
2009-09-11,2.1,2.174,2.1,2.174,20600,43789.0,EQNE
2009-09-14,2.2,2.2,2.2,2.2,700,1540.0,EQNE
2009-09-15,2.2,3.08,2.051,2.051,33300,76977.0,EQNE
2009-09-16,2.448,2.449,2.448,2.449,1100,2693.3,EQNE
2009-09-17,2.449,2.449,2.449,2.449,400,979.6,EQNE
2009-09-21,2.449,2.449,2.449,2.449,3400,8326.6,EQNE
2009-09-22,2.221,2.33,2.152,2.33,45000,101108.6,EQNE
2009-09-23,2.25,2.393,2.2,2.289,89500,201241.6,EQNE
2009-09-24,2.3,2.31,2.289,2.29,132000,303226.3,EQNE
2009-09-25,2.29,2.3,2.29,2.3,41600,95324.0,EQNE
2009-09-28,2.3,2.35,2.3,2.35,59700,139810.0,EQNE
2009-09-29,2.3,2.3,2.12,2.212,96800,212828.8,EQNE
2009-09-30,2.396,2.397,2.14,2.24,9800,22110.1,EQNE
2009-10-01,2.272,2.39,2.272,2.39,2200,5071.2,EQNE
2009-10-05,2.4,2.4,2.4,2.4,900,2160.0,EQNE
2009-10-06,2.4,2.4,2.4,2.4,13200,31680.0,EQNE
2009-10-09,2.251,2.251,2.25,2.25,11300,25425.4,EQNE
2009-10-12,2.499,2.5,2.449,2.45,25100,62130.3,EQNE
2009-10-15,2.5,2.55,2.47,2.47,53400,133900.0,EQNE
2009-10-16,2.45,2.45,2.4,2.4,20200,48980.0,EQNE
2009-10-19,2.4,2.45,2.4,2.45,10300,24735.0,EQNE
2009-10-21,2.227,2.227,2.227,2.227,100,222.7,EQNE
2009-10-22,2.449,2.449,2.449,2.449,100,244.9,EQNE
2009-11-09,2.449,2.45,2.449,2.45,20000,48999.9,EQNE
2009-11-12,2.5,2.5,2.201,2.3,47500,108467.1,EQNE
2009-11-13,2.5,2.5,2.493,2.493,4500,11246.5,EQNE
2009-11-16,2.5,2.5,2.5,2.5,200,500.0,EQNE
2009-11-17,2.499,2.65,2.499,2.65,34200,87520.5,EQNE
2009-11-18,2.65,2.65,2.5,2.501,43900,114722.5,EQNE
2009-11-19,2.65,2.7,2.61,2.61,150200,401554.0,EQNE
2009-11-20,2.66,2.66,2.66,2.66,100,266.0,EQNE
2009-11-23,2.998,2.998,2.65,2.65,62300,165130.2,EQNE
2009-11-25,2.53,2.53,2.5,2.52,26200,65807.0,EQNE
2009-11-26,2.579,2.579,2.579,2.579,400,1031.6,EQNE
2009-12-01,2.54,2.54,2.54,2.54,35100,89154.0,EQNE
2009-12-02,2.52,2.52,2.52,2.52,500,1260.0,EQNE
2009-12-08,2.51,2.51,2.51,2.51,5000,12550.0,EQNE
2009-12-09,2.51,2.58,2.51,2.58,67400,172732.0,EQNE
2009-12-10,2.56,2.57,2.56,2.56,2300,5893.0,EQNE
2009-12-11,2.55,2.651,2.55,2.65,80000,208667.4,EQNE
2009-12-15,2.55,2.66,2.55,2.6,35800,94361.1,EQNE
2009-12-16,2.7,2.999,2.62,2.999,12600,34298.3,EQNE
2009-12-17,2.77,2.8,1.8,2.8,112400,219750.4,EQNE
2009-12-18,2.8,3.0,2.8,2.9,39800,114569.1,EQNE
2009-12-21,2.901,3.09,2.87,2.9,34500,102185.1,EQNE
2009-12-22,3.1,3.1,3.094,3.094,10100,31309.4,EQNE
2009-12-23,3.099,3.1,3.099,3.1,8800,27277.9,EQNE
2009-12-24,3.05,3.07,3.05,3.05,18200,55546.0,EQNE
2009-12-25,3.05,3.05,3.05,3.05,5000,15250.0,EQNE
2009-12-28,3.085,3.098,3.085,3.098,700,2167.3,EQNE
2009-12-29,3.1,3.1,3.06,3.06,700,2146.0,EQNE
2009-12-30,3.06,3.1,3.06,3.1,4800,14752.0,EQNE
2009-12-31,3.051,3.1,3.051,3.1,4900,15165.5,EQNE
2010-01-11,3.1,3.15,3.01,3.1,24300,75609.4,EQNE
2010-01-12,3.099,3.15,3.099,3.15,24100,75148.3,EQNE
2010-01-13,3.15,3.15,3.089,3.089,30900,95730.4,EQNE
2010-01-14,3.15,3.15,3.05,3.147,60400,185727.4,EQNE
2010-01-15,3.15,3.2,3.051,3.19,44000,138864.0,EQNE
2010-01-18,3.2,3.2,3.1,3.133,127900,398434.8,EQNE
2010-01-19,3.15,3.198,3.1,3.145,76600,237884.6,EQNE
2010-01-20,3.148,3.19,3.09,3.1,73600,229389.8,EQNE
2010-01-21,3.1,3.2,3.051,3.15,112600,356435.7,EQNE
2010-01-22,3.1,3.299,3.099,3.28,101000,321274.7,EQNE
2010-01-25,3.299,3.45,3.299,3.45,1100,3659.7,EQNE
2010-01-26,3.44,3.5,3.3,3.469,266900,900438.5,EQNE
2010-01-27,3.496,3.497,3.43,3.497,400,1392.0,EQNE
2010-01-28,3.75,3.75,3.42,3.498,3900,13589.4,EQNE
2010-01-29,3.151,3.45,3.151,3.397,25400,84217.0,EQNE
2010-02-01,3.497,3.497,3.25,3.493,4600,15400.4,EQNE
2010-02-02,3.36,3.488,3.3,3.33,10600,35096.6,EQNE
2010-02-03,3.301,3.415,3.3,3.415,1600,5298.3,EQNE
2010-02-04,3.493,3.493,3.31,3.31,3900,13092.3,EQNE
2010-02-05,3.396,3.396,3.219,3.34,1400,4545.7,EQNE
2010-02-08,3.45,3.45,3.45,3.45,100,345.0,EQNE
2010-02-09,3.622,3.622,3.03,3.4,7400,23115.0,EQNE
2010-02-10,3.6,3.6,3.002,3.4,9200,29006.8,EQNE
2010-02-11,3.3,3.4,3.051,3.2,24200,78325.9,EQNE
2010-02-12,3.239,3.34,3.15,3.15,14900,48641.7,EQNE
2010-02-15,3.349,3.699,3.18,3.4,60100,204914.2,EQNE
2010-02-16,3.5,3.65,3.499,3.65,36600,129152.8,EQNE
2010-02-17,3.649,3.7,3.411,3.55,12300,44560.3,EQNE
2010-02-18,3.649,3.649,3.201,3.305,5900,20119.9,EQNE
2010-02-19,3.24,3.24,3.24,3.24,100,324.0,EQNE
2010-02-24,3.25,3.5,3.25,3.255,4100,13969.5,EQNE
2010-02-25,3.479,3.479,3.35,3.355,3600,12107.2,EQNE
2010-02-26,3.6,3.697,3.523,3.599,25900,91689.5,EQNE
2010-02-27,3.6,3.648,3.5,3.646,44900,157731.6,EQNE
2010-03-01,3.6,3.6,3.6,3.6,5700,20520.0,EQNE
2010-03-02,3.6,3.6,3.501,3.6,1400,4940.8,EQNE
2010-03-03,3.6,3.6,3.45,3.598,9300,33274.8,EQNE
2010-03-04,3.8,3.8,3.699,3.699,200,749.9,EQNE
2010-03-05,3.699,3.699,3.697,3.698,5400,19970.1,EQNE
2010-03-09,3.6,3.7,3.6,3.7,6400,23326.0,EQNE
2010-03-10,3.75,3.75,3.75,3.75,100,375.0,EQNE
2010-03-11,3.8,3.8,3.682,3.799,19000,70157.5,EQNE
2010-03-12,3.75,3.8,3.631,3.798,103000,387139.1,EQNE
2010-03-15,3.85,3.85,3.849,3.85,2600,10007.9,EQNE
2010-03-16,3.87,3.87,3.87,3.87,10200,39474.0,EQNE
2010-03-17,3.8,3.93,3.8,3.832,78300,306998.2,EQNE
2010-03-18,3.611,3.929,3.61,3.9,8700,33522.0,EQNE
2010-03-19,3.9,3.9,3.662,3.797,7200,27232.0,EQNE
2010-03-22,3.899,3.899,3.899,3.899,100,389.9,EQNE
2010-03-24,3.809,3.809,3.809,3.809,1000,3809.0,EQNE
2010-03-25,3.898,3.899,3.8,3.898,12100,47156.2,EQNE
2010-03-26,3.898,3.898,3.898,3.898,100,389.8,EQNE
2010-03-29,3.801,3.925,3.8,3.925,500,1918.7,EQNE
2010-03-30,3.947,3.947,3.9,3.925,7000,27372.0,EQNE
2010-03-31,3.92,3.92,3.9,3.9,100100,392390.0,EQNE
2010-04-01,3.915,3.915,3.9,3.9,300,1173.0,EQNE
2010-04-02,3.899,3.899,3.89,3.89,600,2334.9,EQNE
2010-04-05,3.889,3.889,3.889,3.889,100,388.9,EQNE
2010-04-06,3.741,3.869,3.74,3.869,4300,16095.5,EQNE
2010-04-07,3.869,3.869,3.739,3.74,2900,10978.8,EQNE
2010-04-08,3.827,3.849,3.8,3.84,600,2297.4,EQNE
2010-04-09,3.84,3.84,3.84,3.84,100,384.0,EQNE
2010-04-12,3.835,3.835,3.835,3.835,100,383.5,EQNE
2010-04-13,3.87,3.87,3.502,3.817,10500,38960.2,EQNE
2010-04-15,3.8,3.8,3.798,3.798,18300,69511.7,EQNE
2010-04-16,3.87,3.9,3.7,3.7,11200,41479.3,EQNE
2010-04-19,3.7,4.04,3.7,4.0,423400,1672874.7,EQNE
2010-04-20,4.01,4.045,3.856,4.0,20700,83118.1,EQNE
2010-04-23,4.741,4.741,3.99,3.99,48400,195210.1,EQNE
2010-04-26,3.9,3.948,3.5,3.5,112100,399420.0,EQNE
2010-04-27,3.351,3.699,3.201,3.201,80400,271192.9,EQNE
2010-04-28,3.2,3.374,3.141,3.16,92000,290000.5,EQNE
2010-04-29,3.117,3.149,2.052,3.08,263400,721366.1,EQNE
2010-04-30,3.29,3.29,3.015,3.015,20600,63137.6,EQNE
2010-05-04,3.3,3.3,3.033,3.275,114600,351459.6,EQNE
2010-05-06,2.832,3.2,2.832,3.2,1400,4170.6,EQNE
2010-05-07,2.95,3.14,2.95,3.14,21500,67415.0,EQNE
2010-05-11,3.137,3.137,3.07,3.07,600,1848.7,EQNE
2010-05-12,2.999,3.4,2.999,3.299,20600,63298.0,EQNE
2010-05-13,3.436,3.436,3.3,3.3,200,673.6,EQNE
2010-05-14,3.44,3.44,2.976,3.09,54000,162289.3,EQNE
2010-05-17,3.417,3.417,2.852,2.936,218700,630049.8,EQNE
2010-05-18,3.315,3.315,2.929,2.929,10700,31494.4,EQNE
2010-05-19,3.3,3.3,2.839,2.853,62400,179951.0,EQNE
2010-05-20,3.05,3.05,2.601,2.601,39500,108819.2,EQNE
2010-05-21,3.211,3.211,2.8,3.0,26500,76276.4,EQNE
2010-05-24,3.375,3.375,2.9,3.049,22000,64076.7,EQNE
2010-05-25,3.001,3.198,3.0,3.198,2600,7820.1,EQNE
2010-05-26,3.246,3.246,3.246,3.246,100,324.6,EQNE
2010-05-27,3.275,3.275,3.244,3.246,1700,5520.1,EQNE
2010-05-28,3.1,3.298,3.1,3.11,4700,14904.8,EQNE
2010-06-01,3.202,3.202,3.201,3.201,1700,5441.8,EQNE
2010-06-02,3.198,3.199,3.198,3.199,300,959.6,EQNE
2010-06-03,3.101,3.233,2.883,3.23,4100,12405.8,EQNE
2010-06-04,3.234,3.234,3.101,3.101,4200,13255.8,EQNE
2010-06-07,3.203,3.203,3.203,3.203,100,320.3,EQNE
2010-06-08,3.202,3.203,3.202,3.203,1700,5445.0,EQNE
2010-06-09,3.258,3.258,2.802,2.988,33900,96515.3,EQNE
2010-06-10,2.9,2.9,2.9,2.9,7000,20300.0,EQNE
2010-06-11,3.193,3.193,3.0,3.172,300,936.5,EQNE
2010-06-15,3.191,3.259,3.191,3.259,90000,287741.9,EQNE
2010-06-16,3.25,3.28,3.249,3.28,10600,34732.0,EQNE
2010-06-17,3.28,3.299,3.28,3.299,7100,23289.9,EQNE
2010-06-18,3.298,3.438,3.204,3.399,5300,17501.8,EQNE
2010-06-21,3.201,3.397,3.2,3.396,22100,74396.9,EQNE
2010-06-22,3.398,3.598,3.398,3.598,11200,38095.6,EQNE
2010-06-23,3.4,3.488,3.239,3.449,2200,7400.3,EQNE
2010-06-24,3.32,3.445,3.176,3.445,30100,95967.4,EQNE
2010-06-25,3.445,3.445,3.445,3.445,100,344.5,EQNE
2010-06-28,3.439,3.449,3.439,3.449,800,2756.2,EQNE
2010-06-29,3.448,3.47,3.21,3.21,21800,70335.3,EQNE
2010-06-30,3.4,3.442,3.4,3.41,1600,5466.7,EQNE
2010-07-01,3.432,3.432,3.299,3.299,900,3035.6,EQNE
2010-07-02,3.136,3.2,3.136,3.2,4800,15136.0,EQNE
2010-07-05,3.2,3.2,3.2,3.2,200,640.0,EQNE
2010-07-06,3.399,3.399,3.399,3.399,200,679.8,EQNE
2010-07-07,3.327,3.327,3.32,3.32,900,2989.4,EQNE
2010-07-08,3.275,3.275,3.271,3.271,500,1636.3,EQNE
2010-07-09,3.185,3.185,3.101,3.101,2700,8390.9,EQNE
2010-07-12,3.287,3.288,3.287,3.288,400,1314.9,EQNE
2010-07-14,3.425,3.425,3.3,3.422,600,2029.1,EQNE
2010-07-15,3.169,3.407,3.102,3.333,1800,5737.2,EQNE
2010-07-16,3.332,3.333,3.2,3.2,4300,13799.7,EQNE
2010-07-19,3.24,3.402,3.24,3.402,500,1636.2,EQNE
2010-07-20,3.245,3.245,3.199,3.24,1500,4837.2,EQNE
2010-07-23,3.2,3.2,3.2,3.2,600,1920.0,EQNE
2010-07-27,3.101,3.279,2.801,3.279,23100,69300.1,EQNE
2010-08-02,3.078,3.17,3.078,3.17,700,2173.3,EQNE
2010-08-04,3.166,3.166,3.166,3.166,100,316.6,EQNE
2010-08-05,3.19,3.2,3.052,3.2,16300,51759.5,EQNE
2010-08-06,3.127,3.127,3.127,3.127,300,938.1,EQNE
2010-08-09,3.127,3.279,3.127,3.279,1100,3454.9,EQNE
2010-08-10,3.061,3.244,3.0,3.244,7100,21404.5,EQNE
2010-08-11,3.082,3.21,3.0,3.2,14900,45160.0,EQNE
2010-08-12,3.022,3.2,3.011,3.2,6600,20277.0,EQNE
2010-08-13,3.195,3.195,3.195,3.195,100,319.5,EQNE
2010-08-16,3.19,3.19,3.19,3.19,100,319.0,EQNE
2010-08-17,3.19,3.2,3.19,3.197,2200,7025.7,EQNE
2010-08-18,3.198,3.272,3.19,3.19,23600,76615.9,EQNE
2010-08-19,3.299,3.299,3.289,3.289,300,987.7,EQNE
2010-08-20,3.21,3.21,3.21,3.21,4800,15408.0,EQNE
2010-08-23,3.221,3.221,3.21,3.21,12000,38530.1,EQNE
2010-08-24,3.201,3.3,3.201,3.3,26500,84850.8,EQNE
2010-08-25,3.299,3.299,3.299,3.299,100,329.9,EQNE
2010-08-30,3.355,3.355,3.157,3.157,200,651.2,EQNE
2010-08-31,3.4,3.473,3.35,3.35,25300,87783.3,EQNE
2010-09-01,3.35,3.681,3.35,3.674,50800,184220.4,EQNE
