date,open,high,low,close,volume,value,board
2007-04-20,1222,1400,1222,1377.0,42,55331.04,EQNE
2007-04-23,1262.12,1365,1200,1365.0,42,54157.59,EQNE
2007-04-25,1262.12,1262.12,1262.12,1262.12,3,3786.36,EQNE
2007-04-26,1262.12,1277,1250,1260.0,14,17676.08,EQNE
2007-04-27,1262.12,1444,1200,1200.0,44,58242.32,EQNE
2007-04-28,1262.12,1262.12,1225,1225.0,17,21272.2,EQNE
2007-05-02,1200,1200,935,936.12,301,295316.01,EQNE
2007-05-03,955,1198,945,950.0,82,81648.55,EQNE
2007-05-04,940.01,955,932.88,932.88,25,23401.58,EQNE
2007-05-07,933,935,930,930.0,24,22389.77,EQNE
2007-05-08,932.89,932.89,932.88,932.88,5,4664.41,EQNE
2007-05-10,932.88,932.88,932.88,932.88,5,4664.4,EQNE
2007-05-17,932.88,932.88,932.88,932.88,11,10261.68,EQNE
2007-05-18,932.88,932.88,932.88,932.88,1,932.88,EQNE
2007-05-21,932.88,932.88,932.88,932.88,1,932.88,EQNE
2007-05-24,932.88,932.88,932.88,932.88,1,932.88,EQNE
2007-05-25,932.88,932.88,900,932.0,20,18521.8,EQNE
2007-05-28,1000,1041,911,911.0,219,225688.2,EQNE
2007-05-29,932.88,932.88,900,932.87,14,12983.67,EQNE
2007-05-30,1040,1040,900,932.88,252,255161.92,EQNE
2007-05-31,932.88,932.88,932.88,932.88,10,9328.8,EQNE
2007-06-01,932.88,1039,932.88,932.88,215,221793.21,EQNE
2007-06-04,932.88,932.88,932.88,932.88,10,9328.8,EQNE
2007-06-05,960,1040,917,919.0,295,302577.52,EQNE
2007-06-06,919.95,985,919.95,920.0,192,186569.95,EQNE
2007-06-07,900,919,900,915.0,7,6394,EQNE
2007-06-08,920,920,920,920.0,1,920,EQNE
2007-06-09,900,900,900,900.0,2,1800,EQNE
2007-06-13,910,910,900,900.0,2,1810,EQNE
2007-06-15,900,924.8,900,924.8,2,1824.8,EQNE
2007-06-18,929.9,930,929.9,930.0,5,4649.8,EQNE
2007-06-19,923,923,923,923.0,2,1846,EQNE
2007-06-20,920,920,900,920.0,8,7330,EQNE
2007-06-21,922,922,922,922.0,1,922,EQNE
2007-06-26,918,988.88,918,918.0,21,19348.88,EQNE
2007-06-27,917,940,917,940.0,210,193940.12,EQNE
2007-06-28,934,940,934,940.0,154,144462,EQNE
2007-06-29,936,962,936,962.0,108,101542,EQNE
2007-07-02,945.5,960,945.5,960.0,31,29607,EQNE
2007-07-03,988,988,901,987.99,5064,4999776.23,EQNE
2007-07-04,940,970,905,970.0,711,689270,EQNE
2007-07-05,988,988,970,970.0,351,343170,EQNE
2007-07-06,980,1000,970,970.9,514,504324.36,EQNE
2007-07-09,970,970.2,970,970.2,2,1940.2,EQNE
2007-07-10,1000,1000,970,970.0,675,665284.3,EQNE
2007-07-11,999,999,980,980.0,60,58990,EQNE
2007-07-12,985.2,985.2,911.1,975.0,283,272359.65,EQNE
2007-07-13,999.9,1000,985,1000.0,360,358780.77,EQNE
2007-07-16,1000,1050,970,1019.0,220,220542.37,EQNE
2007-07-17,990,1037,990,1019.0,113,115270.34,EQNE
2007-07-18,1050,1330,1001,1030.0,2142,2247634.85,EQNE
2007-07-19,1036,1075,1025.01,1030.1,479,499020.12,EQNE
2007-07-20,1042,1042,1001.9,1030.0,275,280721,EQNE
2007-07-23,1025,1028,1010.1,1015.04,348,356305.06,EQNE
2007-07-24,1039.88,1041,1020.04,1040.85,1053,1095079.71,EQNE
2007-07-25,1040.85,1050,1040.85,1048.0,731,762834.46,EQNE
2007-07-26,1051,1059.99,1025,1025.0,624,645869.05,EQNE
2007-07-27,1048,1048,1015,1029.0,209,212343,EQNE
2007-07-30,1029,1050,1010,1050.0,817,829407,EQNE
2007-07-31,1078,1100,1050,1050.01,127,135574.09,EQNE
2007-08-01,1014.01,1050,1014.01,1050.0,5,5110.04,EQNE
2007-08-02,1035.88,1035.88,1035.88,1035.88,3,3107.64,EQNE
2007-08-03,1050,1099.99,1050,1050.0,141,148789.79,EQNE
2007-08-07,1042,1042,1000,1020.0,51,51556,EQNE
2007-08-08,1031.02,1031.02,1020.01,1025.0,23,23662.25,EQNE
2007-08-09,1039.99,1040,1030,1030.0,15,15589.89,EQNE
2007-08-10,1020,1020,1015,1015.0,2,2035,EQNE
2007-08-13,1030,1030,1030,1030.0,1,1030,EQNE
2007-08-14,1005,1030,991,1030.0,148,150084.02,EQNE
2007-08-16,960,965.01,950,965.01,17,16190.02,EQNE
2007-08-17,900,965.02,900,965.02,14,13120.04,EQNE
2007-08-20,1035,1040,943.04,943.04,15,15183.14,EQNE
2007-08-21,960.02,1038,951,951.0,3521,3489918.11,EQNE
2007-08-22,1010,1010,950,980.0,3227,3174500,EQNE
2007-08-23,1020.1,1099,985,1020.0,5057,5224579.05,EQNE
2007-08-24,1095,1098,993,1015.0,1771,1851540,EQNE
2007-08-27,1030,1109,1010,1050.0,3476,3675628,EQNE
2007-08-28,1050.01,1099,1050.01,1099.0,47,51585.76,EQNE
2007-08-29,1098.99,1145,1013,1145.0,5585,6025479.83,EQNE
2007-08-30,1060,1085,1056,1085.0,17,18066.01,EQNE
2007-08-31,1100,1175,1040,1070.0,122,135664,EQNE
2007-09-03,1005.05,1050,1005.05,1040.0,10,10245.26,EQNE
2007-09-04,1053.66,1053.66,1053.66,1053.66,1,1053.66,EQNE
2007-09-05,1050,1050,1038.08,1050.0,159,166908.46,EQNE
2007-09-06,1052.7,1070,1052.7,1070.0,2,2122.7,EQNE
2007-09-07,1080,1080,1069,1069.0,10,10701,EQNE
2007-09-10,1069,1085.73,1050,1085.73,2037,2141531.45,EQNE
2007-09-11,1065.76,1065.76,1062.63,1062.63,2,2128.39,EQNE
2007-09-12,1060,1060,960,1007.0,1894,1912898,EQNE
2007-09-13,1069,1069,1010,1050.0,1804,1875275,EQNE
2007-09-14,1050,1050,1050,1050.0,5,5250,EQNE
2007-09-17,1050,1050,1030,1050.0,1130,1183796,EQNE
2007-09-18,1069.95,1070,1050,1070.0,565,603269.95,EQNE
2007-09-19,1070,1164.98,1070,1125.13,833,918945.48,EQNE
2007-09-20,1121,1164.99,1121,1164.99,105,119162.99,EQNE
2007-09-21,1165,1165,1145,1150.0,184,211610,EQNE
2007-09-24,1150,1220,1150,1150.0,76,90210.23,EQNE
2007-09-25,1190,1190,1125,1125.0,57,64255,EQNE
2007-09-26,1190,1200,1190,1190.0,34,40470,EQNE
2007-09-27,1190,1190,1190,1190.0,9,10710,EQNE
2007-09-28,1190,1196.77,1150,1171.0,723,846596.58,EQNE
2007-10-01,1172,1250,1172,1250.0,700,822053.35,EQNE
2007-10-02,1170,1260,1160.01,1190.5,43,51224.58,EQNE
2007-10-03,1200,1249,1199.99,1200.0,305,366068.91,EQNE
2007-10-04,1243.18,1350,1230,1340.0,315,404978.18,EQNE
2007-10-05,1397,1480,1369,1460.0,479,686468.09,EQNE
2007-10-08,1500,1602,1500,1601.0,154,244696,EQNE
2007-10-09,1600,1600,1443.05,1548.0,95,143925.6,EQNE
2007-10-10,1580,1600,1382,1520.0,258,394899.56,EQNE
2007-10-11,1520,1579.99,1355,1520.0,51,74707.88,EQNE
2007-10-12,1540,1755,1540,1755.0,1038,1723081.62,EQNE
2007-10-15,1760,1850,1736,1799.0,523,939347.36,EQNE
2007-10-16,1790,1840,1745,1760.0,138,245557.44,EQNE
2007-10-17,1835,1874,1651,1755.0,634,1080970.52,EQNE
2007-10-18,1700,1705,1600,1695.0,629,1031493.08,EQNE
2007-10-19,1630,1669.9,1630,1630.0,860,1402337.99,EQNE
2007-10-22,1500.41,1625,1453,1549.0,168,251033.43,EQNE
