date,open,high,low,close,volume,value,board
2010-12-28,25.3,25.52,24.95,25.0,929210,23361066.21,EQNE
2010-12-29,25.07,25.18,24.71,24.98,813329,20224401.89,EQNE
2010-12-30,24.97,25.1,24.53,24.6,1282113,31789817.29,EQNE
2011-01-11,24.85,25.33,24.85,25.16,1829829,45960636.29,EQNE
2011-01-12,25.32,26.5,25.22,26.31,2475640,64116304.99,EQNE
2011-01-13,26.4,27.42,26.3,26.85,3044630,82050990.2,EQNE
2011-01-14,26.85,26.9,26.2,26.82,1010859,26928534.62,EQNE
2011-01-17,26.82,26.82,26.27,26.49,394876,10469511.98,EQNE
2011-01-18,26.5,26.55,25.79,26.18,963146,25207426.09,EQNE
2011-01-19,26.35,26.4,25.61,26.0,1078023,28008278.39,EQNE
2011-01-20,21.05,25.9,21.05,25.66,287576,7392176.62,EQNE
2011-01-21,25.72,26.12,25.51,26.0,637335,16540911.3,EQNE
2011-01-24,26.0,26.11,25.22,25.75,380215,9716490.04,EQNE
2011-01-25,25.75,25.9,25.3,25.79,190765,4895676.96,EQNE
2011-01-26,25.78,25.9,25.5,25.6,258682,6623990.16,EQNE
2011-01-27,25.7,25.8,25.46,25.77,446892,11447817.95,EQNE
2011-01-28,25.77,25.96,25.5,25.65,537297,13825319.66,EQNE
2011-01-31,25.6,25.71,25.32,25.5,607084,15525832.93,EQNE
2011-02-01,25.54,25.71,25.15,25.43,326170,8303121.26,EQNE
2011-02-02,25.57,25.62,25.15,25.35,268675,6821748.38,EQNE
2011-02-03,25.36,25.62,25.21,25.39,279420,7095712.98,EQNE
2011-02-04,25.4,25.46,24.9,25.32,351963,8879412.86,EQNE
2011-02-07,25.4,25.5,25.15,25.25,145452,3675228.76,EQNE
2011-02-08,25.7,25.7,25.11,25.37,122781,3099122.28,EQNE
2011-02-09,25.37,25.37,24.93,25.17,329207,8257800.09,EQNE
2011-02-10,24.94,25.11,24.65,24.69,1009984,25210526.83,EQNE
2011-02-11,24.71,25.0,24.5,24.88,203321,5025881.45,EQNE
2011-02-14,24.85,25.18,24.85,24.97,148292,3712240.26,EQNE
2011-02-15,24.98,25.05,24.83,24.9,380094,9485280.75,EQNE
2011-02-16,25.0,25.4,24.67,25.1,340564,8503170.38,EQNE
2011-02-17,25.2,25.55,25.19,25.19,501323,12692809.84,EQNE
2011-02-18,25.25,25.33,24.88,24.96,179447,4484012.09,EQNE
2011-02-21,25.06,25.47,24.89,25.03,108240,2719891.15,EQNE
2011-02-22,25.0,25.06,24.83,24.89,110040,2737968.73,EQNE
2011-02-24,24.85,25.05,24.37,24.41,593541,14690396.17,EQNE
2011-02-25,24.43,25.01,24.43,24.75,153162,3774799.53,EQNE
2011-02-28,24.76,25.01,24.39,24.59,458730,11328360.99,EQNE
2011-03-01,24.65,24.85,24.3,24.493,269100,6588326.7,EQNE
2011-03-02,24.313,24.336,24.001,24.167,187800,4529197.1,EQNE
2011-03-03,24.066,24.4,24.064,24.181,137900,3337271.4,EQNE
2011-03-04,24.103,24.196,23.501,23.744,293800,7029777.8,EQNE
