date,open,high,low,close,volume,value,board
2006-02-10,2125,2125,2125,2125.0,100,212500,EQNE
2006-02-13,2375,2375,2375,2375.0,100,237500,EQNE
2006-02-14,2450,2450,2450,2450.0,100,245000,EQNE
2006-02-16,2550,2550,2550,2550.0,100,255000,EQNE
2006-03-02,2150,2150,2150,2150.0,100,215000,EQNE
2006-03-24,3250,3250,3250,3250.0,100,325000,EQNE
2006-05-10,2450,2450,2450,2450.0,80,196000,EQNE
2006-05-15,2450,2450,2450,2450.0,21,51450,EQNE
2006-05-26,3000,3750,3000,3750.0,2,6750,EQNE
2006-09-05,3050,3050,3000,3000.0,50,152000,EQNE
2006-09-22,3800,4600,3800,4600.0,22,100390,EQNE
2006-10-05,3700,3700,3700,3700.0,20,74000,EQNE
2006-10-16,4200,4200,4200,4200.0,15,63000,EQNE
2006-10-23,4300,4550,4300,4550.0,134,601200,EQNE
2006-11-07,4650,4650,4650,4650.0,56,260400,EQNE
2006-11-08,4650,4650,4650,4650.0,100,465000,EQNE
2006-11-09,4800,4800,4800,4800.0,100,480000,EQNE
2006-11-13,4950,4950,4950,4950.0,100,495000,EQNE
2006-11-17,4800,4800,4800,4800.0,18,86400,EQNE
2006-11-23,5490,5490,3001,4300.0,58,251763,EQNE
2006-11-24,4800,4950,4800,4950.0,2,9750,EQNE
2006-11-29,5400,5400,5400,5400.0,98,529200,EQNE
2006-12-04,5400,5400,5400,5400.0,8,43200,EQNE
2006-12-05,5000,5000,5000,5000.0,32,160000,EQNE
2006-12-06,5000,5000,5000,5000.0,9,45000,EQNE
2006-12-07,5010,5010,5000,5000.0,9,45050,EQNE
2006-12-08,5553,5600,5553,5600.0,212,1182324,EQNE
2006-12-18,6000,6000,6000,6000.0,10,60000,EQNE
2006-12-22,5999,6979,5010,5850.0,80,501719.03,EQNE
2006-12-25,6995,6995,5350,5350.0,40,251331.02,EQNE
2007-01-19,5649,6500,5649,6500.0,49,307129,EQNE
2007-01-22,6100,6100,5100,5205.0,4,22505,EQNE
2007-01-25,6400,6400,6400,6400.0,3,19200,EQNE
2007-01-26,6495,6500,5105,6110.0,9,56685,EQNE
2007-02-19,7500,7520,7500,7520.0,27,202620,EQNE
2007-02-20,6500,6500,6500,6500.0,1,6500,EQNE
2007-02-26,7500,7520,7500,7520.0,135,1015000,EQNE
2007-03-19,7520,7520,7520,7520.0,4,30080,EQNE
2007-04-03,7520,7520,7520,7520.0,5,37600,EQNE
2007-04-05,6700,8550,6700,7520.0,141,1067151.1,EQNE
2007-04-06,6650,6650,6650,6650.0,4,26600,EQNE
2007-04-11,7008.88,7008.88,7007.78,7007.78,394,2761066.42,EQNE
2007-04-16,6610,6610,6610,6610.0,200,1322000,EQNE
2007-04-20,6500.01,6500.01,6500,6500.0,2,13000.01,EQNE
2007-04-28,6498,6498,6498,6498.0,3,19494,EQNE
2007-05-11,6540,6540,6540,6540.0,1,6540,EQNE
2007-05-18,6500,6500,6500,6500.0,22,143000,EQNE
