date,open,high,low,close,volume,value,board
2006-05-02,510.0,510.0,510.0,510.0,488,248880.0,EQNE
2006-11-14,620.0,620.0,620.0,620.0,488,302560.0,EQNE
2006-12-27,4655.0,4889.0,4655.0,4889.0,212,1036000.0,EQNE
2006-12-28,5797.0,5797.0,5797.0,5797.0,100,579700.0,EQNE
2006-12-29,7122.0,7122.0,7122.0,7122.0,100,712200.0,EQNE
2007-01-12,7118.5,7125.7,7118.5,7125.7,200,1424420.0,EQNE
2007-01-18,6500.0,6500.0,6500.0,6500.0,44,286000.0,EQNE
2007-01-19,7118.0,7125.12,7118.0,7125.12,300,2136468.0,EQNE
2007-01-22,7118.0,7125.12,7118.0,7125.12,300,2136468.0,EQNE
2007-01-31,6000.0,6000.0,6000.0,6000.0,100,600000.0,EQNE
2007-02-02,7000.0,7010.0,6200.0,6200.0,810,5666000.0,EQNE
2007-02-05,6009.0,6009.0,6009.0,6009.0,10,60090.0,EQNE
2007-02-09,6600.0,6600.0,6600.0,6600.0,100,660000.0,EQNE
2007-02-19,6900.0,6900.0,6900.0,6900.0,1,6900.0,EQNE
2007-02-20,6850.0,6850.0,6850.0,6850.0,84,575400.0,EQNE
2007-02-22,6500.0,6500.0,6500.0,6500.0,25,162500.0,EQNE
2007-02-26,6500.0,6550.0,6500.0,6550.0,112,728600.0,EQNE
2007-02-27,6290.0,6997.0,6290.0,6650.0,6203,43264950.0,EQNE
2007-02-28,6290.0,6290.0,6290.0,6290.0,454,2855660.0,EQNE
2007-03-05,6290.0,6290.0,6290.0,6290.0,8,50320.0,EQNE
2007-03-06,6290.0,6290.0,6290.0,6290.0,44,276760.0,EQNE
2007-03-19,6300.0,6300.0,6300.0,6300.0,2,12600.0,EQNE
2007-03-20,6250.0,6250.0,6250.0,6250.0,2,12500.0,EQNE
2007-03-22,6300.0,6300.0,6300.0,6300.0,3,18900.0,EQNE
2007-03-30,6448.0,6448.0,6448.0,6448.0,150,967200.0,EQNE
2007-04-03,6500.0,6500.0,6400.0,6500.0,332,2138040.0,EQNE
2007-04-24,6500.0,6500.0,6500.0,6500.0,84,546000.0,EQNE
2007-05-29,6700.0,6700.0,6700.0,6700.0,4,26800.0,EQNE
2007-06-04,6701.0,6787.0,6600.0,6787.0,47,313590.0,EQNE
2007-06-05,6625.0,6940.0,6590.0,6940.0,351,2417215.0,EQNE
2007-06-15,7000.0,7000.0,7000.0,7000.0,1,7000.0,EQNE
2007-06-22,7000.0,7000.0,7000.0,7000.0,2,14000.0,EQNE
2007-06-29,7000.0,7000.0,7000.0,7000.0,20,140000.0,EQNE
2007-07-09,7034.0,7034.0,7034.0,7034.0,1,7034.0,EQNE
2007-07-10,7025.0,7025.0,7024.9,7025.0,197,1383915.2,EQNE
2007-08-09,7600.0,7600.0,7500.0,7550.0,300,2262500.0,EQNE
2007-08-13,7600.0,7600.0,7500.0,7500.0,3,22650.0,EQNE
2007-08-14,7612.0,7630.0,7500.0,7598.0,150,1126966.0,EQNE
2007-08-15,7600.0,7600.0,7590.0,7590.0,2,15190.0,EQNE
2007-08-16,7600.0,7600.0,7500.0,7500.0,6,45100.0,EQNE
2007-08-17,7600.0,8000.0,7500.0,8000.0,5,38200.0,EQNE
2007-08-20,7791.0,7791.0,7700.0,7700.0,3,23191.0,EQNE
2007-08-21,7730.0,7730.0,7700.0,7700.0,4,30860.0,EQNE
2007-08-22,7710.0,7750.0,7709.0,7740.0,15,115901.0,EQNE
2007-08-23,7731.0,7770.0,7670.0,7760.0,17,131661.0,EQNE
2007-08-27,7690.0,7710.0,7600.0,7710.0,114,877645.0,EQNE
2007-08-28,7750.0,7790.0,7750.0,7790.0,2,15540.0,EQNE
2007-09-14,8000.0,8000.0,8000.0,8000.0,56,448000.0,EQNE
2007-10-08,8600.0,8610.0,8600.0,8610.0,60,516300.0,EQNE
2007-10-29,8678.0,8678.0,8678.0,8678.0,1,8678.0,EQNE
2007-10-31,8634.0,8634.0,8634.0,8634.0,1,8634.0,EQNE
2007-11-01,8625.0,8650.0,8550.0,8649.0,12,103518.0,EQNE
2007-11-02,8635.01,8635.01,8600.0,8635.0,12,103560.01,EQNE
2007-11-06,8623.0,8623.0,8623.0,8623.0,1,8623.0,EQNE
2007-11-07,8678.11,8678.11,8678.11,8678.11,1,8678.11,EQNE
2007-11-09,8789.0,10000.0,8789.0,9550.0,6,57439.0,EQNE
2007-11-12,9900.0,9900.0,9900.0,9900.0,1,9900.0,EQNE
2007-11-13,10100.0,10100.0,10100.0,10100.0,100,1010000.0,EQNE
2007-11-14,12000.0,12000.0,10150.0,10150.0,2,22150.0,EQNE
2007-11-21,10000.0,10000.0,9950.0,9950.0,3,29900.0,EQNE
2007-11-28,9980.0,9980.0,9900.0,9900.0,3,29830.0,EQNE
2007-11-29,9964.0,9964.0,9900.0,9900.0,4,39739.0,EQNE
2007-11-30,11000.0,11000.0,11000.0,11000.0,20,220000.0,EQNE
2007-12-03,10050.0,10050.0,10030.0,10030.0,228,2287040.0,EQNE
2007-12-07,10175.0,10176.0,10175.0,10176.0,37,376505.0,EQNE
2007-12-10,10527.0,10527.0,10527.0,10527.0,600,6316200.0,EQNE
2007-12-11,10506.0,10506.0,10505.0,10505.0,300,3151600.0,EQNE
2007-12-12,10500.0,10500.0,10500.0,10500.0,486,5103000.0,EQNE
2007-12-13,10486.0,10486.0,10485.0,10485.0,530,5557080.0,EQNE
