date,open,high,low,close,volume,value,board
2006-09-12,5,5,5,5.0,900,4500,EQNE
2006-11-28,12,12,12,12.0,100,1200,EQNE
2006-12-20,15,15,15,15.0,2100,31500,EQNE
2006-12-28,16,16,16,16.0,700,11200,EQNE
2007-02-09,18,20,18,20.0,700,13600,EQNE
2007-02-15,25,25,17,17.0,3100,53500,EQNE
2007-02-19,16.001,16.001,16.001,16.001,100,1600.1,EQNE
2007-02-20,20,20,20,20.0,500,10000,EQNE
2007-02-21,16.001,16.001,15,15.0,200,3100.1,EQNE
2007-02-27,15.8,17.2,15.8,17.2,400,6460,EQNE
2007-02-28,19,19,19,19.0,800,15200,EQNE
2007-03-01,18.9,22.3,16.5,22.0,24800,481340,EQNE
2007-03-02,19.15,25,17,17.0,13500,290954.1,EQNE
2007-03-06,16.17,22.5,16,22.5,23600,521676.9,EQNE
2007-03-07,17.151,17.151,17.15,17.15,300,5145.1,EQNE
2007-03-09,24,26.2,18.006,18.5,900,19710.7,EQNE
2007-03-13,22,24,22,22.0,1300,28800,EQNE
2007-03-19,20.381,20.381,17.503,18.0,500,9188.4,EQNE
2007-03-20,18.7,19,18.7,19.0,3600,67949.7,EQNE
2007-03-21,19.999,22,19.999,22.0,1000,20799.9,EQNE
2007-03-27,21.8,21.8,21.8,21.8,700,15260,EQNE
2007-03-30,17,17,17,17.0,100,1700,EQNE
2007-04-03,25,25,25,25.0,500,12500,EQNE
2007-04-05,21,21,20,20.0,1300,27000,EQNE
2007-04-06,20,20,20,20.0,2500,50000,EQNE
2007-04-12,21,22.5,21,22.5,1600,34800,EQNE
2007-04-16,19.161,21.995,19.161,21.995,200,4115.6,EQNE
2007-05-07,26.2,26.2,26.2,26.2,100,2620,EQNE
2007-05-08,23,23,16.5,20.1,14500,282000,EQNE
2007-05-10,21.2,21.2,21.2,21.2,100,2120,EQNE
2007-05-11,17.2,20,17.2,20.0,3200,58960,EQNE
2007-05-16,20,24.5,20,24.5,1100,23435,EQNE
2007-05-17,22,25,22,25.0,4200,100294,EQNE
2007-06-06,26,26,26,26.0,100,2600,EQNE
2007-06-08,19,26,19,20.5,1400,27900.1,EQNE
2007-06-09,19.02,19.02,19.02,19.02,100,1902,EQNE
2007-06-13,19.02,19.02,19.02,19.02,200,3804,EQNE
2007-06-19,19.995,20,19.995,20.0,14000,279994,EQNE
2007-07-19,21.18,21.18,15.001,18.0,300,5418.1,EQNE
2007-08-08,19,26,19,26.0,2400,52063,EQNE
2007-08-09,27,40.99,25.03,27.3,5700,165847.1,EQNE
2007-08-10,24.38,24.38,24,24.0,200,4838,EQNE
2007-08-13,24.38,24.38,24.38,24.38,100,2438,EQNE
2007-08-14,24.35,24.35,24,24.35,300,7270,EQNE
2007-08-15,24.3,24.3,24.3,24.3,1000,24300,EQNE
2007-08-28,21.5,21.5,21.5,21.5,100,2150,EQNE
2007-08-29,20.16,22.001,20.16,22.001,200,4216.1,EQNE
2007-08-30,20.78,20.78,20.78,20.78,200,4156,EQNE
2007-09-04,22.701,24,20.05,24.0,3200,76129.4,EQNE
2007-09-05,20.5,24,20.5,24.0,900,18850,EQNE
2007-09-06,24.38,27,23.1,23.1,26100,619932,EQNE
2007-09-07,29.69,29.69,28,28.0,9800,276494,EQNE
2007-09-11,26,28,25.5,25.5,6800,179100.1,EQNE
2007-09-12,25.5,25.5,25,25.0,15800,398400,EQNE
2007-09-13,25.001,25.003,24,24.0,500,12400.6,EQNE
