date,open,high,low,close,volume,value,board
2006-04-20,100.0,100.0,100.0,100.0,700,70000.0,EQNE
2006-05-04,105.0,126.0,105.0,126.0,3000,346500.0,EQNE
2006-05-05,126.0,126.0,126.0,126.0,700,88200.0,EQNE
2006-05-23,95.0,95.0,95.0,95.0,700,66500.0,EQNE
2006-05-26,118.0,118.0,118.0,118.0,500,59000.0,EQNE
2006-06-07,100.0,100.0,100.0,100.0,500,50000.0,EQNE
2006-06-19,120.0,123.0,120.0,123.0,400,48600.0,EQNE
2006-06-20,120.0,120.0,120.0,120.0,200,24000.0,EQNE
2006-08-28,120.0,120.0,120.0,120.0,3500,420000.0,EQNE
2006-08-31,130.0,130.0,130.0,130.0,300,39000.0,EQNE
2006-09-05,120.0,120.0,120.0,120.0,1400,168000.0,EQNE
2006-09-12,120.0,120.0,120.0,120.0,1200,144000.0,EQNE
2006-10-16,110.0,110.0,110.0,110.0,5800,638000.0,EQNE
2006-10-17,115.25,130.0,115.0,130.0,6500,759375.0,EQNE
2006-10-18,133.0,139.0,133.0,139.0,5500,744740.7,EQNE
2006-10-23,133.0,133.0,125.0,125.0,2500,316500.0,EQNE
2006-10-24,142.0,147.0,142.0,147.0,6100,884400.0,EQNE
2006-11-17,187.35,187.35,187.35,187.35,100,18735.0,EQNE
2006-11-20,188.0,188.0,145.0,188.0,300,52100.0,EQNE
2006-11-27,150.0,150.0,150.0,150.0,100,15000.0,EQNE
2006-11-29,191.54,191.54,191.54,191.54,100,19154.0,EQNE
2006-12-07,198.0,198.0,197.0,197.0,200,39500.0,EQNE
2006-12-08,196.9,199.0,196.9,199.0,400,79090.0,EQNE
2006-12-13,202.0,202.0,202.0,202.0,600,121200.0,EQNE
2006-12-15,190.0,190.0,190.0,190.0,400,76000.0,EQNE
2006-12-19,190.0,190.0,190.0,190.0,700,133000.0,EQNE
2007-01-12,190.0,190.0,190.0,190.0,700,133000.0,EQNE
2007-01-25,225.0,225.23,225.0,225.23,4000,900460.0,EQNE
2007-02-07,225.0,225.0,225.0,225.0,100,22500.0,EQNE
2007-02-13,225.0,225.0,225.0,225.0,100,22500.0,EQNE
2007-02-16,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2007-02-19,252.0,252.0,240.25,240.5,4600,1106900.0,EQNE
2007-02-20,300.0,300.0,300.0,300.0,100,30000.0,EQNE
2007-02-26,326.0,326.0,326.0,326.0,100,32600.0,EQNE
2007-03-06,291.0,291.0,291.0,291.0,200,58200.0,EQNE
2007-03-15,267.721,267.721,267.721,267.721,100,26772.1,EQNE
2007-03-16,265.0,265.0,265.0,265.0,200,53000.0,EQNE
2007-03-21,265.0,265.0,265.0,265.0,100,26500.0,EQNE
2007-03-23,271.0,271.0,271.0,271.0,1600,433600.0,EQNE
2007-03-28,275.0,275.0,275.0,275.0,200,55000.0,EQNE
2007-04-13,270.0,270.0,270.0,270.0,300,81000.0,EQNE
2007-04-17,260.0,260.0,260.0,260.0,900,234000.0,EQNE
2007-06-22,210.0,210.001,210.0,210.0,300,63000.1,EQNE
2007-07-03,200.0,200.0,200.0,200.0,100,20000.0,EQNE
2007-07-06,200.0,200.0,200.0,200.0,900,180000.0,EQNE
2007-07-12,259.0,300.0,201.0,201.0,15200,4483600.0,EQNE
2007-08-01,260.0,300.0,260.0,300.0,22100,6586400.0,EQNE
2007-08-03,300.0,300.0,300.0,300.0,200,60000.0,EQNE
2007-08-09,220.01,220.01,220.01,220.01,100,22001.0,EQNE
2007-08-10,299.99,299.99,299.99,299.99,100,29999.0,EQNE
2007-08-16,259.0,260.0,259.0,260.0,2500,649900.0,EQNE
2007-08-29,260.0,260.0,260.0,260.0,1500,390000.0,EQNE
2007-08-31,259.0,259.0,259.0,259.0,2000,518000.0,EQNE
2007-09-04,260.0,260.0,260.0,260.0,900,234000.0,EQNE
2007-09-07,270.0,280.0,270.0,280.0,1200,327000.0,EQNE
2007-10-05,250.0,250.0,250.0,250.0,2300,575000.0,EQNE
2007-10-08,250.0,250.0,250.0,250.0,1100,275000.0,EQNE
2007-10-10,295.0,295.0,259.9,259.9,4400,1147100.0,EQNE
2007-10-19,250.0,250.0,250.0,250.0,100,25000.0,EQNE
2007-10-26,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2007-10-30,240.0,240.0,240.0,240.0,600,144000.0,EQNE
2007-11-07,210.02,210.02,210.02,210.02,200,42004.0,EQNE
2007-11-08,240.0,240.0,211.0,211.0,1400,315700.0,EQNE
2007-11-09,227.0,230.0,227.0,230.0,1400,319900.0,EQNE
2007-11-16,245.3,245.3,245.3,245.3,2000,490600.0,EQNE
2007-11-20,220.0,230.0,220.0,230.0,300,67077.0,EQNE
2007-11-21,249.0,250.0,249.0,250.0,5000,1248000.0,EQNE
2007-11-22,250.0,250.0,250.0,250.0,100,25000.0,EQNE
2007-11-23,249.0,249.0,249.0,249.0,100,24900.0,EQNE
2007-11-27,250.0,250.0,250.0,250.0,100,25000.0,EQNE
2007-11-28,279.0,279.0,245.0,246.0,5900,1535209.9,EQNE
2007-11-29,260.0,260.0,260.0,260.0,1500,390000.0,EQNE
2007-11-30,275.0,275.0,264.0,264.0,3500,940500.0,EQNE
2007-12-03,267.0,277.0,267.0,277.0,3000,821000.0,EQNE
2007-12-10,270.0,270.0,270.0,270.0,500,135000.0,EQNE
2007-12-11,279.0,279.0,279.0,279.0,500,139500.0,EQNE
2007-12-12,276.0,280.0,276.0,280.0,2100,586300.0,EQNE
2007-12-14,290.0,290.0,290.0,290.0,100,29000.0,EQNE
2007-12-17,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2007-12-18,270.01,285.99,270.01,279.01,35300,9830534.0,EQNE
2007-12-19,282.01,286.0,282.0,286.0,9600,2710810.0,EQNE
2007-12-20,287.0,287.0,287.0,287.0,2000,574000.0,EQNE
2007-12-21,285.0,285.0,285.0,285.0,600,171000.0,EQNE
2007-12-24,289.99,295.0,289.99,290.01,4300,1251999.0,EQNE
2007-12-27,270.53,292.0,270.53,292.0,8600,2436020.0,EQNE
2008-01-23,275.0,275.0,275.0,275.0,500,137500.0,EQNE
2008-01-24,270.0,270.0,270.0,270.0,600,162000.0,EQNE
2008-02-01,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2008-02-07,280.0,280.0,261.02,261.02,2100,586102.0,EQNE
2008-02-20,280.0,280.0,280.0,280.0,500,140000.0,EQNE
2008-03-03,280.0,280.0,280.0,280.0,2000,560000.0,EQNE
2008-03-18,270.0,270.0,270.0,270.0,500,135000.0,EQNE
2008-03-21,280.0,280.0,280.0,280.0,100,28000.0,EQNE
2008-03-24,277.0,308.0,277.0,300.0,5300,1561800.0,EQNE
