date,open,high,low,close,volume,value,board
2026-04-17,119.9,129,118.18,126.9,5783789,707910183.64,TQBR
2026-04-20,128,136,123,127.29,1932314,247711025.21,TQBR
2026-04-21,127.4,129.86,126.2,127.0,478520,61134339.08,TQBR
2026-04-22,127.6,130.17,127.21,129.1,449778,57700149.16,TQBR
2026-04-23,129.22,133.94,128.6,130.1,743608,97073005.87,TQBR
2026-04-24,132,134.84,130,130.2,650331,85841792.45,TQBR
2026-04-27,131.55,133.75,130.44,132.9,639008,84623863.96,TQBR
2026-04-28,132.9,133.7,130.13,130.52,369661,48646388.06,TQBR
2026-04-29,130.79,131.9,125.8,130.0,624263,80712327.41,TQBR
2026-04-30,130,131.3,126.12,128.7,452316,58403696.66,TQBR
2026-05-04,128.7,131.17,126.44,129.33,256704,33257583.7,TQBR
2026-05-05,130,130.88,129.11,130.07,103827,13521012.99,TQBR
2026-05-06,130.09,132,128.19,130.12,252355,32954776.72,TQBR
2026-05-07,130.4,130.99,128.77,129.71,167204,21753909.61,TQBR
2026-05-08,129.72,130.96,128.8,129.04,90790,11795053.83,TQBR
2026-05-11,129,130.5,129,129.84,34346,4464052.11,TQBR
2026-05-12,129.84,130.48,129.02,130.01,109541,14245048.55,TQBR
2026-05-13,130.12,132,129.37,131.19,169425,22172522.22,TQBR
