date,open,high,low,close,volume,value,board
2009-01-30,18,18,18,18.0,300,5400,EQNE
2009-02-02,20,20,20,20.0,18,360,EQNE
2009-02-05,20,20,20,20.0,1,20,EQNE
2009-02-06,20,20,20,20.0,10,200,EQNE
2009-02-09,20,25,20,25.0,2506,50292.5,EQNE
2009-02-11,20,23,19,23.0,17431,371597.2,EQNE
2009-02-12,23,23,23,23.0,648,14904,EQNE
2009-02-17,23,23,23,23.0,1,23,EQNE
2009-02-20,23,23,23,23.0,5,115,EQNE
2009-02-24,23,23,23,23.0,2,46,EQNE
2009-02-25,23,23,23,23.0,16,368,EQNE
2009-02-27,23,23,23,23.0,8,184,EQNE
2009-03-03,20,20,20,20.0,111,2220,EQNE
2009-03-04,20,20,20,20.0,565,11300,EQNE
2009-03-05,21,21,21,21.0,20,420,EQNE
2009-03-10,21,21,21,21.0,115,2415,EQNE
2009-03-11,21,22,21,22.0,147,3109,EQNE
2009-03-12,22,22,22,22.0,2,44,EQNE
2009-03-17,20,20,19.5,19.5,2402,47415.5,EQNE
2009-03-18,20,20,17,17.0,335,5814.92,EQNE
2009-03-19,20,20,18.5,18.5,2027,38009,EQNE
2009-03-20,18.5,18.5,17,18.5,5683,101295,EQNE
2009-03-23,17.5,17.5,17.5,17.5,10,175,EQNE
2009-03-24,18.5,18.5,18,18.0,1017,18319.5,EQNE
2009-03-26,17,17,17,17.0,1990,33830,EQNE
2009-03-27,17.6,17.6,17.6,17.6,9,158.4,EQNE
2009-03-30,16,16,14.5,15.0,5707,86306.95,EQNE
2009-03-31,16.98,16.98,15,15.0,1410,22013,EQNE
2009-04-01,15,15,15,15.0,27431,411465,EQNE
2009-04-02,16.79,16.99,15.01,16.99,3665,57912.65,EQNE
2009-04-03,16.59,18,16.55,18.0,2781,47712.3,EQNE
2009-04-06,16.99,18,15,15.0,6816,117334.69,EQNE
2009-04-07,16.01,16.01,16,16.0,100,1600.31,EQNE
2009-04-08,17.5,20,17.5,19.98,9068,172657.89,EQNE
2009-04-09,18.11,20.03,18,20.03,4554,89858.05,EQNE
2009-04-10,20.03,21,19.49,20.0,12228,248416.8,EQNE
2009-04-13,20,23,20,20.8,16070,341154.44,EQNE
2009-04-14,21.99,23.5,21,21.0,13792,306336.7,EQNE
2009-04-15,21,22,16.5,17.2,152780,2734867.51,EQNE
2009-04-16,17.51,19.48,17.51,18.0,33055,613623.03,EQNE
2009-04-17,18.99,19,17.74,18.54,36056,647905.48,EQNE
2009-04-20,18.99,18.99,16.99,18.0,66271,1223224.48,EQNE
2009-04-21,18.49,18.5,17.3,18.5,8993,160519.41,EQNE
2009-04-22,18.5,18.65,17.52,18.0,3358,61372.26,EQNE
2009-04-23,18.49,18.5,17.3,17.99,90990,1638642.92,EQNE
2009-04-24,17.01,18.5,16.6,18.5,56389,1033054.19,EQNE
2009-04-27,18.61,19.03,18.04,19.0,26972,511368.94,EQNE
2009-04-28,18.02,23,17.84,21.69,58464,1225499.49,EQNE
2009-04-29,21.7,21.7,19.16,20.3,12119,257791.41,EQNE
2009-04-30,20.4,20.5,19.95,20.5,8744,178486.38,EQNE
2009-05-04,21.98,24,21.51,23.22,189262,4337884.01,EQNE
2009-05-05,22.78,26.65,21.13,22.85,558674,13277701.72,EQNE
2009-05-06,23,28.25,22.89,28.2,405045,10277425.6,EQNE
2009-05-07,28.2,29.6,23.03,24.0,149022,3705576.89,EQNE
2009-05-08,25.47,29.59,21,27.78,326784,8477762.99,EQNE
2009-05-12,27.2,28.5,26.01,26.5,130459,3517449.88,EQNE
2009-05-13,26.56,28.03,22.81,24.69,65666,1661128.59,EQNE
2009-05-14,23,26,22.33,24.5,9070,219860.36,EQNE
2009-05-15,25,26,23.9,24.97,2627,65157.64,EQNE
2009-05-18,25.03,25.5,23.43,25.2,37678,931106.48,EQNE
2009-05-19,25.6,25.97,23.5,24.72,21107,513872.83,EQNE
2009-05-20,24.4,25.5,24.01,25.48,39790,990078.59,EQNE
2009-05-21,25.7,25.8,24.31,25.33,37492,958553.6,EQNE
2009-05-22,25.27,35.48,25,35.48,478192,15368481.07,EQNE
2009-05-25,40,49.67,36,49.67,856990,38764300.71,EQNE
2009-05-26,51.97,63.7,44.83,51.0,1364828,73721381.99,EQNE
2009-05-27,51.98,60.95,38.56,43.0,1426195,69278140.75,EQNE
2009-05-28,43.1,59.8,40.02,58.0,1206131,62314300.74,EQNE
2009-05-29,58.15,67,53.11,58.78,1013238,62513181.35,EQNE
2009-06-01,58.9,59.5,51.08,53.0,558320,30518213.81,EQNE
2009-06-02,52.7,54.47,46,47.14,528329,25557285.75,EQNE
2009-06-03,53.15,53.15,40.1,40.76,329509,14270128.1,EQNE
2009-06-04,36.54,43.4,36.54,41.69,185373,7665682.07,EQNE
2009-06-05,42.9,49.9,39.49,45.8,551267,24883302.8,EQNE
2009-06-08,44.5,45.56,42.22,43.78,76113,3310137.99,EQNE
2009-06-09,44.9,44.9,41,42.7,77096,3308910.31,EQNE
2009-06-10,43.21,44.6,41.01,42.9,68746,2972342.27,EQNE
2009-06-11,42.5,43.5,40.32,43.2,89092,3738150.49,EQNE
2009-06-15,41.5,42.86,40.05,40.81,37114,1531884.76,EQNE
2009-06-16,41.9,41.9,38,40.0,131858,5163351.76,EQNE
2009-06-17,40,41.48,38.41,39.23,38973,1552421.31,EQNE
2009-06-18,36.3,40,36,37.5,48212,1795072.81,EQNE
2009-06-19,37.95,37.95,36,36.96,43781,1602223.51,EQNE
2009-06-22,36.95,38,33,34.5,53766,1877874.05,EQNE
2009-06-23,33.57,34.5,29.04,33.75,44679,1426850.33,EQNE
2009-06-24,33.75,36.8,33.61,36.66,60039,2134736.85,EQNE
2009-06-25,36.81,37.78,35,35.45,19523,708739.91,EQNE
2009-06-26,35.99,43.21,35.99,38.51,125277,4958386.15,EQNE
2009-06-29,36.6,41.9,36.6,39.74,27022,1075316.75,EQNE
2009-06-30,40,40.9,36,36.1,54229,2062415.54,EQNE
2009-07-01,39,39,36.5,37.33,8008,298815.44,EQNE
2009-07-02,37.24,37.3,31,34.35,114989,3948537.77,EQNE
2009-07-03,35,35,33.6,34.0,10040,342741.47,EQNE
2009-07-06,35.04,35.04,32.5,33.95,29240,982493.34,EQNE
2009-07-07,35.01,35.44,32.5,34.3,8636,295853.17,EQNE
2009-07-08,33.5,34.28,30,30.35,79100,2458113.01,EQNE
2009-07-09,30.97,31.81,30,31.4,21672,663334.77,EQNE
2009-07-10,31.98,31.98,29.5,29.99,77554,2371188.66,EQNE
2009-07-13,30.54,31.39,28,30.97,11156,329464.18,EQNE
2009-07-14,31.98,33,30.86,32.29,25006,794327.25,EQNE
2009-07-15,32.02,35,32.02,34.59,17691,594815.88,EQNE
2009-07-16,34,35.2,32.76,33.85,10964,371476.32,EQNE
2009-07-17,33.85,37.1,33.85,37.1,45981,1642651.29,EQNE
2009-07-20,37,38.38,36.14,38.19,26591,1007356.83,EQNE
2009-07-21,37.4,38.28,36.8,37.0,5920,221922.82,EQNE
2009-07-22,37,37.69,34.69,34.99,26284,938481.61,EQNE
2009-07-23,35,37.47,34.8,37.47,11499,406723.09,EQNE
2009-07-24,38,38,35,35.1,14166,507469.96,EQNE
2009-07-27,36.98,36.98,35.02,35.7,3731,131873.07,EQNE
2009-07-28,35.69,35.69,33.11,34.2,13660,467670.14,EQNE
2009-07-29,34.8,34.8,33,33.93,8106,272268.19,EQNE
2009-07-30,34.3,36,34.1,34.92,3724,130147.12,EQNE
2009-07-31,35.2,36.1,34.88,35.4,7102,249037.85,EQNE
2009-08-03,36.98,37.87,35.8,35.8,18741,685372.22,EQNE
2009-08-04,35.92,37.19,33.26,36.2,26738,939737.62,EQNE
2009-08-05,36.9,38.62,36,37.0,61049,2269553.5,EQNE
2009-08-06,37.98,37.98,36,37.0,8612,315696.92,EQNE
2009-08-07,37.69,44.27,37.69,41.94,556983,23201566.98,EQNE
2009-08-10,41.8,43.72,39.76,41.79,110354,4532610.17,EQNE
2009-08-11,41.85,41.85,38.35,38.56,9156,370422.82,EQNE
2009-08-12,39.98,39.98,36.39,38.95,296046,11220977.45,EQNE
2009-08-13,38.8,40.75,38.25,39.95,142577,5496729.35,EQNE
2009-08-14,39.95,42,37.51,39.75,37140,1465840.83,EQNE
2009-08-17,38.05,39.68,38,39.0,22941,888955.47,EQNE
2009-08-18,39.81,41.48,36.51,40.3,74322,2905016.7,EQNE
2009-08-19,41.99,41.99,39,41.74,59763,2443981.8,EQNE
2009-08-20,41.73,42.45,41.06,42.0,22733,951296.67,EQNE
2009-08-21,42.98,43.74,41.94,43.52,235568,10204254.29,EQNE
2009-08-24,42.51,45,41,43.99,63751,2764483.7,EQNE
2009-08-25,42.5,44.5,41.55,42.95,30979,1339406.72,EQNE
2009-08-26,43.95,43.95,40.25,41.87,11398,470615.89,EQNE
2009-08-27,41.79,42.14,40.27,41.17,5790,239400.57,EQNE
2009-08-28,42.67,42.67,36.5,41.83,10171,413401.68,EQNE
2009-08-31,38,41.18,37.51,40.62,3972,158676.31,EQNE
2009-09-01,42.77,42.77,39,40.5,12815,510259.4,EQNE
2009-09-02,40.49,40.49,38.13,39.28,15302,596442.24,EQNE
2009-09-03,38.35,40.38,38,39.48,6130,237317.55,EQNE
2009-09-04,38.21,39.88,37.51,37.99,12394,472227.18,EQNE
2009-09-07,38.51,38.77,37.6,38.46,3575,137016.31,EQNE
2009-09-08,38.49,40.43,38.03,39.47,32877,1295165.26,EQNE
2009-09-09,42.16,42.16,39.1,41.2,23257,939286.4,EQNE
2009-09-10,41.97,41.97,39,39.98,177254,7226522.9,EQNE
2009-09-11,40,44,39.99,41.26,64908,2699214.2,EQNE
2009-09-14,41.15,43.5,40.5,43.17,45591,1919905.6,EQNE
2009-09-15,44.25,44.25,42,43.34,46924,2053264.27,EQNE
2009-09-16,43.9,44.36,41.7,42.88,34316,1498405.93,EQNE
2009-09-17,42.8,43,40.7,41.24,33499,1391091.74,EQNE
2009-09-18,41.65,42.59,40.48,41.74,7269,299732.16,EQNE
2009-09-21,42,47.8,41.51,47.39,523124,23900409.65,EQNE
2009-09-22,48,54.4,44,50.01,577280,29426915.37,EQNE
2009-09-23,52.5,52.5,46.05,48.79,188341,9221016.08,EQNE
2009-09-24,53.25,53.25,45.58,47.27,112368,5338507.08,EQNE
2009-09-25,48.95,48.95,44.26,46.2,96923,4402570.09,EQNE
2009-09-28,48.22,48.22,44.51,46.09,64409,2906239.49,EQNE
2009-09-29,46.8,49,46.13,46.98,75609,3594331.76,EQNE
2009-09-30,48,48.4,45.91,46.81,91604,4273301.92,EQNE
2009-10-01,47,51.7,46.4,48.48,153312,7474652.94,EQNE
2009-10-02,47.5,49.49,44.7,46.45,83175,3872077.81,EQNE
2009-10-05,46.73,47.45,45,46.3,17734,818574.93,EQNE
2009-10-06,47.1,50.33,45.41,49.98,399380,19444489.01,EQNE
2009-10-07,49.99,65,48.66,60.49,2277719,134201578.28,EQNE
2009-10-08,60.49,72.75,55.2,59.7,4529178,298363649.02,EQNE
2009-10-09,60.82,76.38,57.1,76.0,3050791,208863445.87,EQNE
2009-10-12,79.24,79.24,62.05,63.7,2434590,164047415.62,EQNE
2009-10-13,65.96,65.96,59.22,60.22,991385,62484508.81,EQNE
2009-10-14,60.99,62.98,59.4,61.28,251224,15283203.17,EQNE
2009-10-15,61.08,62.97,59.01,59.68,155086,9313422.73,EQNE
2009-10-16,60.2,61.3,55.07,56.67,175822,10064031.64,EQNE
2009-10-19,56.67,61.8,56.15,60.44,201506,12060414.13,EQNE
2009-10-20,60.72,61.45,57,59.44,140339,8317890.64,EQNE
2009-10-21,59.78,60.18,57,58.76,86290,5017359.96,EQNE
2009-10-22,58.31,59.76,57.13,58.0,33468,1934879.45,EQNE
2009-10-23,58.47,64.5,58.47,60.6,1603683,99630314.78,EQNE
2009-10-26,61.5,69,58.8,65.0,855369,55029339.4,EQNE
2009-10-27,63.08,64,60.6,62.35,1142683,70638260.12,EQNE
2009-10-28,62.53,67.83,55.95,56.0,894981,54008131.43,EQNE
2009-10-29,56,58.64,53.08,58.63,198335,11080135.5,EQNE
2009-10-30,59.49,60,55,55.0,107023,6059305.32,EQNE
2009-11-02,64,64,54,56.08,55624,3120660.92,EQNE
2009-11-03,64.06,64.06,52.7,53.0,97563,5266698.42,EQNE
2009-11-05,54,56.48,51,56.15,75827,4078859.15,EQNE
2009-11-06,60.89,60.89,53,53.49,84787,4569751.99,EQNE
2009-11-09,54.95,56.5,53.7,56.24,77049,4291508.28,EQNE
2009-11-10,55.7,57.8,54.73,56.52,59505,3367600.18,EQNE
2009-11-11,55.73,58.51,55,55.57,115996,6531769.18,EQNE
2009-11-12,55.1,55.79,54.57,55.62,31228,1722168.14,EQNE
2009-11-13,55.3,55.57,54.61,55.28,34897,1923799.39,EQNE
2009-11-16,55.52,59.2,55.36,58.96,201941,11737552.13,EQNE
2009-11-17,58.13,59.25,57,58.12,75784,4388611.72,EQNE
2009-11-18,58.03,59.29,56.5,57.2,107956,6261582.62,EQNE
2009-11-19,57.37,59,55.28,56.0,98275,5620311.23,EQNE
2009-11-20,56.39,57.5,55.14,57.17,57520,3248130.86,EQNE
2009-11-23,57.31,58.8,57.31,58.7,44382,2582193.79,EQNE
