date,open,high,low,close,volume,value,board
2005-06-22,220,220,217,219.0,6400,1400210,EQNL
2005-06-23,219,230,219,223.0,4300,963300,EQNL
2005-06-24,225,227,216,216.0,1800,396802,EQNL
2005-06-27,213.5,213.5,211,211.0,600,126950,EQNL
2005-06-28,214,216,208,208.0,4300,903362,EQNL
2005-06-29,207.01,210,207,209.0,1600,332901,EQNL
2005-06-30,209.2,217.4,208,208.0,600,125860,EQNL
2005-07-01,208,210,207,210.0,14800,3075703,EQNL
2005-07-04,215.9,217,211.01,212.0,13200,2805393,EQNL
2005-07-05,212.5,216,212.5,216.0,4600,986700,EQNL
2005-07-06,220,225.95,219,225.95,7700,1713610,EQNL
2005-07-07,225,228.9,224,225.0,31600,7121850,EQNL
2005-07-08,230,230,227.55,229.99,4400,1008160,EQNL
2005-07-11,233.5,233.5,230,230.0,12200,2817092,EQNL
2005-07-12,229.8,230,226.01,230.0,13000,2978569,EQNL
2005-07-13,230.01,234,229.51,234.0,3700,854040,EQNL
2005-07-14,231,234,230.5,230.5,1300,301050,EQNL
2005-07-15,229,229,227.61,227.81,2200,501503,EQNL
2005-07-18,226.5,229.4,226.5,229.4,600,136190,EQNL
2005-07-19,230,231,230,231.0,300,69100,EQNL
2005-07-20,229,233,229,232.51,3400,790104,EQNL
2005-07-21,232.81,236,231,231.0,3600,841041,EQNL
2005-07-22,233,236,232,236.0,6600,1548431,EQNL
2005-07-25,239.85,243,239.85,242.0,4000,968230,EQNL
2005-07-26,242,244,239,240.0,9400,2257801,EQNL
2005-07-27,238.5,248,238.5,245.0,11500,2805257,EQNL
2005-07-28,250,250,241,246.0,3200,777201,EQNL
2005-07-29,246,246,240,240.9,5700,1387290,EQNL
2005-08-01,241,243,237.51,243.0,4700,1135402,EQNL
2005-08-02,240.15,244,240.15,244.0,15000,3636005,EQNL
2005-08-03,243,247,242,242.0,7400,1801601,EQNL
2005-08-04,243,246.99,243,245.0,800,196048,EQNL
2005-08-05,243,243.5,241.31,243.0,10400,2525917,EQNL
2005-08-08,242,242.01,239,239.0,8600,2075708,EQNL
2005-08-09,240,244.5,240,243.2,4600,1117700,EQNL
2005-08-10,249.98,250,243.7,243.7,700,174266,EQNL
2005-08-11,243.33,243.33,241.1,241.1,600,145106,EQNL
2005-08-12,241,243,241,243.0,1200,290400,EQNL
2005-08-15,240,243,238.5,238.5,6000,1448510,EQNL
2005-08-16,243,245.9,242.01,245.0,3800,926782,EQNL
2005-08-17,245,245.85,245,245.1,3700,907015,EQNL
2005-08-18,245.04,248.9,244,248.0,5800,1422830,EQNL
2005-08-19,247.65,248.5,243.9,246.0,8200,2024730,EQNL
2005-08-22,250,250,244.1,248.0,5800,1439518,EQNL
2005-08-23,248,248,244.81,244.81,1300,319251,EQNL
2005-08-24,244.8,244.8,244,244.0,300,73281,EQNL
2005-08-25,244,246,244,245.1,3600,882440,EQNL
2005-08-26,244.5,244.5,241.01,241.01,7500,1828595,EQNL
2005-08-29,242.5,243,228.96,241.0,8100,1955811,EQNL
2005-08-30,244,245.4,240,240.0,15300,3717131,EQNL
2005-08-31,240,240,236,236.5,5400,1278910,EQNL
2005-09-01,235.1,238,232.22,236.0,8300,1945566,EQNL
2005-09-02,235.01,238.5,234,234.0,3100,731019,EQNL
2005-09-05,234.5,238,234,234.0,3500,827281,EQNL
2005-09-06,231,237.5,231,233.11,15200,3581794,EQNL
2005-09-07,233,233,227,231.0,7800,1790290,EQNL
2005-09-08,231.9,234.99,231.9,234.99,1200,281623,EQNL
2005-09-09,233,237.9,232.78,237.9,4200,985992,EQNL
2005-09-12,238.5,245,238.5,241.0,10200,2465261,EQNL
2005-09-13,240,246.05,240,246.0,1600,387205,EQNL
2005-09-14,240,246.99,236,246.99,8200,2000144,EQNL
2005-09-15,245,247.77,244,247.77,1400,343515,EQNL
