date,open,high,low,close,volume,value,board
2006-12-18,0.128,0.136,0.128,0.136,203000,26808,EQNE
2006-12-19,0.174,0.197,0.155,0.156,532000,85681,EQNE
2006-12-20,0.173,0.185,0.159,0.17,3005100,483850.3,EQNE
2006-12-21,0.183,0.183,0.155,0.157,4210600,685865.1,EQNE
2006-12-22,0.155,0.159,0.151,0.155,194400,30521.2,EQNE
2006-12-25,0.152,0.153,0.141,0.15,1579600,234629.8,EQNE
2006-12-26,0.141,0.15,0.141,0.15,708900,104674.5,EQNE
2006-12-27,0.15,0.155,0.142,0.15,1022700,152274.7,EQNE
2006-12-28,0.157,0.157,0.135,0.145,11453900,1625306.7,EQNE
2006-12-29,0.136,0.145,0.136,0.145,1000,141.1,EQNE
2007-01-09,0.136,0.144,0.125,0.142,305400,42672.5,EQNE
2007-01-10,0.127,0.236,0.127,0.236,11335500,1980651.4,EQNE
2007-01-11,0.236,0.412,0.236,0.377,5434200,1933004.7,EQNE
2007-01-12,0.385,0.44,0.3,0.329,4777000,1736705.6,EQNE
2007-01-15,0.352,0.352,0.237,0.244,4263000,1089827.3,EQNE
2007-01-16,0.248,0.347,0.237,0.309,12470300,3711795.3,EQNE
2007-01-17,0.31,0.31,0.281,0.294,380100,111875.7,EQNE
2007-01-18,0.294,0.296,0.28,0.28,1549700,434757.4,EQNE
2007-01-19,0.261,0.317,0.261,0.292,1327800,380327.5,EQNE
2007-01-22,0.292,0.292,0.26,0.281,1482100,399558,EQNE
2007-01-23,0.28,0.281,0.266,0.272,868000,234742.2,EQNE
2007-01-24,0.272,0.28,0.267,0.27,288600,79438.9,EQNE
2007-01-25,0.269,0.273,0.265,0.271,822100,221116.2,EQNE
2007-01-26,0.274,0.274,0.265,0.27,272700,72780.3,EQNE
2007-01-29,0.269,0.269,0.25,0.258,803500,205914.5,EQNE
2007-01-30,0.245,0.269,0.245,0.262,501800,128786.6,EQNE
2007-01-31,0.272,0.272,0.257,0.26,59300,15356.4,EQNE
2007-02-01,0.267,0.268,0.254,0.261,247900,64691.2,EQNE
2007-02-02,0.265,0.268,0.252,0.262,342100,90068.7,EQNE
2007-02-05,0.268,0.268,0.265,0.267,163300,43470.5,EQNE
2007-02-06,0.259,0.267,0.256,0.263,459400,119954,EQNE
2007-02-07,0.266,0.266,0.251,0.262,1009300,260808.4,EQNE
2007-02-08,0.265,0.268,0.255,0.262,365300,94949,EQNE
2007-02-09,0.266,0.333,0.266,0.317,3745200,1129478.8,EQNE
2007-02-12,0.305,0.31,0.27,0.298,2054100,584747.9,EQNE
2007-02-13,0.305,0.305,0.28,0.303,280900,81609.7,EQNE
