date,open,high,low,close,volume,value,board
2008-03-04,284.4,346.25,284.4,346.25,921,317974.58,EQNE
2008-03-05,380,484.75,380,484.75,792,382907.9,EQNE
2008-03-06,500,678.65,500,678.65,709,470204.06,EQNE
2008-03-07,895,950.11,895,950.11,259,243166.74,EQNE
2008-03-11,895.31,1330.15,895.31,1330.15,334,382048.1,EQNE
2008-03-12,405,405,405,405.0,25,10125,EQNE
2008-03-13,405,405,405,405.0,17,6885,EQNE
2008-03-14,405,542,278.6,281.0,24906,7543275.83,EQNE
2008-03-17,281,282,257.5,280.0,9731,2709771.77,EQNE
2008-03-18,305.79,307.99,265,270.0,5633,1511804.71,EQNE
2008-03-19,280,280,260,269.0,2922,774398.39,EQNE
2008-03-20,265,266.8,250,255.0,3457,887420.99,EQNE
