date,open,high,low,close,volume,value,board
2008-03-04,284.4,346.25,284.4,346.25,921,317974.58,EQNE
2008-03-05,380,484.75,380,484.75,792,382907.9,EQNE
2008-03-06,500,678.65,500,678.65,709,470204.06,EQNE
2008-03-07,895,950.11,895,950.11,259,243166.74,EQNE
2008-03-11,895.31,1330.15,895.31,1330.15,334,382048.1,EQNE
2008-03-12,405,405,405,405.0,25,10125,EQNE
2008-03-13,405,405,405,405.0,17,6885,EQNE
2008-03-14,405,542,278.6,281.0,24906,7543275.83,EQNE
2008-03-17,281,282,257.5,280.0,9731,2709771.77,EQNE
2008-03-18,305.79,307.99,265,270.0,5633,1511804.71,EQNE
2008-03-19,280,280,260,269.0,2922,774398.39,EQNE
2008-03-20,265,266.8,250,255.0,3457,887420.99,EQNE
2008-03-21,270,270,248,257.98,1868,482971.29,EQNE
2008-03-24,258.99,260,250,257.98,3067,776666.51,EQNE
2008-03-25,257.98,269.99,240,251.8,4133,1034811.35,EQNE
2008-03-26,252.09,252.09,245,250.0,1525,375422.65,EQNE
2008-03-27,245,248.8,240,248.0,7984,1935461.61,EQNE
2008-03-28,243.2,248,240,241.0,6674,1604328.75,EQNE
2008-03-31,236,243,236,241.0,1601,384725.32,EQNE
2008-04-01,243.3,259.89,236.05,252.0,3262,807531.49,EQNE
2008-04-02,257.88,257.88,246.01,252.01,2345,590633.84,EQNE
2008-04-03,254,255,245,248.1,3150,789882,EQNE
2008-04-04,249,269,246.5,249.9,1694,424709.78,EQNE
2008-04-07,249,256.79,244,244.0,975,241128.27,EQNE
2008-04-08,254,254,241.11,248.0,513,125505.37,EQNE
2008-04-09,247.5,258.99,241.99,249.99,1027,253033.74,EQNE
2008-04-10,241.01,251.95,241.01,245.0,1817,448506.02,EQNE
2008-04-11,246,247.48,242,243.0,955,233088.25,EQNE
2008-04-14,247,247,230,238.0,2507,593374.05,EQNE
2008-04-15,239,243.5,235,242.99,1916,460430.51,EQNE
2008-04-16,240,243.5,236,240.1,4057,982739.83,EQNE
2008-04-17,242.01,254.95,241.99,254.0,6009,1490731.31,EQNE
2008-04-18,255,255,242.71,253.9,683,167968.38,EQNE
2008-04-21,254,254,246.1,249.89,807,204005.37,EQNE
2008-04-22,245.34,252.9,245.34,251.88,13,3255.52,EQNE
2008-04-23,250,252.9,242.5,242.5,735,183718.16,EQNE
2008-04-24,248,250,237.8,248.84,2423,596111.46,EQNE
2008-04-25,250.94,250.94,242,242.2,59,14569.95,EQNE
2008-04-28,242.8,243.79,237.3,240.8,5995,1424536.15,EQNE
2008-04-29,238,241.77,237,241.77,1268,301346.19,EQNE
2008-04-30,237.4,238,232,235.0,794,186381.56,EQNE
2008-05-04,236,240.5,236,237.0,146,34547.35,EQNE
2008-05-05,236.02,240.49,236,240.49,3418,814556.73,EQNE
2008-05-06,239,240.1,230,232.33,16366,3808101.36,EQNE
2008-05-07,234.15,234.15,231,233.6,4470,1041234.36,EQNE
2008-05-12,238.8,238.8,232.1,236.46,702,164437.73,EQNE
2008-05-13,236.99,238,233.6,238.0,1214,285173.68,EQNE
2008-05-14,238,252,238,247.0,14516,3569707.49,EQNE
2008-05-15,248,253.98,245,249.5,8982,2233356.29,EQNE
2008-05-16,252.7,253.7,247.01,252.0,5117,1279870.26,EQNE
2008-05-19,253.99,264.99,250,256.9,24159,6169617.24,EQNE
2008-05-20,257.2,257.5,243,245.0,27004,6733099.02,EQNE
2008-05-21,249.49,249.49,243,243.0,9177,2245833.88,EQNE
2008-05-22,248.7,248.7,236.51,240.0,3399,816493.19,EQNE
2008-05-23,245,247,239.99,243.0,4110,988994.04,EQNE
2008-05-26,245,245,237.07,239.95,557,133445.81,EQNE
2008-05-27,243,243,235,237.7,12848,3033360.41,EQNE
2008-05-28,242.89,242.89,235,236.6,2185,517343.74,EQNE
2008-05-29,240,240,236,236.0,5093,1208537.6,EQNE
2008-05-30,238,238,235.5,236.2,4541,1072910.7,EQNE
2008-06-02,237,237.49,235.01,236.99,1943,459367.21,EQNE
2008-06-03,237,237,229.99,233.3,3541,819708.17,EQNE
2008-06-04,234.66,234.66,228,228.97,12714,2914603.71,EQNE
2008-06-05,231.77,231.77,225.2,227.0,727,165404.52,EQNE
2008-06-06,229.88,230,225,227.75,1138,260041.71,EQNE
2008-06-07,225.25,227,224,224.91,663,149005.04,EQNE
2008-06-09,230,232,223,226.5,1299,291448.05,EQNE
2008-06-10,228,228,223.23,224.0,1310,293914.97,EQNE
2008-06-11,224.52,226,218,218.75,17340,3875281.9,EQNE
2008-06-16,225.4,225.4,216.45,218.5,4746,1034648.89,EQNE
2008-06-17,217.98,217.98,210,212.97,12572,2664806.11,EQNE
2008-06-18,215,219,205,206.48,7180,1495099.67,EQNE
2008-06-19,205,208,203.08,207.0,7830,1614269.48,EQNE
2008-06-20,205.21,209.8,205,205.7,4925,1020015.55,EQNE
2008-06-23,205.02,205.02,199.92,200.1,6644,1346506.04,EQNE
2008-06-24,200,206.8,197.24,201.99,6242,1253091.51,EQNE
2008-06-25,200.9,201,195.07,197.0,8178,1606656.11,EQNE
2008-06-26,200,200,191.01,193.3,12360,2383870.02,EQNE
2008-06-27,192.1,198.9,189,194.4,1730,331806.69,EQNE
2008-06-30,192,196,188.55,189.0,4629,884794.87,EQNE
2008-07-01,190,190,183.02,190.0,4710,881446.81,EQNE
2008-07-02,188.8,195.01,185,193.4,4872,916760.44,EQNE
2008-07-03,192,192,180.43,181.0,12554,2285382.01,EQNE
2008-07-04,180,192,171.2,173.0,6237,1079042.57,EQNE
2008-07-07,181.11,181.11,165.33,169.0,2411,405744.25,EQNE
2008-07-08,169,175,168.02,169.98,2272,386491.76,EQNE
2008-07-09,173.99,176.01,163.01,169.99,2944,512307.3,EQNE
2008-07-10,165.56,169.99,164,165.5,817,134870.85,EQNE
2008-07-11,169.82,188.5,163,163.0,9573,1609280.05,EQNE
2008-07-14,166.18,166.18,163.01,164.9,5963,978916.53,EQNE
2008-07-15,168,169.3,158.5,160.19,18376,2928305.49,EQNE
2008-07-16,155,160,155,159.0,7728,1205950.69,EQNE
2008-07-17,163.99,164,155,157.0,1174,183589.22,EQNE
2008-07-18,155,157,151,156.0,3593,552659.76,EQNE
2008-07-21,152,155,152,154.98,419,64517.7,EQNE
2008-07-22,157,157,152,152.99,2997,456677.04,EQNE
2008-07-23,155.5,155.5,150,154.0,1991,302510.59,EQNE
2008-07-24,150,151.1,150,151.0,1193,180143.09,EQNE
2008-07-25,137.05,151,130.01,135.0,11234,1575396.1,EQNE
2008-07-28,136.01,147,136,140.0,4104,566110.31,EQNE
2008-07-29,136.01,140,136,137.0,7077,963160.33,EQNE
2008-07-30,136,145,135,145.0,903,124446.16,EQNE
2008-07-31,140.02,148.5,124.01,134.0,5314,709953.91,EQNE
2008-08-01,136.91,138,130,137.0,489,65111.13,EQNE
2008-08-04,130,135.3,126.03,130.0,899,117320.05,EQNE
2008-08-05,127.16,130,127,130.0,5152,666145.16,EQNE
2008-08-06,131,135,125.45,129.99,1474,196396.55,EQNE
2008-08-07,127,132.99,127,131.94,3442,446138.15,EQNE
2008-08-08,132,132,124,127.0,3877,482016.58,EQNE
2008-08-11,127,127,117,125.88,2662,322732.89,EQNE
2008-08-12,118,125.93,118,125.0,3335,413463.3,EQNE
2008-08-13,124,128.79,124,128.79,10184,1281527.71,EQNE
2008-08-14,123,143.81,123,130.0,4626,594242.56,EQNL
2008-08-15,138,138,130.63,136.7,692,95290.15,EQNL
2008-08-18,133.51,138.5,130.61,135.05,3729,505570.67,EQNL
2008-08-19,135.05,135.85,127.01,131.0,417,54712.78,EQNL
2008-08-20,133.9,134.49,129,134.0,65,8483.89,EQNL
2008-08-21,132,132,116,129.95,470,58500.08,EQNL
2008-08-22,131.9,134,123,130.1,4290,543114.44,EQNL
2008-08-25,124.5,132.29,124.5,128.0,38,4880.68,EQNL
2008-08-26,125.19,126,125.19,125.2,1437,179985.63,EQNL
2008-08-27,128,128,127.99,127.99,12,1535.98,EQNL
2008-08-28,127.99,131.9,127.99,130.0,3309,427724.14,EQNL
2008-08-29,134.99,135,130,130.0,411,54546.08,EQNL
2008-09-01,132.99,161.58,129,130.22,4785,634556.55,EQNL
2008-09-02,130.22,130.22,128.1,129.95,1133,147280.66,EQNL
2008-09-03,130,130,125,125.0,1112,140017.25,EQNL
2008-09-04,127,127,121.11,123.0,946,117514.34,EQNL
2008-09-05,120,129.48,100,114.0,3325,381105.21,EQNL
2008-09-08,114,122,114,121.99,88,10593.86,EQNL
2008-09-09,110.02,124.95,100,106.0,648,70406.08,EQNL
2008-09-10,106,106,75.01,104.98,2284,228301.55,EQNL
2008-09-11,105,141.44,105,114.0,520,63323.83,EQNL
2008-09-12,105.3,118,105.3,115.0,263,30595.6,EQNL
2008-09-15,105,110,92.03,100.0,1265,129236.01,EQNL
2008-09-16,100.01,100.01,76,76.0,1386,131438.72,EQNL
2008-09-19,99.94,100,90,100.0,488,48692.08,EQNL
2008-09-22,95,102.01,95,100.01,2142,217104.83,EQNL
2008-09-23,103,103,92,101.0,1643,165163.48,EQNL
2008-09-24,109.91,112,93,99.93,2016,193722,EQNL
2008-09-25,99,99,89.99,89.99,3638,342614.51,EQNL
2008-09-26,90,94.9,85,90.0,3001,269251.92,EQNL
2008-09-29,85.27,93.99,85,85.0,2754,242647.31,EQNL
2008-09-30,85,92,85,89.0,1319,117205.5,EQNL
2008-10-01,81.56,88.98,81.02,83.03,300,24588.91,EQNL
2008-10-02,87.94,98,85.1,92.8,1096,101601.92,EQNL
2008-10-03,94.91,95,84,86.0,3448,321739.78,EQNL
2008-10-06,84.02,85.05,78,78.02,2467,198715.01,EQNL
2008-10-07,80,80,72,76.0,830,61843.54,EQNL
2008-10-08,70.02,70.02,70,70.0,56,3920.11,EQNL
2008-10-09,76,78,76,77.0,17,1300,EQNL
2008-10-13,72.02,84.84,72,73.0,3800,276446.54,EQNL
2008-10-14,88.99,100.64,63,66.0,11394,761635.83,EQNL
2008-10-15,64.2,65,59,59.0,3093,190124.98,EQNL
2008-10-16,60,60,39.88,49.9,2779,143033.37,EQNL
