date,open,high,low,close,volume,value,board
2005-09-13,1,1.74,1,1.56,302700,393277,EQNE
2005-09-14,1.56,1.7,1.5,1.58,11400,17750,EQNE
2005-09-15,1.7,1.7,1.3,1.32,56200,77808,EQNE
2005-09-16,1.39,1.4,0.82,0.9,194000,190162,EQNE
2005-09-19,0.85,1,0.85,0.95,29700,25815,EQNE
2005-09-20,1.05,1.05,0.85,1.02,3000,3050,EQNE
2005-09-21,0.91,0.97,0.88,0.88,52800,46682,EQNE
2005-09-22,0.99,0.99,0.8,0.8,96500,82120,EQNE
2005-09-23,0.85,0.85,0.85,0.85,3100,2635,EQNE
2005-09-26,0.85,1,0.85,0.95,1293400,1153910,EQNE
2005-09-27,0.95,1.03,0.95,1.03,89100,86086,EQNE
2005-09-28,1.02,1.18,0.98,1.0,52000,56034,EQNE
2005-09-29,1.1,1.1,1,1.0,16200,16683,EQNE
2005-09-30,1.19,1.21,0.92,1.15,45000,49666,EQNE
2005-10-03,1.12,1.12,1,1.05,1001600,1001693,EQNE
2005-10-04,1.02,1.07,1,1.07,55500,55536,EQNE
2005-10-05,1.01,1.01,1,1.0,20300,20301,EQNE
2005-10-06,1,1.09,0.98,1.09,202000,200168,EQNE
2005-10-07,1,1.17,0.98,1.0,355600,355959,EQNE
2005-10-12,1,1,1,1.0,92100,92100,EQNE
2005-10-13,1,1,1,1.0,5000,5000,EQNE
2005-10-14,1.07,1.2,1.07,1.2,60300,66629,EQNE
2005-10-18,1.01,1.14,1,1.0,125700,125843,EQNE
2005-10-19,1.09,1.1,1.09,1.1,10100,11109,EQNE
2005-10-25,0.86,0.86,0.85,0.85,2300,1956,EQNE
2005-10-26,1.09,1.09,1.09,1.09,100,109,EQNE
2005-10-27,1.09,1.09,1.09,1.09,11000,11990,EQNE
2005-11-02,0.81,0.81,0.8,0.8,10000,8001,EQNE
2005-11-03,0.89,0.9,0.89,0.9,29400,26459,EQNE
2005-11-08,1,1,0.99,0.99,3100,3099,EQNE
2005-11-09,0.99,0.99,0.9,0.9,300,279,EQNE
2005-11-11,0.99,1,0.99,1.0,700,699,EQNE
2005-11-14,1,1,0.77,0.97,600,553,EQNE
2005-11-15,0.91,0.95,0.9,0.95,51800,47141,EQNE
2005-11-16,0.95,0.95,0.95,0.95,14400,13680,EQNE
2005-11-17,0.85,0.94,0.85,0.94,5100,4475,EQNE
2005-11-18,0.94,0.95,0.94,0.95,11900,11295,EQNE
2005-11-21,1,1,0.99,1.0,300100,299899,EQNE
2005-11-22,0.9,0.9,0.9,0.9,10000,9000,EQNE
2005-11-24,1,1,1,1.0,100,100,EQNE
2005-11-28,0.9,0.9,0.85,0.85,1700,1475,EQNE
2005-12-01,0.9,1,0.85,0.9,405900,399517,EQNE
2005-12-06,0.95,0.95,0.95,0.95,100,95,EQNE
2005-12-09,0.99,1,0.99,1.0,1200,1198,EQNE
2005-12-13,0.91,0.93,0.9,0.93,73500,67197,EQNE
2005-12-14,0.81,0.99,0.8,0.99,11400,9205,EQNE
2005-12-15,0.95,0.95,0.81,0.81,1700,1391,EQNE
2005-12-16,0.855,0.86,0.815,0.86,98400,82447.1,EQNE
2005-12-19,0.86,0.894,0.86,0.865,23500,20329.5,EQNE
2005-12-20,0.891,0.92,0.83,0.92,800000,691627.3,EQNE
2005-12-23,0.87,0.87,0.87,0.87,10000,8700,EQNE
2005-12-26,0.899,0.948,0.899,0.948,2000,1828.4,EQNE
2005-12-27,0.9,0.9,0.9,0.9,34500,31050,EQNE
2005-12-28,0.89,0.89,0.89,0.89,85800,76362,EQNE
2005-12-29,0.92,0.92,0.92,0.92,100000,92000,EQNE
2005-12-30,0.93,0.93,0.93,0.93,79700,74121,EQNE
2006-01-10,0.9,0.997,0.9,0.95,246700,229752.1,EQNE
2006-01-11,0.83,0.997,0.83,0.997,10500,9082.4,EQNE
2006-01-12,0.995,0.997,0.98,0.98,4700,4655,EQNE
2006-01-13,0.79,0.9,0.79,0.9,8100,7213,EQNE
2006-01-17,0.89,0.998,0.89,0.93,86600,80709.3,EQNE
2006-01-18,0.921,0.951,0.92,0.92,20500,18923.6,EQNE
2006-01-19,0.93,0.93,0.93,0.93,400,372,EQNE
2006-01-20,0.931,0.931,0.93,0.93,25300,23529.1,EQNE
2006-01-23,0.997,0.997,0.997,0.997,11100,11066.7,EQNE
2006-01-24,0.94,0.94,0.886,0.9,803000,742814.6,EQNE
2006-01-25,0.95,0.97,0.94,0.97,392600,372416.8,EQNE
2006-01-26,0.979,0.979,0.94,0.95,163200,155055.3,EQNE
2006-01-27,0.933,0.959,0.9,0.959,17300,16181.5,EQNE
2006-01-30,0.97,0.97,0.95,0.95,15200,14740,EQNE
2006-01-31,0.95,0.96,0.95,0.96,16500,15828,EQNE
2006-02-01,0.922,0.922,0.901,0.901,300,274.4,EQNE
2006-02-02,0.969,0.969,0.969,0.969,14000,13566,EQNE
2006-02-06,0.979,0.979,0.979,0.979,1100,1076.9,EQNE
2006-02-07,0.951,0.951,0.95,0.95,27600,26220.1,EQNE
2006-02-08,0.978,1.091,0.978,1.091,10000,10878.1,EQNE
2006-02-09,0.983,0.983,0.983,0.983,17000,16711,EQNE
2006-02-10,0.99,0.99,0.97,0.97,5400,5316.1,EQNE
2006-02-13,0.956,0.99,0.91,0.99,1045800,1001378.4,EQNE
2006-02-14,0.99,1.01,0.99,1.01,910400,905112.5,EQNE
2006-02-16,1,1,0.96,0.96,100600,96600.1,EQNE
2006-02-17,1.099,1.1,1.001,1.001,400,430,EQNE
2006-02-20,1.003,1.003,1,1.0,100000,100015.2,EQNE
2006-02-21,1.001,1.099,1,1.0,160900,163731.5,EQNE
2006-02-22,1,1,1,1.0,150000,150000,EQNE
2006-02-26,1.098,1.099,0.99,1.0,2011100,2011838.3,EQNE
2006-02-27,1,1.1,1,1.1,859700,864571.9,EQNE
2006-02-28,1.12,1.149,1,1.03,5002700,5222997.1,EQNE
2006-03-02,1.098,1.1,1.036,1.036,33600,36772.8,EQNE
2006-03-03,1.145,1.16,1.12,1.16,9200,10542.5,EQNE
2006-03-06,1.033,1.095,1.03,1.046,163800,174374.6,EQNE
2006-03-09,1.155,1.2,1.005,1.005,267800,301834.3,EQNE
2006-03-10,1.088,1.089,1.001,1.001,35700,36679.5,EQNE
2006-03-13,1.01,1.01,0.99,0.99,176100,176042,EQNE
2006-03-14,0.99,0.991,0.99,0.991,92900,91973.1,EQNE
2006-03-15,1.089,1.089,0.901,1.009,168500,157659,EQNE
2006-03-16,1.009,1.08,0.961,0.961,32200,34129.2,EQNE
2006-03-20,1.005,1.05,1.005,1.05,8400,8797.5,EQNE
2006-03-21,1.098,1.4,1.098,1.28,250400,303179.8,EQNE
2006-03-22,1.25,1.28,1.05,1.28,195300,239523.2,EQNE
2006-03-23,1.249,1.45,1.21,1.21,682400,851651,EQNE
2006-03-24,1.599,1.599,1.21,1.21,51400,62501.1,EQNE
2006-03-27,1.26,1.4,1.253,1.4,104600,132125.5,EQNE
2006-03-29,1.499,1.5,1.4,1.479,1650100,2407659.8,EQNE
2006-03-30,1.331,1.469,1.32,1.352,115300,152832.5,EQNE
2006-03-31,1.321,1.419,1.32,1.32,38100,51275.9,EQNE
2006-04-03,1.32,1.32,1.32,1.32,12100,15972,EQNE
2006-04-04,1.32,1.439,1.295,1.4,51900,72928.8,EQNE
2006-04-05,1.39,1.441,1.39,1.441,24800,34732,EQNE
2006-04-06,1.44,1.464,1.331,1.331,10400,14934.8,EQNE
2006-04-07,1.439,1.699,1.439,1.65,119000,178000.8,EQNE
2006-04-10,1.65,1.677,1.4,1.65,29600,43211.4,EQNE
2006-04-11,1.51,1.51,1.423,1.423,600,880,EQNE
2006-04-12,1.412,1.412,1.41,1.41,35300,49773.3,EQNE
2006-04-13,1.42,1.524,1.42,1.519,11000,15723,EQNE
2006-04-14,1.42,1.5,1.353,1.42,23600,32279.7,EQNE
2006-04-17,1.42,1.42,1.38,1.38,700,974,EQNE
2006-04-18,1.405,1.467,1.405,1.46,476200,680730.1,EQNE
2006-04-19,1.37,1.52,1.37,1.4,131300,187009.5,EQNE
2006-04-25,1.42,1.43,1.42,1.43,10000,14250,EQNE
2006-04-26,1.43,1.43,1.43,1.43,10000,14300,EQNE
2006-04-27,1.43,1.43,1.39,1.39,1100,1533,EQNE
2006-05-02,1.41,1.41,1.41,1.41,1200,1692,EQNE
2006-05-04,1.301,1.301,1.301,1.301,100,130.1,EQNE
2006-05-06,1.261,1.4,1.261,1.4,5400,7546.1,EQNE
2006-05-10,1.35,1.35,1.35,1.35,500,675,EQNE
2006-05-11,1.335,1.335,1.101,1.245,557600,720557.4,EQNE
2006-05-12,1.305,1.305,1.3,1.3,16700,21720.2,EQNE
2006-05-16,1.234,1.289,1.234,1.289,7700,9886.8,EQNE
2006-05-17,1.25,1.25,1.234,1.234,7000,8654,EQNE
2006-05-18,1.246,1.246,1.2,1.246,2700,3290.6,EQNE
2006-05-19,1.247,1.25,1.212,1.212,149800,187062.5,EQNE
2006-05-22,1.288,1.288,1.157,1.157,69300,81479.6,EQNE
2006-05-24,1.25,1.25,1.25,1.25,5000,6250,EQNE
2006-05-30,1.154,1.154,1.154,1.154,100,115.4,EQNE
