date,open,high,low,close,volume,value,board
2009-09-04,15.4,15.4,15.4,15.4,1,15.4,EQNE
2009-09-10,21.4,21.51,21.4,21.51,2130,45696.41,EQNE
2009-09-11,21.6,21.6,13.01,19.99,329,5548.51,EQNE
2009-09-14,17.0,21.22,16.11,21.17,225,4340.63,EQNE
2009-09-15,18.0,23.47,18.0,19.15,8495,183930.51,EQNE
2009-09-17,22.47,22.47,21.47,21.47,170,3818.9,EQNE
2009-09-18,20.0,20.97,20.0,20.97,40,819.4,EQNE
2009-09-23,20.5,20.5,20.5,20.5,10,205.0,EQNE
2009-09-24,16.7,18.0,16.0,16.5,41339,682357.2,EQNE
2009-09-25,17.0,17.0,15.03,16.24,1842,28535.07,EQNE
2009-09-28,16.62,16.62,16.62,16.62,1,16.62,EQNE
2009-09-29,16.99,16.99,16.41,16.59,601,9954.66,EQNE
2009-09-30,15.95,16.94,14.53,15.08,7241,109474.32,EQNE
2009-10-01,15.08,16.48,14.96,16.47,7836,123747.85,EQNE
2009-10-02,16.42,19.79,15.03,17.18,45176,804599.87,EQNE
2009-10-05,16.08,17.9,15.7,16.0,24249,387866.61,EQNE
2009-10-06,16.0,16.98,15.25,15.71,5979,94482.0,EQNE
2009-10-07,15.45,17.99,15.01,16.0,18069,292604.87,EQNE
2009-10-08,15.99,16.98,15.8,16.0,5188,82770.89,EQNE
2009-10-09,16.54,16.58,15.4,15.99,3963,61075.87,EQNE
2009-10-12,16.0,16.0,15.01,15.98,3289,51413.55,EQNE
2009-10-13,16.0,16.69,15.11,15.68,16661,262361.76,EQNE
2009-10-14,15.97,15.99,15.62,15.97,673,10698.24,EQNE
2009-10-15,16.0,17.0,15.64,16.22,31500,524270.71,EQNE
2009-10-16,16.0,17.9,16.0,17.0,55731,960299.11,EQNE
2009-10-19,17.89,17.89,16.41,17.47,1130,18653.93,EQNE
2009-10-20,17.45,18.5,17.45,18.37,6197,111558.21,EQNE
2009-10-21,18.4,18.87,16.56,18.0,11837,202598.95,EQNE
2009-10-22,17.8,24.24,17.8,20.76,12120,235179.16,EQNE
2009-10-23,21.47,21.47,18.14,19.15,16843,320802.21,EQNE
2009-10-26,18.5,19.77,18.5,19.17,732,14166.15,EQNE
2009-10-27,19.14,19.95,18.74,18.74,1222,23348.03,EQNE
2009-10-28,19.14,19.14,17.77,18.24,3481,61906.56,EQNE
2009-10-29,19.04,19.04,17.99,17.99,221,4023.59,EQNE
2009-10-30,17.99,17.99,16.77,17.98,489,8628.52,EQNE
2009-11-02,17.1,17.92,17.1,17.92,2,35.02,EQNE
2009-11-05,16.78,17.92,15.8,16.0,19290,313584.25,EQNE
2009-11-06,16.0,16.5,16.0,16.1,3621,58384.34,EQNE
2009-11-09,16.0,16.0,15.8,16.0,132,2094.63,EQNE
2009-11-10,16.0,16.0,15.23,15.94,5570,87255.98,EQNE
2009-11-11,15.97,21.0,15.97,21.0,40321,728278.61,EQNE
2009-11-12,20.01,20.03,18.91,18.96,3101,61042.95,EQNE
2009-11-13,19.5,19.5,17.0,17.5,8913,157350.74,EQNE
2009-11-16,17.71,18.87,17.69,18.2,2351,42258.62,EQNE
2009-11-17,18.41,18.41,17.76,18.37,91,1653.44,EQNE
2009-11-18,18.5,18.5,17.73,18.46,1400,24893.12,EQNE
2009-11-19,18.42,19.5,18.42,18.9,3318,62586.04,EQNE
2009-11-20,18.84,19.3,17.79,19.0,4223,77281.43,EQNE
2009-11-23,17.81,17.81,17.11,17.2,1054,18319.3,EQNE
2009-11-24,18.43,21.8,18.01,19.9,6772,136282.47,EQNE
2009-11-26,18.11,19.0,16.1,16.6,27193,462875.86,EQNE
2009-11-27,16.6,17.83,16.11,16.31,3997,65617.43,EQNE
2009-11-30,16.99,17.13,16.97,17.1,577,9837.73,EQNE
2009-12-01,17.47,17.71,16.68,17.4,517,9049.91,EQNE
2009-12-02,17.37,17.39,17.0,17.12,1217,21090.09,EQNE
2009-12-03,16.91,17.19,16.75,17.0,5612,94419.47,EQNE
2009-12-04,16.99,16.99,16.99,16.99,1,16.99,EQNE
2009-12-07,16.44,17.0,16.44,17.0,1222,20498.25,EQNE
2009-12-09,17.17,17.17,16.21,16.22,1188,19306.91,EQNE
2009-12-10,16.23,18.99,16.22,18.51,19275,337234.25,EQNE
2009-12-11,19.5,19.79,18.01,18.4,5792,109230.91,EQNE
2009-12-14,17.58,18.4,17.58,18.4,20,359.8,EQNE
2009-12-15,18.4,18.49,18.01,18.46,852,15650.44,EQNE
2009-12-16,18.98,19.7,18.98,19.69,2058,39103.24,EQNE
2009-12-17,19.7,20.91,18.51,19.97,427,8532.6,EQNE
2009-12-18,20.95,21.51,18.9,20.0,3389,67228.97,EQNE
2009-12-21,19.94,21.0,19.94,20.38,4735,96557.11,EQNE
2009-12-22,19.2,19.2,19.0,19.2,1363,25924.16,EQNE
2009-12-23,19.87,20.0,19.41,19.47,6595,131536.73,EQNE
2009-12-24,19.6,19.6,19.6,19.6,40,784.0,EQNE
2009-12-25,19.5,20.97,19.02,20.96,180542,3627357.94,EQNE
2009-12-28,19.99,21.5,19.99,20.89,10515,217646.13,EQNE
2009-12-29,21.43,21.43,19.9,20.89,7755,155083.24,EQNE
2009-12-30,19.99,19.99,19.99,19.99,1000,19990.0,EQNE
2010-01-12,20.5,21.0,19.48,20.0,2630,52027.85,EQNE
2010-01-13,20.0,20.0,19.51,19.52,169,3366.94,EQNE
2010-01-14,20.38,20.38,19.51,19.99,63,1234.43,EQNE
2010-01-19,21.7,21.7,18.62,19.79,1098,21081.17,EQNE
2010-01-20,19.8,19.8,17.83,18.76,3253,62486.85,EQNE
2010-01-21,18.91,19.51,18.01,19.51,1094,20154.51,EQNE
2010-01-22,19.5,19.6,19.5,19.6,169,3305.14,EQNE
2010-01-25,19.95,19.95,18.01,18.01,1622,30208.4,EQNE
2010-01-26,19.0,19.0,18.62,18.74,101,1894.03,EQNE
2010-01-27,18.98,18.98,18.79,18.8,113,2123.48,EQNE
2010-01-28,19.5,19.5,19.5,19.5,1,19.5,EQNE
2010-01-29,19.08,19.78,18.99,19.78,845,16119.09,EQNE
2010-02-01,19.87,19.94,19.04,19.94,290,5562.9,EQNE
2010-02-03,19.93,19.93,19.37,19.37,8566,170719.82,EQNE
2010-02-04,19.89,26.26,18.2,23.99,4249,87374.8,EQNE
2010-02-05,20.26,21.99,18.41,19.02,1086,20931.95,EQNE
2010-02-08,21.19,21.19,19.02,19.02,13,262.74,EQNE
2010-02-09,19.5,21.46,18.5,19.89,128,2493.84,EQNE
2010-02-10,19.99,19.99,18.43,19.34,293,5643.97,EQNE
2010-02-11,18.49,18.49,18.49,18.49,1,18.49,EQNE
2010-02-12,18.85,18.9,18.5,18.9,651,12134.52,EQNE
2010-02-16,18.5,19.58,18.0,18.98,4262,76947.91,EQNE
2010-02-17,18.99,18.99,18.1,18.98,260,4889.42,EQNE
2010-02-18,18.78,18.82,18.0,18.0,630,11657.66,EQNE
2010-02-19,18.99,18.99,17.69,17.69,182,3368.84,EQNE
2010-02-24,17.8,18.21,17.51,17.51,1041,18439.07,EQNE
2010-02-25,17.51,18.14,16.7,17.2,2392,41439.83,EQNE
2010-02-26,17.98,18.2,17.46,17.46,1629,28538.07,EQNE
2010-02-27,18.19,18.19,17.53,17.96,207,3659.68,EQNE
2010-03-01,18.11,18.11,17.59,17.91,22,390.93,EQNE
2010-03-02,17.51,18.09,17.5,17.9,1681,30032.72,EQNE
2010-03-03,18.13,18.8,18.13,18.28,2693,49241.37,EQNE
2010-03-04,18.73,19.9,18.41,18.74,343,6469.97,EQNE
2010-03-05,18.74,18.94,18.74,18.94,149,2805.73,EQNE
2010-03-09,18.4,19.9,18.4,19.49,303,5852.45,EQNE
2010-03-10,20.89,20.89,19.25,19.56,414,8039.2,EQNE
2010-03-12,19.6,19.6,18.99,19.23,443,8587.75,EQNE
2010-03-15,18.57,19.5,18.56,19.45,941,17828.77,EQNE
2010-03-16,19.4,19.4,19.4,19.4,6,116.4,EQNE
2010-03-17,18.93,20.48,18.93,19.1,1553,30445.12,EQNE
2010-03-18,20.69,20.69,19.05,19.05,23,447.72,EQNE
2010-03-19,19.01,19.01,18.9,18.9,305,5777.33,EQNE
2010-03-22,19.95,19.95,18.71,18.71,40,753.03,EQNE
2010-03-24,18.75,19.46,18.75,18.9,901,17003.41,EQNE
2010-03-25,18.76,18.96,18.76,18.95,410,7768.54,EQNE
2010-03-29,18.27,18.27,18.27,18.27,1,18.27,EQNE
2010-03-30,18.99,18.99,18.51,18.51,502,9532.5,EQNE
2010-03-31,19.1,19.1,19.1,19.1,1,19.1,EQNE
2010-04-01,18.99,18.99,18.99,18.99,1,18.99,EQNE
2010-04-05,19.25,19.25,19.25,19.25,1,19.25,EQNE
2010-04-06,18.62,18.62,18.6,18.6,32,595.42,EQNE
2010-04-07,19.25,19.25,18.36,18.37,153,2813.18,EQNE
2010-04-08,18.98,18.99,18.95,18.95,152,2881.26,EQNE
2010-04-09,18.18,19.13,18.18,18.22,9,164.65,EQNE
2010-04-12,19.19,19.91,18.31,18.31,446,8530.04,EQNE
2010-04-13,18.31,19.91,18.31,19.8,195,3730.45,EQNE
2010-04-14,19.89,19.89,19.89,19.89,10,198.9,EQNE
2010-04-15,19.88,20.98,18.6,20.17,2493,50680.97,EQNE
2010-04-16,20.17,22.0,18.45,19.52,3019,59624.03,EQNE
2010-04-19,18.94,19.46,18.94,19.11,160,3082.4,EQNE
2010-04-20,19.29,19.46,19.29,19.3,200,3867.0,EQNE
2010-04-21,19.48,19.67,19.35,19.55,206,4026.02,EQNE
2010-04-22,19.49,19.49,19.49,19.49,7,136.43,EQNE
2010-04-23,19.83,19.83,19.83,19.83,1,19.83,EQNE
2010-04-26,19.84,26.0,19.84,20.54,4259,95863.32,EQNE
2010-04-27,20.03,21.0,19.11,21.0,3362,67050.04,EQNE
2010-04-28,21.0,22.0,21.0,21.35,874,18553.31,EQNE
2010-04-29,21.35,21.35,21.35,21.35,1,21.35,EQNE
2010-04-30,21.01,21.01,21.01,21.01,330,6933.3,EQNE
2010-05-04,21.35,21.35,21.35,21.35,4,85.4,EQNE
2010-05-05,21.5,21.5,19.03,20.72,190,4052.88,EQNE
2010-05-06,19.49,19.5,19.49,19.5,28,545.92,EQNE
2010-05-07,19.11,19.11,17.02,17.02,6151,110043.15,EQNE
2010-05-11,17.95,21.35,17.95,21.35,515,9648.75,EQNE
2010-05-12,19.02,19.98,18.0,19.0,14319,267173.98,EQNE
2010-05-13,18.53,20.72,18.53,19.0,13578,267290.72,EQNE
2010-05-19,19.1,19.1,17.66,17.66,2,36.76,EQNE
2010-05-20,18.5,18.5,17.03,17.03,200,3417.99,EQNE
2010-05-21,19.54,19.54,17.08,17.08,9,168.32,EQNE
2010-05-24,19.5,19.5,17.36,17.36,13,249.86,EQNE
2010-05-25,17.35,17.35,16.22,16.22,101,1718.45,EQNE
2010-05-26,19.19,19.19,16.8,18.01,16,295.53,EQNE
2010-05-27,19.19,20.2,19.19,20.2,2692,53569.97,EQNE
