date,open,high,low,close,volume,value,board
2011-10-26,18.0,21.668,15.501,18.969,16200,294491.6,EQNE
2011-10-27,18.0,20.0,18.0,18.0,5900,114429.6,EQNE
2011-10-28,18.99,20.0,18.002,18.002,6200,122877.9,EQNE
2011-10-31,16.0,18.75,16.0,18.75,2100,36526.5,EQNE
2011-11-01,17.5,17.5,16.51,17.5,2300,40150.0,EQNE
2011-11-02,17.495,18.5,17.495,18.0,1000,18098.5,EQNE
2011-11-03,17.5,18.0,15.51,17.25,6700,119597.5,EQNE
2011-11-07,17.25,17.5,17.25,17.5,600,10475.0,EQNE
2011-11-08,14.51,17.07,14.51,17.07,200,3158.0,EQNE
2011-11-09,15.0,16.949,15.0,15.501,6500,98710.5,EQNE
2011-11-10,16.999,17.0,16.999,17.0,3000,50999.9,EQNE
2011-11-11,16.5,19.0,15.501,19.0,22100,385352.6,EQNE
2011-11-14,19.0,20.0,19.0,19.999,500,9850.0,EQNE
2011-11-15,19.0,20.0,17.8,19.0,5200,102620.0,EQNE
2011-11-16,19.0,21.0,19.0,19.501,4500,90108.4,EQNE
2011-11-17,19.0,19.0,18.999,19.0,4000,75999.3,EQNE
2011-11-18,17.001,17.302,16.02,16.258,6900,114603.8,EQNE
2011-11-21,16.001,18.0,15.7,18.0,3100,54818.9,EQNE
2011-11-22,17.999,20.5,17.999,18.0,16500,302887.8,EQNE
2011-11-23,18.0,18.0,18.0,18.0,1800,32400.0,EQNE
2011-11-24,18.0,18.0,18.0,18.0,500,9000.0,EQNE
2011-11-28,18.5,18.999,18.5,18.7,12400,232497.8,EQNE
2011-11-30,18.99,18.99,18.7,18.7,2700,50519.0,EQNE
2011-12-01,19.0,20.0,19.0,19.49,1900,37541.8,EQNE
2011-12-02,17.5,18.0,17.108,17.108,15300,267612.6,EQNE
2011-12-05,17.5,18.0,17.5,18.0,5900,105949.6,EQNE
2011-12-08,16.501,16.501,16.501,16.501,300,4950.3,EQNE
2011-12-09,16.505,16.505,14.604,15.177,2600,39912.6,EQNE
2011-12-12,15.701,15.701,15.4,15.5,900,13990.1,EQNE
2011-12-14,13.05,15.005,13.05,15.0,26200,344251.0,EQNE
2011-12-15,15.004,15.004,15.004,15.004,100,1500.4,EQNE
2011-12-19,14.5,14.5,14.0,14.0,2000,28270.1,EQNE
2011-12-20,19.715,19.715,15.25,16.9,21000,406164.6,EQNE
2011-12-21,16.0,16.499,12.021,15.391,11900,172570.1,EQNE
2011-12-22,14.05,16.99,14.05,16.99,2900,46761.0,EQNE
2011-12-23,14.504,15.397,13.0,15.397,13200,184895.0,EQNE
2011-12-26,14.006,14.028,14.006,14.028,1100,15408.8,EQNE
2011-12-27,16.79,16.79,14.267,15.295,207400,3147861.0,EQNE
2011-12-28,17.75,17.75,14.41,15.985,121200,1915447.5,EQNE
2011-12-29,17.7,17.7,12.5,14.7,163800,2557126.4,EQNE
2011-12-30,14.426,17.2,14.099,15.156,480000,7557323.6,EQNE
2012-01-03,14.717,14.717,14.011,14.011,600,8477.2,EQNE
2012-01-04,14.02,15.35,14.02,15.34,700,10154.2,EQNE
2012-01-05,15.36,15.36,15.3,15.3,2000,30606.0,EQNE
2012-01-06,14.201,15.123,14.201,15.123,600,8705.0,EQNE
2012-01-09,15.331,15.99,14.555,14.555,500,7654.1,EQNE
2012-01-10,15.5,17.007,15.006,15.7,18500,300367.2,EQNE
2012-01-11,15.5,16.493,15.273,16.493,1600,25314.2,EQNE
2012-01-12,16.479,16.479,15.7,15.7,700,11068.0,EQNE
2012-01-13,16.49,16.49,16.49,16.49,100,1649.0,EQNE
2012-01-17,16.645,16.645,16.631,16.631,1900,31624.1,EQNE
2012-01-18,16.64,16.64,15.5,16.0,21400,355770.0,EQNE
2012-01-19,14.87,15.0,14.87,15.0,20100,298900.0,EQNE
2012-01-20,16.48,16.48,14.85,15.06,12700,204013.0,EQNE
2012-01-25,15.001,15.001,14.999,15.0,3000,44999.4,EQNE
2012-01-26,14.997,14.997,14.997,14.997,100,1499.7,EQNE
2012-01-27,14.065,14.341,14.064,14.329,15700,221067.9,EQNE
2012-01-30,14.444,14.444,14.444,14.444,200,2888.8,EQNE
2012-02-01,14.101,14.101,13.93,13.93,3200,44806.8,EQNE
2012-02-02,14.0,14.005,14.0,14.0,6100,85400.5,EQNE
2012-02-03,13.83,13.83,13.83,13.83,100,1383.0,EQNE
2012-02-06,13.831,15.224,13.323,15.224,8700,126023.8,EQNE
2012-02-07,14.971,15.0,14.971,15.0,3500,52489.7,EQNE
2012-02-08,15.2,15.996,14.484,15.704,29200,452039.1,EQNE
