date,open,high,low,close,volume,value,board
2003-02-03,0.096,0.098,0.093,0.096,2886700,275727.3,EQNE
2003-02-04,0.097,0.097,0.092,0.092,4101600,383448.4,EQNE
2003-02-05,0.094,0.095,0.093,0.094,975400,91706.6,EQNE
2003-02-06,0.094,0.094,0.09,0.092,14399700,1311584.9,EQNE
2003-02-07,0.093,0.093,0.09,0.09,2136100,193131.5,EQNE
2003-02-10,0.093,0.093,0.091,0.091,1283500,117478.5,EQNE
2003-02-11,0.091,0.093,0.091,0.093,1273700,117508.1,EQNE
2003-02-12,0.093,0.097,0.093,0.093,9751700,921337.1,EQNE
2003-02-13,0.092,0.093,0.09,0.093,6796400,618998,EQNE
2003-02-14,0.092,0.097,0.092,0.094,19271800,1809835.4,EQNE
2003-02-17,0.095,0.095,0.094,0.095,2544800,239676,EQNE
2003-02-18,0.095,0.095,0.092,0.093,10968200,1021779.1,EQNE
2003-02-19,0.093,0.095,0.093,0.093,11284100,1055641,EQNE
2003-02-20,0.093,0.094,0.093,0.094,1803900,169480.6,EQNE
2003-02-21,0.093,0.094,0.093,0.093,2585000,240422.9,EQNE
2003-02-25,0.093,0.093,0.092,0.093,1580500,145963.9,EQNE
2003-02-26,0.093,0.094,0.092,0.092,1456800,134367,EQNE
2003-02-27,0.092,0.093,0.091,0.092,1448400,133111,EQNE
2003-02-28,0.092,0.093,0.091,0.093,43200,3974.5,EQNE
2003-03-03,0.091,0.097,0.091,0.096,25911700,2464545,EQNE
2003-03-04,0.096,0.096,0.094,0.094,4618300,436036.8,EQNE
2003-03-05,0.094,0.096,0.093,0.094,3770800,356052.5,EQNE
2003-03-06,0.096,0.099,0.095,0.096,18591600,1790760.5,EQNE
2003-03-07,0.094,0.097,0.093,0.093,7475900,700079.1,EQNE
2003-03-11,0.094,0.095,0.092,0.093,15850100,1471691,EQNE
2003-03-12,0.093,0.094,0.092,0.093,2929000,271515.9,EQNE
2003-03-13,0.092,0.094,0.092,0.093,503600,46917.4,EQNE
