date,open,high,low,close,volume,value,board
2013-08-08,1041.0,1056.0,1041.0,1056.0,96,100605.8,EQNE
2013-08-09,1058.0,1067.0,1058.0,1067.0,79,83977.1,EQNE
2013-08-12,1065.0,1068.0,1058.8,1066.5,57,60560.3,EQNE
2013-08-13,1065.2,1065.2,1065.2,1065.2,7,7456.4,EQNE
2013-08-14,1065.9,1065.9,1065.9,1065.9,5,5329.5,EQNE
2013-08-15,1067.2,1073.2,1067.2,1073.2,154,165011.8,EQNE
2013-08-20,1074.5,1074.5,1074.5,1074.5,100,107450.0,EQNE
2013-08-21,1077.1,1078.3,1077.1,1078.3,37,39859.9,EQNE
2013-08-23,1078.9,1078.9,1072.4,1072.4,5,5375.0,EQNE
2013-08-26,1074.5,1077.4,1074.5,1077.4,67,72056.0,EQNE
2013-08-27,1075.8,1075.8,1075.8,1075.8,18,19364.4,EQNE
2013-08-28,1072.5,1075.0,1072.5,1075.0,16,17197.5,EQNE
2013-09-03,1071.7,1071.7,1071.7,1071.7,25,26792.5,TQNE
2013-09-04,1073.2,1073.2,1073.2,1073.2,18,19317.6,TQNE
2013-09-05,1075.6,1079.3,1075.6,1079.3,392,422361.3,TQNE
2013-09-11,1078.5,1078.5,1078.5,1078.5,1,1078.5,TQNE
2013-09-12,1078.2,1078.2,1078.2,1078.2,1,1078.2,TQNE
2013-09-17,1078.2,1078.2,1078.2,1078.2,11,11860.2,TQNE
2013-09-18,1078.2,1078.2,1078.2,1078.2,2,2156.4,TQNE
2013-09-30,1072.0,1072.0,1072.0,1072.0,2,2144.0,TQNE
2013-10-09,1071.5,1072.6,1071.4,1072.5,250,267908.5,TQNE
2013-10-17,1077.0,1077.0,1077.0,1077.0,2,2154.0,TQNE
2013-11-11,1077.6,1080.9,1077.6,1080.9,20,21578.6,TQNE
2013-12-10,1071.5,1071.5,1071.4,1071.4,49,52501.4,TQNE
2013-12-30,1085.0,1085.0,1085.0,1085.0,1,1085.0,TQNE
2014-01-09,1090.0,1090.0,1085.0,1087.0,8,8697.0,TQNE
2014-02-27,1080.0,1080.0,1080.0,1080.0,5,5400.0,TQNE
2014-03-07,1090.0,1090.0,1080.0,1080.0,2,2170.0,TQNE
2014-03-27,1090.0,1090.0,1083.0,1083.0,2,2173.0,TQNE
2014-04-03,1090.0,1090.0,1090.0,1090.0,1,1090.0,TQNE
2014-04-11,1080.0,1080.0,1080.0,1080.0,1,1080.0,TQNE
2014-04-18,1080.0,1080.0,1080.0,1080.0,1,1080.0,TQNE
2014-07-17,1119.0,1119.0,1119.0,1119.0,1,1119.0,TQBR
2014-08-27,1680.0,1680.0,1680.0,1680.0,4,6720.0,TQBR
2014-10-17,1900.0,2000.0,1900.0,2000.0,56,106500.0,TQBR
2014-10-20,1900.0,1900.0,1900.0,1900.0,70,133000.0,TQBR
2014-10-29,1850.0,1850.0,1850.0,1850.0,116,214600.0,TQBR
2014-11-07,1900.0,1900.0,1900.0,1900.0,116,220400.0,TQBR
