date,open,high,low,close,volume,value,board
2004-06-09,29,29,29,29.0,100,2900,EQNE
2004-06-11,26.4,26.5,25.02,25.94,10400,267127,EQNE
2004-06-15,25,27.8,25,27.8,27900,704005,EQNE
2004-06-16,25.22,25.25,25.22,25.25,600,15138,EQNE
2004-06-17,25.22,26,25.21,25.5,2400,61418,EQNE
2004-06-18,25.45,25.48,25.23,25.24,3400,86361,EQNE
2004-06-21,25.55,26,25.55,25.56,6100,156844,EQNE
2004-06-22,25.55,25.6,25.55,25.6,5100,130544,EQNE
2004-06-23,25.77,26,25.24,25.24,1700,44021,EQNE
2004-06-24,25.55,25.55,25.55,25.55,5400,137970,EQNE
2004-06-28,24.88,24.88,24.88,24.88,100,2488,EQNE
2004-06-30,24.88,24.88,24.5,24.5,600,14879,EQNE
2004-07-01,24.77,24.77,24.5,24.5,1600,39234,EQNE
2004-07-05,24.66,24.66,24.66,24.66,200,4932,EQNE
2004-07-06,24.66,24.66,24.66,24.66,1500,36990,EQNE
2004-07-09,24.02,25.95,24.02,25.95,2,49.97,EQNE
2004-07-12,26.99,32,26.9,32.0,5401,153791.02,EQNE
2004-07-13,26,26,25.55,25.55,817,21234.8,EQNE
2004-07-14,26,26,25.43,25.79,1059,27440.62,EQNE
2004-07-19,24.03,26,24.01,26.0,240,6225.72,EQNE
2004-07-22,22.22,26.3,22.22,26.3,501,11136.3,EQNE
2004-07-26,25.5,25.5,25.48,25.48,8782,223767.36,EQNE
2004-07-27,25,25,25,25.0,52,1300,EQNE
2004-07-28,24,24,22.22,22.22,2812,63032.84,EQNE
2004-07-29,22,23,22,23.0,4023,89529,EQNE
2004-07-30,23,23,23,23.0,1500,34500,EQNE
2004-08-03,23.99,24,23.99,24.0,1011,24263.99,EQNE
2004-08-04,24.5,24.5,24,24.5,4015,97367.5,EQNE
2004-08-05,25,25,25,25.0,10000,250000,EQNE
2004-08-06,24.4,25,24.4,24.5,4210,103202.29,EQNE
2004-08-09,25,25,24.1,24.1,8257,200839.7,EQNE
2004-08-10,24.5,24.5,23.51,23.51,1012,24788.83,EQNE
2004-08-11,23.56,23.97,23.5,23.5,23128,543629.98,EQNE
2004-08-12,23.5,24,23.5,24.0,1864,44236.5,EQNE
2004-08-13,24.22,24.5,24,24.0,6781,164282.86,EQNE
2004-08-16,25,28.5,23.02,24.95,3121,78041.52,EQNE
2004-08-17,26,26,24.99,25.0,5467,136724.99,EQNE
2004-08-18,27,27,27,27.0,1,27,EQNE
2004-08-19,24.1,24.55,23.5,24.0,7960,190493.2,EQNE
2004-08-20,28.99,29,25,25.0,13001,372909,EQNE
2004-08-23,24.03,25,23.8,25.0,300,7489.34,EQNE
2004-08-24,25,25,25,25.0,150,3750,EQNE
2004-08-25,24.04,27,24.04,26.0,77,2053.63,EQNE
2004-08-26,26,26.6,25.1,26.6,25469,668344.85,EQNE
2004-08-27,26,28,26,28.0,76447,2069848.6,EQNE
2004-08-30,26.8,27.88,26.79,27.88,36010,965048.63,EQNE
2004-08-31,27.8,28.9,27,28.9,48258,1336293.29,EQNE
2004-09-01,27.12,28,26.8,27.97,79189,2139225.24,EQNE
2004-09-02,28.38,28.38,26,26.26,65453,1753523.59,EQNE
2004-09-03,29.79,29.79,27,27.3,28014,757888.47,EQNE
2004-09-06,27.25,27.99,26.7,27.9,177622,4903273.67,EQNE
2004-09-07,27.5,27.5,27.14,27.2,35909,983899.32,EQNE
2004-09-08,27.67,27.67,27.2,27.2,10063,273719.18,EQNE
2004-09-09,27.9,27.9,27.9,27.9,100,2790,EQNE
2004-09-10,27,27.6,26.76,27.59,984,26733.96,EQNE
2004-09-13,27.2,27.9,27.1,27.9,6062,166146.36,EQNE
2004-09-14,27.2,27.7,27.01,27.69,6565,178298.36,EQNE
2004-09-15,27.48,28.8,27.48,28.79,38950,1090255.57,EQNE
2004-09-16,28,28.5,28,28.1,12869,361545.41,EQNE
2004-09-17,27.57,28.19,25.2,28.1,7120,191485.07,EQNE
2004-09-20,28.98,28.98,27.8,28.75,12926,362707.77,EQNE
2004-09-21,28.29,28.8,28.29,28.8,12817,362891.5,EQNE
2004-09-22,28.99,29,28.2,28.98,2224,63044.1,EQNE
2004-09-23,28.05,29.28,28.05,29.24,191,5548.57,EQNE
2004-09-24,28.79,29,28.61,29.0,19794,571225.84,EQNE
2004-09-27,29.09,30.46,28.3,28.79,16350,466683.29,EQNE
2004-09-28,28.37,29.49,28.37,29.25,41339,1205230.51,EQNE
2004-09-29,30.5,30.5,28.51,28.8,83057,2472758.18,EQNE
2004-09-30,29,29.5,28.81,29.0,16466,478691.92,EQNE
2004-10-01,29.49,29.75,29.11,29.11,43938,1298129.69,EQNE
2004-10-04,29.4,30,29.4,29.9,146870,4392018.7,EQNE
2004-10-05,30.88,30.88,29.33,30.43,1770,52540.58,EQNE
2004-10-06,30.9,31,29.85,31.0,72715,2229208.75,EQNE
2004-10-07,31.5,31.88,30.17,31.1,69739,2183738.37,EQNE
2004-10-08,31.5,32.99,31.5,32.6,42957,1362214.91,EQNE
2004-10-11,33,33.5,33,33.5,34001,1135929.06,EQNE
2004-10-12,33,33.5,31.5,32.7,78826,2584170.38,EQNE
2004-10-13,33.25,33.26,33.05,33.25,13772,457671.94,EQNE
2004-10-14,32,33.35,31.2,33.35,3535,114645.19,EQNE
2004-10-15,32,34.69,32,33.6,12357,410794.58,EQNE
2004-10-18,35,35,33.2,33.3,40209,1360108.8,EQNE
2004-10-19,33.03,33.5,33.03,33.49,21392,715978.22,EQNE
2004-10-20,32.53,33.4,32,32.6,49809,1629590.59,EQNE
2004-10-21,32.79,32.99,31.7,32.99,4564,147311.56,EQNE
2004-10-22,33,34,32.89,33.33,53620,1802075.75,EQNE
2004-10-25,34.5,34.5,33.01,33.01,76,2510.25,EQNE
2004-10-26,33.79,34.5,33.5,34.0,70001,2366756.34,EQNE
2004-10-27,33.6,36,33.6,36.0,119601,4196972.04,EQNE
2004-10-28,35,35.5,34.91,35.4,19142,673901.61,EQNE
2004-10-29,35.49,36,35,36.0,4205,150917.68,EQNE
2004-11-01,34.1,35.2,34.1,35.0,13431,469339.8,EQNE
2004-11-02,34.51,36,34.5,36.0,1227,43734.75,EQNE
2004-11-03,36,36,35.5,35.99,1050,37779.9,EQNE
2004-11-04,35.55,35.95,34.03,35.95,84931,2926984.35,EQNE
2004-11-05,35.99,35.99,34.8,35.67,24131,839767.26,EQNE
2004-11-09,35.6,35.6,34.3,35.0,1922,65932.9,EQNE
2004-11-10,35.25,35.29,35.25,35.29,100,3526.64,EQNE
2004-11-11,34,34.84,34,34.84,3051,104063.96,EQNE
2004-11-12,34.94,34.99,34.94,34.99,106,3704.8,EQNE
2004-11-16,34.34,34.5,34.34,34.5,6930,239083.4,EQNE
2004-11-17,34.5,38,34.5,38.0,10290,358133.9,EQNE
2004-11-18,35.5,36.5,34.99,36.5,12200,435007,EQNE
2004-11-19,35.3,35.3,34.75,35.0,3497,122996.51,EQNE
2004-11-22,34.5,35.5,34.03,35.1,17636,616012.77,EQNE
2004-11-23,34.5,34.99,34.02,34.99,5203,179049.57,EQNE
2004-11-24,35.5,35.5,34.05,34.06,7244,246735.72,EQNE
2004-11-25,33.1,34.9,31.2,34.7,10852,353530,EQNE
2004-11-26,33.03,33.5,33.02,33.5,620,20511,EQNE
2004-11-29,32.9,35,32.2,35.0,5278,170718.2,EQNE
2004-11-30,36.99,36.99,32.22,34.33,6252,203129.41,EQNE
2004-12-01,32.5,32.5,32.05,32.05,255,8220.5,EQNE
2004-12-02,32.52,33,31.11,33.0,5918,192163.81,EQNE
2004-12-03,31.27,32.4,31.27,32.0,2861,92101.27,EQNE
2004-12-06,31.3,32.49,31,32.0,4670,150550.24,EQNE
2004-12-07,33.99,33.99,32,32.5,17197,551230.35,EQNE
2004-12-08,33.9,33.9,31,31.9,13812,428370.4,EQNE
2004-12-09,31.05,31.05,29.12,29.12,24788,739495.12,EQNE
2004-12-10,29,29.9,28.05,29.9,16117,471491.49,EQNE
2004-12-14,33.3,33.3,29.5,30.0,3198,95194.97,EQNE
2004-12-15,29.5,29.5,27.8,29.5,799,23054.62,EQNE
2004-12-16,28.22,29,28.02,29.0,1690,48455.94,EQNE
2004-12-17,28.03,29.89,27.81,29.0,12683,364627.04,EQNE
2004-12-20,28.25,29.15,28,28.7,14522,409898.88,EQNE
2004-12-21,29,29.49,29,29.49,11771,341618.59,EQNE
2004-12-22,28.51,29.2,28.5,28.5,47001,1343491.74,EQNE
2004-12-23,24.9,29.9,24.9,29.2,20880,612719.03,EQNE
2004-12-24,29.4,30.2,29.4,30.2,27789,833072.24,EQNE
2004-12-27,31.48,31.48,29.55,30.99,11240,336642.08,EQNE
2004-12-28,30.88,30.9,30.88,30.9,700,21629.3,EQNE
2004-12-29,30.1,30.5,30,30.0,1119,33906.9,EQNE
2004-12-30,30.9,30.9,29.61,30.7,16,490.41,EQNE
2005-01-11,30,33,30,33.0,1075,32975.1,EQNL
2005-01-12,32.7,32.7,30,32.5,10102,303723.8,EQNL
2005-01-13,30,33,30,33.0,307,10094.18,EQNL
2005-01-14,30.1,32.5,30.1,31.3,13227,414818.76,EQNL
2005-01-17,31.5,32,31.49,31.49,161,5071,EQNL
2005-01-18,31.05,31.05,31.02,31.02,200,6207,EQNL
2005-01-19,32.5,33.9,30.2,31.5,1553,52054.12,EQNL
2005-01-20,29.6,30.3,29.6,30.3,4,119.8,EQNL
2005-01-21,31,31,30.3,30.3,6031,183011.14,EQNL
2005-01-24,30.15,30.89,30.15,30.89,5028,155222.16,EQNL
2005-01-25,30.99,30.99,30,30.0,5854,176638.13,EQNL
2005-01-26,30.82,30.85,30,30.6,1289,39185.58,EQNL
2005-01-27,30.79,31.1,30.4,31.1,11682,360251.73,EQNL
2005-01-28,31.2,32.07,31,32.07,19645,613579.21,EQNL
2005-01-31,32.5,32.5,32,32.02,16621,537892.31,EQNL
2005-02-01,32,33,32,33.0,51198,1657443.42,EQNL
2005-02-02,33,33.95,33,33.95,142186,4796557.06,EQNL
2005-02-03,34,36.5,33.95,36.5,102749,3604564.04,EQNL
2005-02-04,36.4,36.49,34.21,36.0,26516,941893.86,EQNL
2005-02-07,36,36.15,35.2,35.2,32970,1178833.56,EQNL
2005-02-08,35.5,36.6,35.5,36.6,37593,1363178.12,EQNL
2005-02-09,35.3,35.6,34.03,34.4,101489,3546709.64,EQNL
2005-02-10,34.4,35.1,33.21,34.5,6985,238290.47,EQNL
2005-02-11,34.4,35.4,33.3,35.4,13476,467742.9,EQNL
2005-02-14,35.3,35.4,35,35.0,1020,35878,EQNL
2005-02-15,34.4,34.95,34.01,34.6,10560,364415.4,EQNL
2005-02-16,34.89,35.45,34.2,34.95,20065,694700.93,EQNL
2005-02-17,34.26,34.6,34.2,34.6,15073,519057.94,EQNL
2005-02-18,34.5,35.5,34.5,35.5,54864,1928165.64,EQNL
2005-02-21,35.12,35.9,35.11,35.9,29592,1058563.26,EQNL
2005-02-22,35.5,35.7,35.11,35.7,10388,369597.04,EQNL
2005-02-24,35,36.9,35,36.45,49477,1795998.81,EQNL
2005-02-25,34.11,36.5,34.11,36.18,28314,1011198.24,EQNL
2005-02-28,36.98,36.99,35.61,36.45,2016,73484.5,EQNL
2005-03-01,36,36.45,36,36.45,5661,205405.7,EQNL
2005-03-02,35,37.15,35,36.5,58011,2129776.96,EQNL
2005-03-03,36.5,36.99,35.4,35.4,8776,311507.37,EQNL
2005-03-04,37.2,37.2,36.5,36.79,2600,95108.79,EQNL
2005-03-05,36.15,37.97,36.15,37.5,11987,443760.49,EQNL
2005-03-09,37.41,38.5,36.39,37.98,13293,507820.44,EQNL
2005-03-10,38.1,38.1,36.53,37.0,662,24816.36,EQNL
2005-03-11,37.3,37.3,36.31,37.19,20160,735883.9,EQNL
2005-03-14,37.1,37.1,36,36.0,3310,120234.72,EQNL
2005-03-15,37.05,37.45,36.98,37.0,12750,473334.79,EQNL
2005-03-17,36.99,36.99,35.2,36.99,2077,74092.13,EQNL
2005-03-18,36.24,36.83,36.24,36.6,211,7719.23,EQNL
2005-03-21,36.79,36.79,35.95,35.95,8725,313684.75,EQNL
2005-03-22,35.05,35.95,34.61,35.5,10142,360698.57,EQNL
2005-03-23,35.5,35.5,35.5,35.5,178,6319,EQNL
2005-03-24,35.5,36.45,35.01,35.3,10573,375591.19,EQNL
2005-03-25,35.7,36,35.05,35.05,11932,425730.41,EQNL
2005-03-28,35.98,35.99,35.2,35.5,43,1531.07,EQNL
2005-03-29,35.5,35.5,35.2,35.2,1720,60745.45,EQNL
2005-03-30,35,35,34.01,34.77,18800,647916.57,EQNL
2005-03-31,34.9,35,34.9,35.0,424,14836.6,EQNL
2005-04-01,34.5,35.9,34.5,35.9,20734,737111.2,EQNL
2005-04-04,36.4,36.5,36,36.0,3879,139893.2,EQNL
2005-04-05,36,37.3,35.21,37.3,27049,987186.35,EQNL
2005-04-06,37.3,38.51,36.5,38.0,65643,2481486.45,EQNL
2005-04-07,37.56,38.15,37,38.15,49198,1843670.04,EQNL
2005-04-08,38.05,39,37.72,39.0,34673,1332419.76,EQNL
2005-04-11,39.49,39.5,38,38.79,27051,1056264.36,EQNL
2005-04-12,38.5,39,38,39.0,23447,905333.81,EQNL
2005-04-13,38.99,38.99,38.99,38.99,1106,43122.94,EQNL
2005-04-14,37.11,38.99,37.11,38.7,1309,49747.76,EQNL
