date,open,high,low,close,volume,value,board
2011-01-11,3185.0,3185.0,3185.0,3185.0,11,35035.0,EQNE
2011-01-12,2800.0,3999.97,2800.0,3121.0,224,752803.34,EQNE
2011-01-13,3649.0,3649.0,2200.07,2589.98,260,736352.6,EQNE
2011-01-14,2499.99,2800.0,2400.0,2459.99,126,313809.2,EQNE
2011-01-17,2300.0,2300.0,2100.01,2259.99,12,26792.38,EQNE
2011-01-18,2260.01,2262.0,2220.03,2249.99,5,11254.03,EQNE
2011-01-19,2149.97,2149.97,2050.05,2050.05,4,8400.04,EQNE
2011-01-20,2050.04,2149.98,2000.0,2100.0,59,121070.06,EQNE
2011-01-21,2050.0,2050.0,1905.01,1905.01,46,90645.11,EQNE
2011-01-24,1999.99,2400.0,1999.99,2170.0,70,148664.24,EQNE
2011-01-25,2020.09,2020.09,2020.0,2020.0,14,28280.36,EQNE
2011-01-26,2002.99,2070.0,1950.0,2070.0,43,86748.87,EQNE
2011-01-27,1975.01,1975.01,1975.01,1975.01,1,1975.01,EQNE
2011-01-31,2000.04,2040.01,1945.0,2040.01,29,58450.18,EQNE
2011-02-01,1970.06,1970.06,1950.01,1950.01,10,19640.28,EQNE
2011-02-02,1900.03,1900.03,1900.0,1900.02,25,47500.5,EQNE
2011-02-03,1979.97,1989.96,1979.97,1989.96,4,7929.89,EQNE
2011-02-09,1500.0,1768.0,1333.39,1768.0,36,52876.89,EQNE
2011-02-10,1888.0,2379.0,1412.0,1507.77,48,89370.93,EQNE
2011-02-11,1622.22,1622.22,1622.22,1622.22,1,1622.22,EQNE
2011-02-15,1390.01,1600.0,1390.01,1600.0,2,2990.01,EQNE
2011-02-16,1954.72,1954.72,1435.15,1435.15,10,16343.23,EQNE
2011-02-17,1998.84,2000.0,1500.1,1887.04,46,83382.03,EQNE
2011-02-21,1800.8,1899.98,1800.8,1888.88,3,5589.66,EQNE
2011-02-25,1750.2,1750.21,1750.2,1750.21,7,12251.41,EQNE
2011-02-28,1700.0,1750.0,1700.0,1750.0,6,10350.0,EQNE
2011-03-01,1898.8,1898.9,1898.8,1898.9,2,3797.7,EQNE
2011-03-02,1899.0,1899.0,1810.3,1810.3,2,3709.3,EQNE
2011-03-03,1800.2,1900.0,1800.0,1899.9,9,16500.4,EQNE
2011-03-04,1900.0,1999.8,1700.7,1999.8,11,20412.9,EQNE
2011-03-09,1723.6,1723.6,1723.6,1723.6,1,1723.6,EQNE
2011-03-11,1994.3,1994.3,1994.3,1994.3,1,1994.3,EQNE
2011-03-18,1888.7,1888.7,1560.0,1560.0,5,8648.7,EQNE
2011-03-21,1888.7,2184.0,1625.0,2184.0,66,132012.4,EQNE
2011-03-22,1725.0,2468.0,1725.0,2000.1,75,151665.9,EQNE
2011-03-23,2468.5,2468.5,2299.9,2340.0,20,46677.7,EQNE
2011-03-24,2390.0,2400.0,2006.0,2006.0,49,110263.7,EQNE
2011-03-25,2299.7,2299.7,1710.0,1814.0,43,84901.4,EQNE
2011-03-28,1800.3,1850.0,1800.3,1801.0,38,68773.6,EQNE
2011-03-29,1801.0,2000.0,1801.0,1995.0,131,256075.2,EQNE
2011-03-30,2449.0,2449.0,1990.0,2002.7,31,63481.5,EQNE
2011-03-31,2050.0,2099.0,1420.0,1858.0,88,164658.9,EQNE
2011-04-01,1900.0,1991.0,1900.0,1991.0,6,11583.0,EQNE
2011-04-04,1800.0,1994.2,1800.0,1817.0,57,104174.8,EQNE
