date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQBR
2003-02-04,0,0,0,0.0,0,0,EQBR
2003-02-05,0,0,0,0.0,0,0,EQBR
2003-02-06,0,0,0,0.0,0,0,EQBR
2003-02-07,0,0,0,0.0,0,0,EQBR
2003-02-10,3.75,3.75,3.75,3.75,1000,3750,EQBR
2003-02-11,3.75,3.75,3.75,3.75,1000,3750,EQBR
2003-02-12,0,0,0,0.0,0,0,EQBR
2003-02-13,0,0,0,0.0,0,0,EQBR
2003-02-14,4.079,4.11,4,4.11,3000,12189,EQBR
2003-02-17,0,0,0,0.0,0,0,EQBR
2003-02-18,0,0,0,0.0,0,0,EQBR
2003-02-19,0,0,0,0.0,0,0,EQBR
2003-02-20,0,0,0,0.0,0,0,EQBR
2003-02-21,0,0,0,0.0,0,0,EQBR
2003-02-25,0,0,0,0.0,0,0,EQBR
2003-02-26,4.08,4.08,4.08,4.08,1000,4080,EQBR
2003-02-27,4,4,4,4.0,4100,16400,EQBR
2003-02-28,0,0,0,0.0,0,0,EQBR
2003-03-03,0,0,0,0.0,0,0,EQBR
2003-03-04,0,0,0,0.0,0,0,EQBR
2003-03-05,0,0,0,0.0,0,0,EQBR
2003-03-06,4.5,4.5,4.5,4.5,100,450,EQBR
2003-03-07,0,0,0,0.0,0,0,EQBR
2003-03-11,0,0,0,0.0,0,0,EQBR
2003-03-14,4.7,4.7,4.7,4.7,100,470,EQBR
2003-03-17,0,0,0,0.0,0,0,EQBR
2003-03-18,4.285,4.29,4.2,4.2,8000,33993.5,EQBR
2003-03-20,4.15,4.3,4.15,4.15,14000,59420,EQBR
2003-04-02,4.07,4.07,4.07,4.07,2200,8954,EQBR
2003-04-04,4.13,4.27,4.13,4.245,15400,65026,EQBR
2003-04-07,4.3,4.368,4.3,4.368,10600,46015.2,EQBR
2003-04-09,4,4.35,4,4.35,4400,18685,EQBR
2003-04-11,4.3,4.3,4.3,4.3,4600,19780,EQBR
2003-04-14,4.3,4.3,4.25,4.25,8400,36010,EQBR
2003-04-16,4.3,4.3,4.3,4.3,1500,6450,EQBR
