date,open,high,low,close,volume,value,board
2020-02-20,755.1,1000.0,755.1,814.0,5552,4738171.3,TQBR
2020-02-21,849.9,873.8,799.0,800.0,5769,4739039.3,TQBR
2020-02-25,799.9,799.9,760.0,763.2,2812,2190671.9,TQBR
2020-02-26,765.1,765.1,731.3,755.0,5149,3845026.5,TQBR
2020-02-27,740.5,758.9,736.3,736.3,1967,1472132.1,TQBR
2020-02-28,725.0,743.9,693.1,721.0,4766,3448134.4,TQBR
2020-03-02,739.6,739.7,716.2,731.0,4377,3181306.3,TQBR
2020-03-03,779.0,779.0,722.3,739.7,2004,1494711.3,TQBR
2020-03-04,740.0,745.0,723.7,736.0,799,586116.7,TQBR
2020-03-05,731.2,747.9,719.0,720.3,1597,1154658.9,TQBR
2020-03-06,724.0,724.0,655.8,679.9,5244,3565450.7,TQBR
2020-03-10,607.6,668.0,590.5,636.0,6515,4067032.8,TQBR
2020-03-11,640.0,669.0,620.0,641.4,1074,685704.8,TQBR
2020-03-12,610.1,640.0,525.0,582.0,9107,5225867.0,TQBR
2020-03-13,570.0,629.0,518.3,589.9,4936,2842659.8,TQBR
2020-03-16,580.0,589.9,531.4,566.6,3107,1770462.3,TQBR
2020-03-17,565.0,593.9,541.0,566.3,4909,2723051.4,TQBR
2020-03-18,535.2,584.6,529.9,540.8,7489,4077430.5,TQBR
2020-03-19,549.8,550.0,526.1,542.3,2722,1462894.5,TQBR
2020-03-20,544.9,579.9,544.9,564.6,18319,10320499.8,TQBR
2020-03-23,590.0,590.0,527.1,560.2,10228,5707197.8,TQBR
2020-03-24,578.9,582.0,557.6,580.0,14447,8195936.2,TQBR
2020-03-25,589.0,668.9,538.0,590.0,43429,25662992.3,TQBR
2020-03-26,620.0,620.0,560.0,581.7,8881,5192071.0,TQBR
2020-03-27,571.0,577.0,560.0,561.7,14788,8424391.0,TQBR
2020-03-30,564.0,564.0,548.6,553.0,18208,10072630.6,TQBR
2020-03-31,556.0,556.0,545.6,552.2,25988,14300681.7,TQBR
2020-04-01,550.0,552.1,548.0,551.9,33513,18449894.8,TQBR
2020-04-02,557.0,557.0,530.0,550.5,26439,14524358.7,TQBR
2020-04-03,549.1,551.5,545.9,548.0,62079,34040065.7,TQBR
2020-04-06,548.2,553.1,548.2,550.7,41318,22710633.4,TQBR
2020-04-07,551.9,558.9,551.0,555.7,55287,30699752.3,TQBR
2020-04-08,559.9,569.9,553.5,568.8,39116,21752419.6,TQBR
2020-04-09,569.8,569.8,554.5,559.7,43993,24517938.0,TQBR
2020-04-10,564.8,565.0,551.0,553.8,17097,9556153.8,TQBR
2020-04-13,554.0,554.0,549.0,549.5,46972,25859469.6,TQBR
2020-04-14,552.8,562.7,549.0,557.0,24969,13815492.9,TQBR
2020-04-15,557.0,561.9,545.0,561.0,80063,44200852.9,TQBR
2020-04-16,558.6,572.6,556.3,572.1,36359,20504124.0,TQBR
2020-04-17,573.0,573.0,559.4,572.0,33685,19031476.0,TQBR
2020-04-20,569.8,571.2,565.1,568.9,6109,3470542.0,TQBR
2020-04-21,565.2,565.3,552.0,553.9,14806,8240945.4,TQBR
2020-04-22,556.0,579.2,554.1,577.0,21777,12354354.9,TQBR
2020-04-23,578.0,599.0,576.8,597.4,39003,22964446.6,TQBR
2020-04-24,596.7,629.7,596.7,618.8,46545,28523031.2,TQBR
2020-04-27,624.9,679.0,615.9,660.0,49044,31736144.2,TQBR
2020-04-28,664.9,670.2,635.2,636.0,11460,7423612.4,TQBR
2020-04-29,635.1,645.0,621.2,628.5,11366,7196594.5,TQBR
2020-04-30,626.6,638.0,620.0,620.0,18188,11386152.8,TQBR
2020-05-04,644.5,669.5,625.0,655.0,48823,31520230.5,TQBR
2020-05-05,664.5,664.5,648.0,648.0,6689,4349782.5,TQBR
2020-05-06,650.5,650.5,643.5,644.0,2150,1389220.0,TQBR
