date,open,high,low,close,volume,value,board
2005-09-14,10.0,150.0,8.0,8.44,559500,7450931.0,EQNE
2005-09-15,11.41,13.4,3.34,3.34,2063700,10598766.0,EQNE
2005-09-16,3.49,3.49,1.69,1.7,8096100,15212512.0,EQNE
2005-09-19,1.76,1.8,1.5,1.51,8828300,14007523.0,EQNE
2005-09-20,1.57,1.58,1.49,1.53,9242600,14166129.0,EQNE
2005-09-21,1.58,1.84,1.54,1.83,10639100,17745980.0,EQNE
2005-09-22,1.88,2.2,1.74,1.77,13503800,24368333.0,EQNE
2005-09-23,1.78,1.91,1.76,1.87,5772700,10553900.0,EQNE
2005-09-26,1.87,1.89,1.71,1.77,10511000,18871465.0,EQNE
2005-09-27,1.79,1.89,1.78,1.88,9113500,16891388.0,EQNE
2005-09-28,1.89,1.96,1.85,1.87,9998700,18917590.0,EQNE
2005-09-29,1.88,1.92,1.81,1.86,5393000,10097871.0,EQNE
2005-09-30,1.85,1.88,1.83,1.84,3514900,6481945.0,EQNE
2005-10-03,1.84,1.87,1.8,1.86,8676700,15968355.0,EQNE
2005-10-04,1.86,1.89,1.84,1.87,5779100,10777845.0,EQNE
2005-10-05,1.86,1.87,1.75,1.79,3861000,7009156.0,EQNE
2005-10-06,1.83,1.83,1.65,1.68,3879900,6603516.0,EQNE
2005-10-07,1.68,1.73,1.65,1.69,2122100,3583567.0,EQNE
2005-10-10,1.71,1.74,1.67,1.74,3274000,5617182.0,EQNE
2005-10-11,1.73,1.78,1.71,1.76,2895800,5082524.0,EQNE
2005-10-12,1.77,1.78,1.7,1.7,4361100,7568048.0,EQNE
2005-10-13,1.7,1.7,1.64,1.7,3231300,5355044.0,EQNE
2005-10-14,1.68,1.71,1.65,1.68,2932100,4905414.0,EQNE
2005-10-17,1.7,1.7,1.65,1.69,997900,1668536.0,EQNE
2005-10-18,1.69,1.7,1.66,1.69,1462500,2450846.0,EQNE
2005-10-19,1.67,1.68,1.63,1.64,2651600,4364731.0,EQNE
2005-10-20,1.66,1.69,1.63,1.64,1926000,3195642.0,EQNE
2005-10-21,1.64,1.68,1.63,1.67,3871100,6351143.0,EQNE
2005-10-24,1.67,1.72,1.65,1.72,2024100,3432286.0,EQNE
2005-10-25,1.7,1.73,1.69,1.7,1779500,3034954.0,EQNE
2005-10-26,1.7,1.72,1.69,1.72,2309600,3928319.0,EQNE
2005-10-27,1.7,1.7,1.65,1.69,727800,1212674.0,EQNE
2005-10-28,1.69,1.71,1.66,1.69,492900,835145.0,EQNE
2005-10-31,1.7,1.73,1.69,1.7,616700,1058492.0,EQNE
2005-11-01,1.72,1.75,1.7,1.72,1123400,1945678.0,EQNE
2005-11-02,1.72,1.76,1.71,1.73,2443600,4252686.0,EQNE
2005-11-03,1.73,1.74,1.67,1.71,4609300,7827186.0,EQNE
2005-11-07,1.7,1.71,1.68,1.71,557800,945300.0,EQNE
2005-11-08,1.69,1.72,1.69,1.71,1497200,2550424.0,EQNE
2005-11-09,1.71,1.73,1.7,1.72,2830800,4844029.0,EQNE
2005-11-10,1.72,1.72,1.67,1.67,2615100,4436226.0,EQNE
2005-11-11,1.68,1.7,1.65,1.69,19442300,32525386.0,EQNE
2005-11-14,1.69,1.71,1.69,1.71,774000,1315524.0,EQNE
2005-11-15,1.71,1.71,1.68,1.69,1240500,2097061.0,EQNE
2005-11-16,1.69,1.7,1.64,1.66,7171800,11989444.0,EQNE
2005-11-17,1.66,1.72,1.64,1.65,16813700,28029778.0,EQNE
2005-11-18,1.65,1.68,1.64,1.65,7072900,11675059.0,EQNE
2005-11-21,1.65,1.66,1.64,1.65,2705300,4460801.0,EQNE
2005-11-22,1.64,1.65,1.61,1.62,3305100,5384652.0,EQNE
2005-11-23,1.62,1.64,1.59,1.61,2348800,3782570.0,EQNE
