date,open,high,low,close,volume,value,board
2007-05-24,3.1,3.1,2.6,2.82,1656400,4701313.9,EQNL
2007-05-25,2.79,2.79,2.501,2.65,1157100,3003660.6,EQNL
2007-05-28,2.723,2.723,2.515,2.542,382100,997822.7,EQNL
2007-05-29,2.5,2.559,2.251,2.35,542600,1335437.8,EQNL
2007-05-30,2.251,2.679,2.137,2.679,1332800,3131157.4,EQNL
2007-05-31,2.679,2.7,2.401,2.401,2465700,6193777.5,EQNL
2007-06-01,2.493,2.525,2.41,2.498,8013800,19890048.8,EQNL
2007-06-04,2.431,2.474,2.39,2.43,16890200,40696191.5,EQNL
2007-06-05,2.4,2.443,2.4,2.43,37457100,90280040.2,EQNL
2007-06-06,2.431,2.675,2.41,2.62,119710700,296214821.3,EQNL
2007-06-07,2.56,2.69,2.56,2.604,3188000,8394364.8,EQNL
2007-06-08,2.6,2.685,2.424,2.68,11572800,30710803.7,EQNL
2007-06-09,2.699,2.88,2.657,2.82,13667200,38411096.9,EQNL
2007-06-13,2.975,3.091,2.8,3.06,40278700,119442953.6,EQNL
2007-06-14,3.139,3.195,3,3.034,18626500,57561990.6,EQNL
2007-06-15,2.886,3.04,2.886,3.023,10273600,31023732.8,EQNL
2007-06-18,3.045,3.08,3.003,3.016,2558300,7712762.7,EQNL
2007-06-19,3.05,3.05,3.001,3.042,24671000,75023321,EQNL
2007-06-20,3.05,3.09,3.023,3.081,5242800,15977400.5,EQNL
2007-06-21,3.099,3.1,3.015,3.079,3802400,11642623.1,EQNL
2007-06-22,3.08,3.08,3.023,3.049,2035000,6182647.7,EQNL
2007-06-25,3.025,3.058,3.017,3.051,8340700,25425760.4,EQNL
2007-06-26,3.07,3.07,3.01,3.03,2954700,8947353.7,EQNL
2007-06-27,3.021,3.045,3.021,3.045,1403600,4243380.3,EQNL
2007-06-28,3.03,3.05,3.01,3.029,1620900,4896340.9,EQNL
2007-06-29,3.006,3.03,2.95,3.023,1841700,5528449,EQNL
2007-07-02,3.034,3.1,2.985,3.024,4559300,13893814.9,EQNL
2007-07-03,2.956,3.024,2.956,3.012,7382200,22219829.3,EQNL
2007-07-04,3.02,3.038,2.93,3.013,76378100,224326889.6,EQNL
2007-07-05,3.019,3.15,2.94,3.068,21074200,64320341,EQNL
2007-07-06,3.08,3.15,3.017,3.11,9756200,30310900.4,EQNL
2007-07-09,3.146,3.23,3.11,3.21,15543200,49142739.6,EQNL
2007-07-10,3.2,3.25,3.14,3.188,12643100,40513989.8,EQNL
2007-07-11,3.12,3.24,3.12,3.228,2370700,7594675.1,EQNL
2007-07-12,3.235,3.254,3.18,3.204,3612800,11593751.7,EQNL
2007-07-13,3.204,3.23,3.161,3.23,2383600,7601596.4,EQNL
2007-07-16,3.2,3.248,3.2,3.245,2542800,8216188.4,EQNL
2007-07-17,3.241,3.241,3.17,3.216,4003000,12826894.1,EQNL
2007-07-18,3.22,3.22,3.161,3.185,693100,2204763.6,EQNL
2007-07-19,3.186,3.21,3.173,3.209,1527000,4872125.3,EQNL
2007-07-20,3.2,3.2,3.109,3.157,1281700,4059439.9,EQNL
2007-07-23,3.16,3.179,3.15,3.179,1120000,3537040.7,EQNL
2007-07-24,3.17,3.179,3.14,3.16,1041900,3297549.1,EQNL
2007-07-25,3.115,3.15,3.074,3.126,3506700,10873071.2,EQNL
2007-07-26,3.15,3.15,3.015,3.045,1408800,4302976.4,EQNL
2007-07-27,3.01,3.079,2.981,3.04,1263600,3807956,EQNL
2007-07-30,3.059,3.06,2.97,3.0,758200,2277301.8,EQNL
2007-07-31,3,3.09,2.971,3.09,3105300,9365756.1,EQNL
2007-08-01,3,3.08,3,3.066,1885000,5744881.7,EQNL
2007-08-02,3.031,3.07,3.013,3.07,367500,1121539.7,EQNL
2007-08-03,3.07,3.099,3.023,3.097,881100,2707481.2,EQNL
2007-08-06,3.07,3.089,3,3.017,5160900,15583681.9,EQNL
2007-08-07,3.001,3.04,3,3.032,1998200,6040303.5,EQNL
2007-08-08,3.05,3.05,3.002,3.03,484600,1459461.5,EQNL
2007-08-09,3.005,3.048,2.97,3.015,744200,2237665,EQNL
2007-08-10,2.97,3.049,2.922,2.946,4088400,12021688.4,EQNL
2007-08-13,2.97,2.997,2.93,2.957,774600,2292597,EQNL
2007-08-14,2.95,2.95,2.914,2.947,288400,844262.6,EQNL
2007-08-15,2.902,2.93,2.829,2.929,8975600,25754129.8,EQNL
2007-08-16,2.821,2.897,2.7,2.897,7953500,22221240.1,EQNL
2007-08-17,2.851,2.894,2.726,2.83,5381700,15144296.1,EQNL
2007-08-20,2.8,2.844,2.72,2.844,3184100,8853319.3,EQNL
2007-08-21,2.8,2.8,2.741,2.799,1705400,4768070.4,EQNL
2007-08-22,2.912,2.912,2.77,2.81,185300,519422.3,EQNL
2007-08-23,2.84,2.9,2.763,2.867,8113500,22783961.7,EQNL
2007-08-24,2.782,2.966,2.781,2.93,1686600,4843619,EQNL
2007-08-27,2.951,3.14,2.895,3.14,4823500,14673917.4,EQNL
2007-08-28,3.12,3.145,3.018,3.14,1743300,5384579.5,EQNL
2007-08-29,3.015,3.126,3,3.125,1679000,5106683.1,EQNL
2007-08-30,3.101,3.125,3,3.099,2715700,8277881.7,EQNL
2007-08-31,3.1,3.119,3.043,3.119,925200,2863788.5,EQNL
2007-09-03,3.1,3.147,3.08,3.139,1726700,5388048.2,EQNL
2007-09-04,3.082,3.124,3.071,3.123,5203700,16192547.4,EQNL
2007-09-05,3.1,3.115,3.07,3.1,898400,2779637.8,EQNL
2007-09-06,3.1,3.124,3.08,3.083,1259100,3881775.7,EQNL
2007-09-07,3.055,3.089,3.005,3.089,727600,2230273.5,EQNL
2007-09-10,3.07,3.094,3.018,3.092,1912000,5832603.4,EQNL
2007-09-11,3.032,3.087,3.029,3.087,645500,1972219.4,EQNL
2007-09-12,3.081,3.096,3.069,3.096,10869300,33494184,EQNL
2007-09-13,3.08,3.1,3.047,3.095,2234000,6902521.2,EQNL
2007-09-14,3.1,3.195,3.09,3.17,13623800,42865154.2,EQNL
2007-09-17,3.165,3.17,3.11,3.154,12461800,39102860,EQNL
2007-09-18,3.167,3.167,3.126,3.135,5884600,18555234.3,EQNL
2007-09-19,3.135,3.169,3.101,3.128,7932800,24828828.8,EQNL
2007-09-20,3.121,3.22,3.12,3.174,15448800,48897444,EQNL
2007-09-21,3.175,3.175,3.12,3.15,5753500,18086619.6,EQNL
2007-09-24,3.155,3.174,3.132,3.142,9301200,29351117.1,EQNL
2007-09-25,3.157,3.199,3.11,3.143,7882400,24797595.9,EQNL
2007-09-26,3.147,3.17,3.139,3.16,3808800,11993091.9,EQNL
2007-09-27,3.179,3.18,3.13,3.151,1570300,4950794.5,EQNL
2007-09-28,3.139,3.159,3.112,3.151,4411400,13891300,EQNL
2007-10-01,3.179,3.179,3.133,3.136,3018200,9501445.5,EQNL
2007-10-02,3.112,3.163,3.111,3.15,3370000,10618704.6,EQNL
2007-10-03,3.155,3.17,3.13,3.159,4106800,12980772.5,EQNL
2007-10-04,3.159,3.17,3.14,3.161,4347300,13733530.7,EQNL
2007-10-05,3.169,3.171,3.15,3.166,2652900,8409069.5,EQNL
2007-10-08,3.17,3.172,3.17,3.171,1398600,4433602.6,EQNL
2007-10-09,3.175,3.195,3.15,3.19,1293900,4109471.8,EQNL
2007-10-10,3.164,3.179,3.149,3.175,2091600,6620437.5,EQNL
2007-10-11,3.161,3.17,3.16,3.16,1384900,4380845.4,EQNL
2007-10-12,3.15,3.18,3.149,3.161,1939400,6126955.6,EQNL
2007-10-15,3.198,3.198,3.156,3.188,2558300,8134801,EQNL
2007-10-16,3.161,3.197,3.161,3.196,2172800,6936255.3,EQNL
2007-10-17,3.186,3.23,3.186,3.211,1856900,5958918.9,EQNL
2007-10-18,3.22,3.22,3.145,3.18,3166500,10098949.5,EQNL
2007-10-19,3.184,3.188,3.15,3.185,1699200,5409280.7,EQNL
2007-10-22,3.142,3.165,3.126,3.155,1790200,5641704.7,EQNL
2007-10-23,3.122,3.189,3.12,3.176,5003200,15855031.3,EQNL
2007-10-24,3.15,3.184,3.148,3.181,2166500,6889393.4,EQNL
2007-10-25,3.17,3.193,3.17,3.185,1579700,5024969.1,EQNL
2007-10-26,3.179,3.24,3.179,3.24,14752200,47312309.6,EQNL
2007-10-29,3.191,3.21,3.186,3.19,2031800,6487194.1,EQNL
2007-10-30,3.198,3.198,3.15,3.185,2756800,8748445.4,EQNL
2007-10-31,3.176,3.2,3.175,3.191,1881200,6008486.7,EQNL
2007-11-01,3.181,3.199,3.15,3.199,964200,3065455,EQNL
2007-11-02,3.166,3.195,3.153,3.195,658000,2095912.3,EQNL
2007-11-06,3.195,3.195,3.18,3.189,234300,745633.3,EQNL
