date,open,high,low,close,volume,value,board
2009-08-10,5,5,5,5.0,100,500,EQNE
2009-08-11,7,7,6,6.0,200,1300,EQNE
2009-08-12,7.5,7.5,7.5,7.5,100,750,EQNE
2009-08-13,9,10.5,9,10.5,200,1950,EQNE
2009-08-14,11,11,11,11.0,100,1100,EQNE
2009-08-17,14,14,14,14.0,100,1400,EQNE
2009-08-18,15,19.6,15,19.6,200,3460,EQNE
2009-08-19,27.44,27.44,19,19.0,7800,149888,EQNE
2009-08-24,25,25,25,25.0,100,2500,EQNE
2009-09-25,15,15.001,15,15.0,10700,160500.2,EQNE
2009-09-28,12,12,10.5,10.5,2800,30599.9,EQNE
2009-09-30,13,14.7,13,14.6,24500,359728.9,EQNE
2009-10-01,19,19,18,18.0,200,3700,EQNE
2009-10-02,15.001,15.001,15,15.0,400,6000.1,EQNE
2009-10-05,13.011,16.999,13.011,16.999,200,3001,EQNE
2009-10-07,12,12,10.7,12.0,800,9470,EQNE
2009-10-14,16,16,16,16.0,100,1600,EQNE
2009-10-16,17.999,17.999,16.5,16.5,2400,41248.9,EQNE
2009-10-23,12,14,11,11.06,2100,25506,EQNE
2009-10-27,9.101,9.101,9.101,9.101,200,1820.2,EQNE
2009-10-28,9,9,9,9.0,100,900,EQNE
2009-11-02,9,9,8,8.0,500,4400,EQNE
2009-11-05,7.501,7.501,7.5,7.5,500,3750.1,EQNE
2009-11-06,8,8.8,8,8.8,3100,24880,EQNE
2009-11-09,12.3,12.3,12.3,12.3,100,1230,EQNE
2009-11-10,9.003,17.198,9,17.198,5300,57903,EQNE
2009-11-11,22.535,22.535,11.306,14.997,2300,32508.7,EQNE
2009-11-12,17.769,17.769,12.025,14.499,3300,48488.6,EQNE
2009-11-13,14.43,18.968,12.301,16.997,3100,43922.6,EQNE
2009-11-16,19.84,19.84,12.508,13.285,7200,96297.1,EQNE
2009-11-17,10.001,14.997,10.001,12.223,1900,26832.7,EQNE
2009-11-18,15.999,15.999,12.301,13.0,1800,22922.9,EQNE
2009-11-19,10.101,10.101,10.101,10.101,100,1010.1,EQNE
2009-11-24,10.3,10.3,10.17,10.17,800,8175,EQNE
2009-11-26,10.2,10.2,10.2,10.2,300,3060,EQNE
2009-11-27,11.999,12.7,10,10.006,3300,35405.5,EQNE
2009-11-30,6.1,10,6.1,8.206,400,3230.9,EQNE
2009-12-01,6.512,8.2,6.512,8.2,900,7211.2,EQNE
2009-12-02,6.211,11.4,6.211,11.4,1500,16251.1,EQNE
2009-12-03,11,11,8.033,8.033,200,1903.3,EQNE
2009-12-07,11.2,11.2,11.2,11.2,100,1120,EQNE
2009-12-08,14.999,15,8.802,10.171,800,10217.1,EQNE
2009-12-14,8.103,11.55,8.103,11.55,200,1965.3,EQNE
2009-12-16,9.8,9.8,9.8,9.8,200,1960,EQNE
2009-12-18,12.24,12.24,12.24,12.24,100,1224,EQNE
2010-01-13,9.5,9.5,9.5,9.5,200,1900,EQNE
2010-01-14,9.002,11.977,9.001,11.974,1200,11991.1,EQNE
2010-01-15,9.209,11.996,9.208,11.996,900,9128.1,EQNE
2010-01-26,7.199,14.5,7.199,9.201,2900,33262.9,EQNE
2010-02-01,9.522,12.805,9.522,12.799,400,4465.1,EQNE
2010-02-03,10.325,14.486,10.325,10.6,700,8140.1,EQNE
2010-02-04,10.617,14.736,10.617,14.736,9200,125030.5,EQNE
2010-02-05,11.012,16,11.012,14.001,500,7101.3,EQNE
2010-02-11,11.903,14.199,11.901,11.901,500,6410.4,EQNE
2010-02-16,10.325,14.999,10.325,12.75,600,7857.5,EQNE
2010-02-17,10.854,14.998,10.854,14.997,400,5170.3,EQNE
2010-02-18,11.905,14.999,11.905,14.997,800,10846.1,EQNE
2010-02-24,13.997,13.997,13.997,13.997,100,1399.7,EQNE
2010-03-05,13.997,13.997,13.997,13.997,100,1399.7,EQNE
2010-03-09,11.898,14.376,10.564,14.376,800,8967,EQNE
2010-03-11,12.221,14.354,11.011,12.2,3300,41629.2,EQNE
2010-03-15,12.999,13.98,12.999,13.798,1700,23440.7,EQNE
2010-03-16,12.6,12.6,12.6,12.6,200,2520,EQNE
2010-03-17,12.6,12.656,12.6,12.655,2000,25297.3,EQNE
2010-03-18,11.9,13.5,11.9,13.5,200,2540,EQNE
2010-03-19,12.551,13.348,12.55,13.348,1100,14363.4,EQNE
2010-03-22,11.706,13.813,11.706,13.813,400,5103.8,EQNE
2010-03-31,12.201,14.197,12.201,14.197,2000,28184.9,EQNE
2010-04-12,12.24,15.497,12.24,12.247,2500,33419.7,EQNE
2010-04-26,14.891,14.891,12.658,12.658,200,2754.9,EQNE
2010-04-29,14.989,14.989,14.989,14.989,200,2997.8,EQNE
2010-04-30,12.741,12.741,12.741,12.741,100,1274.1,EQNE
2010-05-12,8,10.711,8,10.711,600,5071.1,EQNE
2010-05-13,11.975,11.975,11.975,11.975,100,1197.5,EQNE
2010-05-14,14.425,14.425,14.425,14.425,100,1442.5,EQNE
2010-05-17,13.99,13.99,10.501,13.745,2000,24592.3,EQNE
2010-05-18,12,12,11.805,11.805,200,2380.5,EQNE
2010-05-20,12.3,12.438,12.3,12.438,200,2473.8,EQNE
2010-05-21,11.111,14.796,11.111,14.529,800,10653.1,EQNE
2010-05-25,10,11,10,11.0,500,5131.6,EQNE
2010-05-26,10.006,13.498,10.006,13.498,600,7051.2,EQNE
2010-05-27,10.018,14.386,10.018,14.386,200,2440.4,EQNE
2010-05-28,11.008,14.339,11.008,12.012,800,9641.9,EQNE
2010-06-01,10.042,13.406,10.042,13.406,1100,12728.2,EQNE
2010-06-02,10.31,10.31,10.31,10.31,100,1031,EQNE
2010-06-03,13.023,13.023,13.023,13.023,700,9116.1,EQNE
2010-06-09,10.117,12.888,10.117,12.888,1100,13897.9,EQNE
2010-06-17,10.53,10.53,10.528,10.528,1000,10529,EQNE
2010-06-23,8.951,11.499,8.951,11.499,700,7030.1,EQNE
2010-07-15,9.502,12.973,9.502,12.973,800,8990,EQNE
2010-07-16,8.202,12.491,8.202,12.49,800,8705.8,EQNE
2010-07-19,8.8,11.148,8.8,11.0,1600,15938.4,EQNE
2010-07-21,8.763,8.763,8.763,8.763,300,2628.9,EQNE
2010-07-26,8.888,8.888,6.899,8.0,1700,13358.9,EQNE
2010-07-27,9.6,9.6,9.6,9.6,100,960,EQNE
2010-07-29,8.288,9.001,8,9.001,2100,17857.6,EQNE
2010-08-02,8.556,8.916,7.026,8.887,1600,13084,EQNE
2010-08-03,8.001,8.001,8,8.0,1000,8000.1,EQNE
2010-08-05,8.1,8.1,8.1,8.1,1000,8100,EQNE
2010-08-13,7.277,8,7.277,8.0,400,3122.7,EQNE
2010-08-20,8.002,8.002,8.002,8.002,300,2400.6,EQNE
2010-08-23,8.444,9.55,8.444,9.55,900,8449.4,EQNE
2010-08-31,9.56,9.56,9.56,9.56,500,4780,EQNE
2010-09-01,8.228,8.228,8.228,8.228,100,822.8,EQNE
2010-09-02,9.321,9.321,8.259,8.259,200,1758,EQNE
2010-09-08,8.114,8.115,8.114,8.115,300,2434.4,EQNE
2010-09-09,8.116,9.496,8.116,9.496,200,1761.2,EQNE
2010-09-10,8.119,9.798,8.119,9.798,200,1791.7,EQNE
2010-09-13,8.001,11.999,8.001,11.999,200,2000,EQNE
2010-09-14,12,12,12,12.0,300,3600,EQNE
2010-09-15,8.289,13.698,8.289,11.5,6600,75911.6,EQNE
2010-09-20,8.56,8.56,8.5,8.5,1300,11111.5,EQNE
2010-09-23,11.7,11.7,8.73,10.0,700,7426.7,EQNE
2010-09-24,9.001,11.687,9.001,11.687,400,4137.6,EQNE
2010-10-06,10,10.77,10,10.77,1200,12077,EQNE
2010-10-07,11,11,11,11.0,400,4400,EQNE
2010-10-12,11.497,11.497,11.497,11.497,300,3449.1,EQNE
2010-10-22,11,11,11,11.0,100,1100,EQNE
2010-11-10,11.5,11.5,11.5,11.5,500,5750,EQNE
2010-11-12,9.34,10,9.339,10.0,6900,66386.1,EQNE
2010-11-15,11.487,13.93,11.487,13.93,6900,89829.7,EQNE
2010-11-17,10.363,15.4,9.1,14.0,10300,111324.6,EQNE
2010-11-18,14.7,14.7,11.3,13.9,1300,15299.6,EQNE
2010-11-19,10.589,11,10.011,11.0,900,9674.7,EQNE
2010-11-22,12.111,15.4,11.1,12.599,18100,258648.7,EQNE
2010-11-23,11.058,14.88,11.013,11.562,3600,45984.2,EQNE
2010-11-24,12.119,12.119,12.119,12.119,200,2423.8,EQNE
2010-11-25,12.13,12.131,12.13,12.131,500,6065.1,EQNE
2010-11-26,13.022,13.022,12.857,12.857,500,6470.7,EQNE
2010-11-29,13.988,13.989,12.583,12.583,400,5314.3,EQNE
2010-12-01,11.564,12.028,11.158,12.028,5400,61712,EQNE
2010-12-03,11.549,11.59,11.549,11.551,1100,12736.2,EQNE
2010-12-06,11.203,11.203,11.203,11.203,300,3360.9,EQNE
2010-12-07,11.201,11.228,11.201,11.228,300,3363,EQNE
2010-12-08,11.1,11.1,11.1,11.1,100,1110,EQNE
2010-12-09,11,11.593,11,11.593,400,4577.9,EQNE
2010-12-16,11.001,11.001,11.001,11.001,100,1100.1,EQNE
2011-01-14,11.549,15.401,11.549,13.888,18300,265390.2,EQNE
2011-01-17,13.366,14.665,13.366,14.665,2300,32364.2,EQNE
2011-01-18,14.587,14.587,13.16,13.5,1600,21722.3,EQNE
2011-01-19,13.495,13.501,13.495,13.501,1700,22949.6,EQNE
2011-01-20,12.813,13.012,12.813,13.012,400,5165,EQNE
2011-01-21,13.016,13.024,13.016,13.02,700,9114.1,EQNE
2011-01-24,13.434,13.667,13.434,13.667,1200,16147.6,EQNE
2011-01-25,12.515,12.515,12.515,12.515,100,1251.5,EQNE
