date,open,high,low,close,volume,value,board
2020-02-03,149.2,150,145.88,146.0,118040,17501625.2,TQBR
2020-02-04,150,150,145.3,145.46,157920,23063643,TQBR
2020-02-05,145.86,145.86,142.1,143.0,86060,12361716,TQBR
2020-02-06,143.6,143.6,95,143.0,45920,6521035.2,TQBR
2020-02-07,143,143,140.26,142.92,66210,9358514.8,TQBR
2020-02-10,145,145,140.38,141.38,22270,3160338.4,TQBR
2020-02-11,141.9,142.42,139.26,139.26,40150,5652160.4,TQBR
2020-02-12,140.38,142.02,139.9,142.0,110420,15594817.8,TQBR
2020-02-13,141.22,143.32,140.92,142.7,22390,3185240.4,TQBR
2020-02-14,143.72,143.72,140.98,143.0,101860,14437118.2,TQBR
2020-02-17,143,143.5,139.02,139.96,259270,36519370.2,TQBR
2020-02-18,139.88,140.2,139.48,139.48,126720,17728612.6,TQBR
2020-02-19,139.38,140.8,139,140.16,136050,19071708.4,TQBR
2020-02-20,140.5,140.82,139.52,140.02,164040,23036164.6,TQBR
2020-02-21,140.5,140.8,139.52,139.8,139000,19470813.8,TQBR
2020-02-25,139,140,138,138.1,152140,21144259.2,TQBR
2020-02-26,140.42,140.42,134.4,134.58,187990,25435746.8,TQBR
2020-02-27,135.74,135.74,131.08,131.22,166950,22280279,TQBR
2020-02-28,131.02,131.22,124.04,125.0,144010,18242594.8,TQBR
2020-03-02,125.46,131,122.9,123.48,263230,32923791.6,TQBR
2020-03-03,125,130.5,121.7,124.0,224160,27504123.6,TQBR
2020-03-04,123.02,123.7,120.3,121.48,211130,25657341.8,TQBR
2020-03-05,122,123.8,120.04,121.9,218420,26443048.6,TQBR
2020-03-06,120.86,121.5,117.4,118.36,195420,23179894.8,TQBR
2020-03-10,110,118,106.6,117.5,176490,20188940.6,TQBR
2020-03-11,118.34,118.34,114,116.0,183480,21075005.2,TQBR
2020-03-12,113.6,113.6,102.62,103.12,301050,32540703.6,TQBR
2020-03-13,101.54,106.72,99.54,100.48,254225,26692859.4,TQBR
2020-03-16,100.6,100.76,96,96.96,115578,11410746.42,TQBR
2020-03-17,97.52,97.52,87.5,89.3,292774,26873195.84,TQBR
2020-03-18,85.7,87.98,73.84,77.8,1021063,81296040.56,TQBR
2020-03-19,81.62,85.28,76.02,85.28,1757078,141711907.02,TQBR
2020-03-20,87,95.92,76.8,92.6,681802,62178035.98,TQBR
2020-03-23,92.6,103.14,90,102.32,262622,25827971.98,TQBR
2020-03-24,104.58,110.66,100,106.86,671360,71714998.36,TQBR
2020-03-25,106.88,111.7,106.68,106.68,395200,42944364.38,TQBR
2020-03-26,107,108.82,104.08,106.26,105454,11144818.9,TQBR
2020-03-27,105,106.82,103.78,104.04,73971,7749200.24,TQBR
2020-03-30,103.26,104,100.4,101.1,72364,7413839.4,TQBR
2020-03-31,100.04,102.02,99.02,101.58,68072,6851935.36,TQBR
2020-04-01,99.44,100.98,98.18,98.18,87061,8646884.88,TQBR
2020-04-02,100,102.8,96.08,99.2,199849,19795435.08,TQBR
