date,open,high,low,close,volume,value,board
2026-05-19,60,87.89,54,55.9,4253290,265391095.9,TQBR
2026-05-20,54.4,55.78,50,54.49,9406770,495404930.8,TQBR
2026-05-21,55.7,55.7,48.1,51.5,8509920,434375715.7,TQBR
2026-05-22,53.5,56.22,51.38,54.75,8010720,437875047.6,TQBR
2026-05-25,54.75,56.15,49.34,50.5,4630810,241698834.5,TQBR
2026-05-26,50,51.05,47.55,50.98,4569490,229976574.9,TQBR
2026-05-27,50.98,51.8,48.5,49.5,1032850,51724687.4,TQBR
2026-05-28,49.5,52,48.32,48.97,670020,33204244,TQBR
2026-05-29,48.41,48.69,46,46.74,2818800,131781967.9,TQBR
2026-06-01,48,51.1,47.3,49.4,2076350,101899945.8,TQBR
