date,open,high,low,close,volume,value,board
2008-07-16,0.43,0.43,0.347,0.354,290586300,105384853.2,EQLV
2008-07-17,0.36,0.375,0.352,0.369,290995400,106581782.5,EQLV
2008-07-18,0.381,0.381,0.353,0.355,90937700,32929035.7,EQLV
2008-07-21,0.356,0.363,0.345,0.348,74726200,26121313.2,EQLV
2008-07-22,0.349,0.349,0.328,0.331,86837500,29125072.8,EQLV
2008-07-23,0.338,0.338,0.31,0.312,93586600,30205665.6,EQLV
2008-07-24,0.31,0.31,0.297,0.3,96373900,29136233.5,EQLV
2008-07-25,0.295,0.295,0.264,0.288,142246800,39719070.1,EQLV
2008-07-28,0.288,0.303,0.277,0.281,100047900,29166484.5,EQLV
2008-07-29,0.28,0.294,0.266,0.28,139196700,39174263.9,EQLV
2008-07-30,0.287,0.308,0.281,0.293,325489100,96779467.5,EQLV
2008-07-31,0.304,0.315,0.294,0.305,237038300,72706390.6,EQLV
2008-08-01,0.304,0.335,0.3,0.332,388938700,127049000.5,EQLV
2008-08-04,0.329,0.35,0.311,0.32,273084500,91396655.7,EQLV
2008-08-05,0.32,0.325,0.3,0.305,140700600,43053704.0,EQLV
2008-08-06,0.307,0.318,0.297,0.309,111753900,34466161.7,EQLV
2008-08-07,0.309,0.334,0.309,0.331,274254500,89395769.8,EQLV
2008-08-08,0.331,0.347,0.322,0.323,293520600,97726389.3,EQLV
2008-08-11,0.323,0.326,0.298,0.305,383736500,118319928.5,EQLV
2008-08-12,0.307,0.347,0.304,0.344,408485000,135929282.0,EQLV
2008-08-13,0.345,0.362,0.33,0.348,483549600,168854617.7,EQLV
2008-08-14,0.352,0.373,0.346,0.356,714590600,258177202.7,EQLV
2008-08-15,0.363,0.378,0.357,0.374,716141600,262863682.5,EQLV
2008-08-18,0.375,0.382,0.369,0.374,127378000,47920050.2,EQLV
2008-08-19,0.369,0.37,0.34,0.351,359493300,127407336.0,EQLV
2008-08-20,0.35,0.357,0.343,0.348,124053300,43278907.4,EQLV
2008-08-21,0.35,0.35,0.333,0.344,132519900,45289705.6,EQLV
2008-08-22,0.344,0.344,0.332,0.335,55341300,18622910.7,EQLV
2008-08-25,0.332,0.34,0.3,0.308,113906600,36098971.5,EQLV
2008-08-26,0.3,0.306,0.281,0.296,251311200,74789841.5,EQLV
2008-08-27,0.3,0.309,0.289,0.3,137140700,40916790.5,EQLV
2008-08-28,0.307,0.324,0.298,0.311,289079500,90204862.7,EQLV
2008-08-29,0.312,0.332,0.303,0.33,248594900,80210400.6,EQLV
2008-09-01,0.326,0.334,0.323,0.329,96645400,31819529.2,EQLV
2008-09-02,0.32,0.331,0.316,0.33,69063100,22435482.7,EQLV
2008-09-03,0.33,0.33,0.319,0.326,117387400,37778691.0,EQLV
2008-09-04,0.325,0.336,0.313,0.32,288422500,94998354.7,EQLV
2008-09-05,0.31,0.316,0.274,0.305,352187000,105420197.2,EQLV
2008-09-08,0.31,0.318,0.297,0.301,139672900,42640661.7,EQLV
2008-09-09,0.297,0.298,0.27,0.27,88892800,25287121.4,EQLV
2008-09-10,0.27,0.274,0.233,0.254,355779700,88728857.8,EQLV
2008-09-11,0.26,0.26,0.232,0.235,196915300,48572069.7,EQLV
2008-09-12,0.232,0.25,0.218,0.229,575987500,134143806.3,EQLV
2008-09-15,0.215,0.226,0.196,0.199,223058500,47822277.5,EQLV
2008-09-16,0.194,0.194,0.125,0.141,795772100,123127102.9,EQLV
2008-09-17,0.156,0.16,0.11,0.118,182426600,22987908.3,EQLV
2008-09-19,0.133,0.179,0.133,0.175,499997300,84976665.1,EQLV
2008-09-22,0.187,0.21,0.167,0.187,757091600,133846045.4,EQLV
2008-09-23,0.184,0.19,0.17,0.184,634490400,115004343.8,EQLV
2008-09-24,0.183,0.19,0.176,0.185,277680700,51602131.0,EQLV
2008-09-25,0.183,0.19,0.176,0.185,180624800,33033494.6,EQLV
2008-09-26,0.181,0.185,0.177,0.177,84850800,15211202.2,EQLV
2008-09-29,0.178,0.18,0.162,0.165,174849000,29525386.6,EQLV
2008-09-30,0.152,0.162,0.14,0.156,957063500,142145088.2,EQLV
2008-10-01,0.156,0.169,0.146,0.147,533388100,81942127.4,EQLV
2008-10-02,0.149,0.151,0.131,0.15,451941200,64408173.9,EQLV
2008-10-03,0.142,0.145,0.134,0.144,181611700,25125541.3,EQLV
2008-10-06,0.132,0.137,0.109,0.114,188029700,23542435.4,EQLV
2008-10-07,0.115,0.119,0.1,0.11,269814800,29253250.3,EQLV
2008-10-08,0.102,0.102,0.079,0.09,239058500,20194806.9,EQLV
2008-10-09,0.089,0.105,0.088,0.091,333891400,31644034.1,EQLV
2008-10-13,0.09,0.094,0.075,0.087,218348800,19284212.4,EQLV
2008-10-14,0.091,0.1,0.086,0.089,367783700,33090802.7,EQLV
2008-10-15,0.089,0.089,0.08,0.083,171735300,14283265.3,EQLV
2008-10-16,0.075,0.085,0.073,0.08,193409700,15598265.1,EQLV
2008-10-17,0.084,0.084,0.072,0.077,120327900,9143273.7,EQLV
2008-10-20,0.079,0.084,0.075,0.08,92295400,7339077.5,EQLV
2008-10-21,0.082,0.083,0.076,0.078,181161900,14282476.0,EQLV
2008-10-22,0.076,0.078,0.067,0.07,307375500,22210955.2,EQLV
2008-10-23,0.065,0.073,0.06,0.064,271451300,17857638.4,EQLV
2008-10-24,0.063,0.063,0.05,0.054,132419800,7494936.6,EQLV
2008-10-28,0.055,0.059,0.05,0.055,465609600,25323909.6,EQLV
2008-10-29,0.058,0.059,0.051,0.055,1228330600,67839036.0,EQLV
2008-10-30,0.058,0.065,0.056,0.065,1289000900,78883653.4,EQLV
2008-10-31,0.064,0.087,0.059,0.087,1290890600,94712950.6,EQLV
2008-11-01,0.08,0.104,0.08,0.095,533037400,50304402.3,EQLV
2008-11-05,0.103,0.133,0.1,0.124,1397712900,159515474.9,EQLV
2008-11-06,0.112,0.128,0.108,0.114,1354088500,157498920.7,EQLV
2008-11-07,0.112,0.144,0.108,0.132,1494640000,188205124.8,EQLV
2008-11-10,0.139,0.158,0.128,0.132,941924400,130885452.3,EQLV
2008-11-11,0.131,0.131,0.112,0.114,713824700,84024594.3,EQLV
2008-11-13,0.106,0.129,0.091,0.124,709363000,84086516.2,EQLV
2008-11-14,0.131,0.147,0.12,0.123,580442600,73616145.5,EQLV
2008-11-17,0.12,0.132,0.108,0.113,410303400,47769934.8,EQLV
2008-11-18,0.11,0.111,0.095,0.103,649612900,65751307.8,EQLV
2008-11-19,0.105,0.105,0.091,0.093,395353400,37590474.3,EQLV
2008-11-20,0.086,0.094,0.071,0.092,742433400,66361467.2,EQLV
2008-11-21,0.092,0.101,0.088,0.093,829093300,79199041.1,EQLV
2008-11-24,0.099,0.116,0.095,0.111,1146714100,123729238.0,EQLV
2008-11-25,0.117,0.123,0.106,0.115,1144278600,131227880.8,EQLV
2008-11-26,0.116,0.134,0.113,0.134,866812200,105057481.6,EQLV
2008-11-27,0.133,0.178,0.133,0.168,2972933800,482847338.7,EQLV
2008-11-28,0.173,0.184,0.155,0.162,1171648100,193810966.0,EQLV
2008-12-01,0.166,0.166,0.13,0.133,664753200,95681678.5,EQLV
2008-12-02,0.128,0.142,0.12,0.137,692941700,92835682.1,EQLV
2008-12-03,0.14,0.143,0.13,0.137,323472600,43642807.5,EQLV
2008-12-04,0.14,0.149,0.135,0.135,461926700,64942042.2,EQLV
2008-12-05,0.135,0.138,0.125,0.127,565695100,74378525.1,EQLV
2008-12-08,0.139,0.139,0.13,0.138,657822200,88520077.2,EQLV
2008-12-09,0.136,0.138,0.127,0.13,429667400,55916363.4,EQLV
2008-12-10,0.13,0.132,0.119,0.124,317176000,39254532.0,EQLV
2008-12-11,0.125,0.125,0.118,0.122,274133700,33025309.9,EQLV
2008-12-12,0.117,0.119,0.109,0.114,518330400,58195254.5,EQLV
2008-12-15,0.118,0.119,0.114,0.116,321302800,37105976.5,EQLV
2008-12-16,0.119,0.119,0.112,0.114,190029700,21654633.7,EQLV
2008-12-17,0.119,0.132,0.112,0.128,1533142800,192257942.9,EQLV
2008-12-18,0.135,0.148,0.129,0.135,2897236600,405782202.4,EQLV
2008-12-19,0.14,0.16,0.127,0.159,2514136100,364504896.9,EQNL
2008-12-22,0.165,0.165,0.147,0.149,2106197800,329272276.6,EQNL
2008-12-23,0.145,0.154,0.143,0.148,792038300,117136860.7,EQNL
2008-12-24,0.145,0.151,0.14,0.142,360522500,52301912.5,EQNL
2008-12-25,0.139,0.145,0.132,0.134,335317900,45556110.0,EQNL
2008-12-26,0.136,0.139,0.122,0.124,394675500,51608120.2,EQNL
2008-12-29,0.126,0.13,0.119,0.121,342346500,42488011.8,EQNL
2008-12-30,0.123,0.125,0.117,0.119,304932100,36482164.0,EQNL
2008-12-31,0.12,0.127,0.118,0.124,132761100,16315766.2,EQNL
2009-01-11,0.125,0.134,0.125,0.128,149600200,19033838.6,EQNL
2009-01-12,0.127,0.131,0.125,0.131,380625400,49325692.8,EQNL
2009-01-13,0.13,0.132,0.126,0.13,329548700,42494235.5,EQNL
2009-01-14,0.13,0.133,0.117,0.117,817841400,100778969.5,EQNL
2009-01-15,0.115,0.118,0.112,0.113,564878600,64596410.7,EQNL
2009-01-16,0.111,0.117,0.106,0.109,875106300,96041280.1,EQNL
2009-01-19,0.11,0.112,0.096,0.097,645456400,65612270.9,EQNL
2009-01-20,0.098,0.098,0.083,0.089,1071746600,95652765.5,EQNL
2009-01-21,0.085,0.088,0.079,0.088,940795700,79925776.2,EQNL
2009-01-22,0.09,0.091,0.08,0.081,553183700,46650813.9,EQNL
2009-01-23,0.079,0.085,0.074,0.079,924805200,73370721.9,EQNL
2009-01-26,0.082,0.086,0.079,0.084,1220628400,100493400.7,EQNL
2009-01-27,0.085,0.086,0.079,0.081,894794700,73607644.4,EQNL
2009-01-28,0.082,0.09,0.081,0.085,1723332300,146873081.2,EQNL
2009-01-29,0.086,0.087,0.081,0.082,751707800,62490173.7,EQNL
2009-01-30,0.081,0.087,0.08,0.085,1328037700,111432224.1,EQNL
2009-02-02,0.083,0.084,0.08,0.084,350838600,28740738.0,EQNL
2009-02-03,0.084,0.085,0.082,0.084,288295200,23985757.0,EQNL
2009-02-04,0.084,0.084,0.082,0.084,608792200,50684492.9,EQNL
2009-02-05,0.083,0.084,0.082,0.084,241279400,20041373.5,EQNL
2009-02-06,0.084,0.088,0.082,0.088,673216000,57521195.2,EQNL
2009-02-09,0.088,0.096,0.086,0.095,1813578000,168265183.0,EQNL
2009-02-10,0.095,0.103,0.094,0.098,1757326800,172995814.1,EQNL
2009-02-11,0.095,0.109,0.092,0.108,1934147700,193239893.3,EQNL
2009-02-12,0.109,0.138,0.109,0.121,6373572900,769571146.2,EQNL
2009-02-13,0.127,0.129,0.118,0.122,2132514700,260811888.0,EQNL
2009-02-16,0.12,0.122,0.112,0.115,1552695200,179864063.1,EQNL
2009-02-17,0.113,0.117,0.102,0.103,1424517700,157581529.7,EQNL
2009-02-18,0.103,0.105,0.093,0.102,1663942500,164210856.7,EQNL
2009-02-19,0.101,0.109,0.101,0.105,1514745400,160316598.8,EQNL
2009-02-20,0.103,0.103,0.098,0.1,1057770500,106013790.4,EQNL
2009-02-24,0.098,0.119,0.096,0.116,2438799000,275640813.6,EQNL
2009-02-25,0.12,0.124,0.115,0.116,1443273800,172028775.0,EQNL
2009-02-26,0.118,0.122,0.117,0.121,1066297800,127300704.3,EQNL
2009-02-27,0.121,0.139,0.115,0.134,6033885100,788391434.5,EQNL
2009-03-02,0.13,0.14,0.126,0.131,2239138500,294407679.1,EQNL
2009-03-03,0.129,0.132,0.122,0.126,1548088300,195179366.1,EQNL
2009-03-04,0.127,0.128,0.126,0.128,653110000,82991082.5,EQNL
2009-03-05,0.129,0.129,0.123,0.125,660086100,82711128.6,EQNL
2009-03-06,0.121,0.13,0.121,0.129,1275036000,161305929.6,EQNL
2009-03-10,0.128,0.135,0.128,0.132,2361107800,308972588.5,EQNL
