date,open,high,low,close,volume,value,board
2020-10-07,105,105,91.56,100.5,107924250,10558146435.6,TQBR
2020-10-08,100.5,101,98.3,100.5,11659760,1162828009,TQBR
2020-10-09,100.5,103.29,100.13,103.0,31768490,3250445612.7,TQBR
2020-10-12,103.48,104.5,103.01,103.55,12910790,1338775861.3,TQBR
2020-10-13,103.88,103.92,102.12,103.2,5578480,573989042.5,TQBR
2020-10-14,103.39,103.39,102.5,103.0,1722660,176895682.5,TQBR
2020-10-15,103,103,100.06,100.26,4051740,408986602.5,TQBR
2020-10-16,100.88,101.93,100.06,100.47,1968440,197750764.1,TQBR
2020-10-19,100.65,101.25,100.27,100.4,711900,71596644.5,TQBR
2020-10-20,100.4,100.54,100,100.07,2069910,207298323.9,TQBR
2020-10-21,100.14,100.48,98.4,98.59,2769680,275314340.5,TQBR
2020-10-22,98.5,98.5,95.5,96.5,4005500,386826580.2,TQBR
2020-10-23,96.5,96.71,95.6,96.31,1920230,184301900.5,TQBR
2020-10-26,96.16,99.57,95.51,99.1,2361110,230438177.4,TQBR
2020-10-27,99.1,99.53,97.95,98.6,2017230,198652381.8,TQBR
2020-10-28,96.7,98.59,95.5,97.3,2414320,234371017.8,TQBR
2020-10-29,97.3,98.4,97,97.89,662250,64837948.6,TQBR
2020-10-30,98.1,98.2,97,98.09,434390,42411416.2,TQBR
2020-11-02,98.15,98.35,97,97.96,698010,68055570.3,TQBR
2020-11-03,98.14,98.34,97.25,97.31,724480,70791147.5,TQBR
2020-11-05,97.6,98.43,97.5,97.55,954780,93229654.6,TQBR
2020-11-06,97.8,97.8,96.56,97.03,803300,77915479.6,TQBR
2020-11-09,97.07,97.86,96.65,96.65,1474070,142888203.3,TQBR
2020-11-10,96.97,97,96.5,96.8,1007000,97461284.1,TQBR
2020-11-11,97,97.72,96.56,96.67,847030,82247705.1,TQBR
2020-11-12,97.05,97.48,96.52,96.57,911950,88193658.4,TQBR
2020-11-13,96.52,96.9,96.51,96.59,1004620,97124027.9,TQBR
2020-11-16,96.89,98.47,96.66,97.7,2159810,211116447.7,TQBR
2020-11-17,98.01,100.87,97.7,97.77,7456310,741269221.1,TQBR
2020-11-18,97.77,99.29,95.9,95.98,5666060,549111861.9,TQBR
2020-11-19,96.2,97,96,96.9,1210850,117066413.4,TQBR
2020-11-20,97,99,96.68,97.51,1333230,130433674.1,TQBR
2020-11-23,97.55,98.27,97.3,97.52,662600,64715808.7,TQBR
2020-11-24,97.52,97.89,97.11,97.31,712780,69530434.8,TQBR
2020-11-25,97.3,97.73,97.01,97.45,908280,88428354.3,TQBR
2020-11-26,97.45,97.69,97.01,97.41,826740,80395678.4,TQBR
2020-11-27,97.41,97.71,97.01,97.19,512520,49826024.5,TQBR
2020-11-30,97.47,97.47,96.27,96.29,1170450,113371598.6,TQBR
2020-12-01,96.5,97.17,96.41,96.9,1009380,97779185.4,TQBR
2020-12-02,96.9,97,96.57,96.75,1264290,122382530.2,TQBR
