date,open,high,low,close,volume,value,board
2011-12-21,850.0,850.0,850.0,850.0,20,17000.0,EQNE
2011-12-22,820.0,875.0,760.0,760.0,350,286900.0,EQNE
2011-12-23,880.0,880.0,880.0,880.0,20,17600.0,EQNE
2011-12-26,880.0,880.0,880.0,880.0,1100,968000.0,EQNE
2011-12-27,840.0,840.0,840.0,840.0,10,8400.0,EQNE
2011-12-28,880.0,880.0,880.0,880.0,100,88000.0,EQNE
2011-12-29,880.0,885.0,830.0,830.0,5020,4417150.0,EQNE
2011-12-30,859.0,859.0,859.0,859.0,800,687200.0,EQNE
2012-01-06,800.0,900.0,800.0,900.0,20,17000.0,EQNE
2012-01-10,900.0,900.0,780.0,780.0,110,97800.0,EQNE
2012-01-11,900.0,900.0,900.0,900.0,100,90000.0,EQNE
2012-01-12,900.0,900.0,900.0,900.0,100,90000.0,EQNE
2012-01-13,900.0,900.0,804.0,804.0,180,154320.0,EQNE
2012-01-16,767.0,767.0,710.0,715.0,140,100109.0,EQNE
2012-01-17,782.0,820.2,782.0,820.2,100,79807.0,EQNE
2012-01-18,822.0,898.9,822.0,898.9,20,17209.0,EQNE
2012-01-19,800.0,800.0,800.0,800.0,420,336000.0,EQNE
2012-01-20,889.0,900.0,750.1,800.5,1470,1181332.0,EQNE
2012-01-23,799.9,889.0,799.9,889.0,660,529584.0,EQNE
2012-01-24,850.0,895.0,800.0,840.0,2010,1625300.0,EQNE
2012-01-25,800.1,840.0,787.0,840.0,820,669479.0,EQNE
2012-01-26,810.0,835.0,810.0,835.0,190,154898.0,EQNE
2012-01-27,849.9,849.9,770.0,800.0,21610,17327067.0,EQNE
2012-01-30,809.9,830.0,809.9,810.0,280,227399.0,EQNE
2012-01-31,821.8,821.8,795.0,795.0,60,49040.0,EQNE
2012-02-01,815.0,815.0,815.0,815.0,100,81500.0,EQNE
2012-02-02,785.2,814.7,755.2,800.0,450,357994.0,EQNE
2012-02-03,848.2,848.4,795.0,815.0,560,448285.0,EQNE
2012-02-06,848.8,848.8,848.8,848.8,20,16976.0,EQNE
2012-02-07,820.0,820.0,815.0,815.0,360,293501.0,EQNE
2012-02-08,815.1,815.7,815.1,815.5,40,32620.0,EQNE
2012-02-09,816.0,825.0,816.0,825.0,260,213410.0,EQNE
2012-02-10,885.6,899.0,835.3,835.9,10550,9477431.0,EQNE
2012-02-13,899.9,950.0,860.0,925.0,1370,1245185.0,EQNE
2012-02-14,924.0,990.0,924.0,950.0,19090,17929812.0,EQNE
2012-02-15,994.2,1030.0,960.0,990.0,5450,5253765.0,EQNE
2012-02-16,989.0,990.0,901.5,990.0,570,551334.0,EQNE
2012-02-17,998.9,1030.0,970.5,970.5,12770,12928927.0,EQNE
2012-02-20,967.9,1025.0,967.7,1000.0,2700,2724490.0,EQNE
2012-02-21,989.1,989.1,988.0,988.0,90,88941.0,EQNE
2012-02-22,1014.9,1025.0,980.7,980.7,8460,8630812.0,EQNE
2012-02-24,1004.9,1025.0,1004.9,1025.0,2600,2651236.0,EQNE
2012-02-27,1000.1,1019.9,985.3,999.8,4090,4129047.0,EQNE
2012-02-28,966.1,1015.0,965.0,981.0,11840,11719951.0,EQNE
2012-02-29,980.1,990.0,970.0,975.0,3550,3469050.0,EQNE
2012-03-01,994.6,995.1,980.0,980.0,16830,16728145.0,EQNE
2012-03-02,955.0,980.0,955.0,960.0,330,316764.0,EQNE
2012-03-05,991.9,992.5,991.9,992.5,10020,9942338.0,EQNE
2012-03-06,992.4,995.0,968.5,968.5,17280,17159051.0,EQNE
2012-03-07,980.0,980.0,980.0,980.0,10,9800.0,EQNE
2012-03-11,950.1,989.9,950.1,989.9,40,38881.0,EQNE
2012-03-12,994.0,995.0,964.8,964.8,100,99138.0,EQNE
2012-03-14,993.9,1000.0,990.0,990.0,50,49740.0,EQNE
2012-03-15,972.7,972.7,972.6,972.7,60,58357.0,EQNE
2012-03-16,975.0,985.0,975.0,977.0,300,292802.0,EQNE
2012-03-19,1049.8,1049.8,1049.8,1049.8,10,10498.0,EQNE
2012-03-20,975.1,980.0,975.0,980.0,250,243804.0,EQNE
2012-03-21,998.9,999.1,960.0,960.0,1290,1244758.0,EQNE
2012-03-22,961.0,962.0,960.0,960.0,630,605369.0,EQNE
2012-03-23,994.9,999.9,994.9,999.9,200,199561.0,EQNE
2012-03-26,599.0,599.0,599.0,599.0,2,1198.0,SMAL
2012-03-27,925.1,925.1,925.0,925.0,700,647505.0,EQNE
2012-03-30,989.9,990.0,989.9,990.0,60,59395.0,EQNE
2012-04-02,925.1,925.1,900.0,925.0,390,359254.0,EQNE
2012-04-03,948.7,949.0,920.1,920.1,200,188370.0,EQNE
2012-04-04,938.9,938.9,938.9,938.9,200,187780.0,EQNE
2012-04-06,900.1,919.9,885.0,919.9,70,62750.0,EQNE
2012-04-09,899.9,900.0,899.9,900.0,40,35999.0,EQNE
2012-04-10,910.0,939.0,890.0,900.3,200,180731.0,EQNE
2012-04-11,900.0,900.0,880.0,900.0,130,115400.0,EQNE
2012-04-12,880.0,902.0,840.0,879.8,1160,1018219.0,EQNE
2012-04-13,860.0,870.0,860.0,860.0,860,739826.0,EQNE
2012-04-16,853.0,855.0,850.0,855.0,920,784351.0,EQNE
2012-04-17,855.0,855.0,850.0,850.0,50,42600.0,EQNE
2012-04-18,855.0,859.9,842.0,842.0,180,152019.0,EQNE
2012-04-19,850.0,855.0,850.0,855.0,30,25570.0,EQNE
2012-04-20,855.0,864.7,847.0,854.0,120,102396.0,EQNE
2012-04-23,843.1,855.6,805.0,843.0,6110,4959929.0,EQNE
2012-04-25,848.0,879.9,845.1,865.0,210,180182.0,EQNE
2012-04-26,870.0,870.0,855.5,860.0,210,179920.0,EQNE
2012-04-27,939.5,939.5,831.0,831.0,560,482222.0,EQNE
2012-04-28,848.9,850.0,831.0,831.0,40,33789.0,EQNE
2012-05-03,820.6,820.6,820.5,820.5,100,82052.0,EQNE
2012-05-04,810.0,818.2,765.0,818.2,560,430920.0,EQNE
2012-05-05,769.0,780.0,769.0,780.0,20,15490.0,EQNE
2012-05-07,760.1,760.1,755.0,755.0,50,37844.0,EQNE
2012-05-08,765.0,765.0,760.0,765.0,390,298299.0,EQNE
2012-05-10,770.0,770.0,761.0,770.0,120,91500.0,EQNE
2012-05-11,770.0,770.0,770.0,770.0,10,7700.0,EQNE
2012-05-12,770.0,770.0,770.0,770.0,40,30800.0,EQNE
2012-05-14,770.0,770.0,700.0,700.0,3980,2922369.0,EQNE
2012-05-15,706.5,729.5,650.1,700.0,40,27861.0,EQNE
2012-05-16,700.0,700.0,640.1,690.0,80,54866.0,EQNE
2012-05-17,700.0,735.0,700.0,700.0,280,197470.0,EQNE
2012-05-18,705.1,859.0,700.0,850.0,240,186167.0,EQNE
2012-05-21,845.0,860.0,800.0,835.5,2420,2074191.0,EQNE
2012-05-22,849.9,849.9,800.0,837.0,50,40871.0,EQNE
2012-05-23,800.0,800.0,770.0,770.0,180,139070.0,EQNE
2012-05-24,799.9,799.9,799.9,799.9,10,7999.0,EQNE
2012-05-28,819.9,819.9,711.5,770.0,1960,1404701.0,EQNE
2012-05-29,700.1,783.0,700.1,783.0,30,22331.0,EQNE
2012-05-30,735.0,804.9,735.0,804.9,30,23448.0,EQNE
2012-06-01,820.0,820.0,811.3,811.3,230,188166.0,EQNE
2012-06-04,800.0,887.0,799.6,850.0,14330,12088506.0,EQNE
2012-06-05,850.0,855.0,825.0,850.0,10200,8453003.0,EQNE
2012-06-06,850.0,860.0,850.0,860.0,3030,2595797.0,EQNE
2012-06-07,820.5,860.0,820.0,860.0,1310,1115811.0,EQNE
2012-06-08,825.3,834.9,825.3,834.0,50,41448.0,EQNE
2012-06-09,840.0,860.0,840.0,860.0,40,33801.0,EQNE
2012-06-13,850.0,850.0,850.0,850.0,10,8500.0,EQNE
2012-06-14,850.0,851.0,850.0,851.0,20,17010.0,EQNE
2012-06-15,835.0,849.5,835.0,840.0,30,25245.0,EQNE
2012-06-18,850.1,850.1,844.7,850.0,500,424443.0,EQNE
2012-06-19,850.0,850.0,850.0,850.0,10,8500.0,EQNE
2012-06-20,800.6,979.8,800.0,979.8,10300,8880147.0,EQNE
2012-06-21,870.0,965.0,870.0,965.0,70,61850.0,EQNE
2012-06-22,950.0,950.0,835.1,940.0,50,44702.0,EQNE
2012-06-25,959.6,959.6,959.6,959.6,10,9596.0,EQNE
2012-06-27,850.0,878.0,816.5,878.0,80,67397.0,EQNE
2012-06-28,850.0,868.0,850.0,868.0,270,233776.0,EQNE
2012-06-29,850.0,889.6,835.0,885.0,4060,3586093.0,EQNE
2012-07-02,879.0,879.0,829.8,870.0,70,58988.0,EQNE
2012-07-03,810.5,850.0,810.0,835.0,400,333969.0,EQNE
2012-07-04,870.0,870.0,830.3,853.0,290,244990.0,EQNE
2012-07-05,840.0,860.0,837.2,858.8,5290,4519910.0,EQNE
2012-07-06,869.9,869.9,840.0,840.0,70,59398.0,EQNE
2012-07-10,860.0,860.0,860.0,860.0,60,51600.0,EQNE
2012-07-13,810.0,810.0,810.0,810.0,4,3240.0,SMAL
2012-07-16,817.3,850.0,817.3,850.0,70,57545.0,EQNE
2012-07-18,830.0,830.0,830.0,830.0,10,8300.0,EQNE
2012-07-19,815.3,815.3,815.2,815.2,60,48915.0,EQNE
2012-07-20,819.9,845.0,819.9,845.0,50,41349.0,EQNE
2012-07-23,888.0,898.0,850.0,860.0,200,174770.0,EQNE
