date,open,high,low,close,volume,value,board
2011-12-22,236,236,236,236.0,990,233640,EQNL
2011-12-23,254,254,254,254.0,900,228600,EQNL
2011-12-27,269,269,269,269.0,1890,508410,EQNL
2011-12-28,270.1,275,270.1,275.0,3940,1074239,EQNL
2012-03-02,266,266,266,266.0,1890,502740,EQNL
2012-06-26,265.61,265.61,265.61,265.61,67800,18008358,EQNL
2012-11-13,265.61,265.61,265.61,265.61,67800,18008358,EQNL
2012-12-28,265.6,265.6,265.6,265.6,10,2656,EQNL
2013-04-25,265,265,265,265.0,10,2650,EQNL
2013-06-27,265,265,265,265.0,4530000,1200450000,EQNL
2013-09-30,265,265,265,265.0,10,2650,TQNL
2013-12-30,292.8,292.8,292.8,292.8,61500,18007200,TQNL
2014-12-17,293,293,292,292.0,20,5850,TQBR
2015-02-16,293,293,293,293.0,3940,1154420,TQBR
2018-10-29,296,296,295,295.0,20854240,6153877680,TQBR
2022-11-25,328,328,328,328.0,10,3280,TQBR
2023-11-30,659,659,659,659.0,10,6590,TQBR
