date,open,high,low,close,volume,value,board
2006-01-23,239.5,239.5,218.49,218.89,5120765,1130994540.44,EQNE
2006-01-24,221.0,224.68,219.66,224.0,8983192,1991942490.56,EQNE
2006-01-25,225.5,231.0,225.0,228.38,15480374,3534136643.92,EQNE
2006-01-26,228.2,229.41,223.51,224.47,7588759,1721375606.3,EQNE
2006-01-27,225.75,231.5,224.0,228.75,12729718,2901322622.21,EQNE
2006-01-30,231.04,231.07,215.0,216.0,17251930,3834886033.27,EQNE
2006-01-31,218.0,224.23,215.71,219.02,11737232,2573943451.57,EQNE
2006-02-01,219.5,223.99,215.0,223.99,8564735,1896390593.63,EQNE
2006-02-02,223.95,224.5,220.0,221.5,5446544,1207727949.28,EQNE
2006-02-03,218.8,221.3,217.01,221.01,5387994,1180806342.78,EQNE
2006-02-06,221.63,222.45,219.16,220.45,6375694,1408343441.83,EQNE
2006-02-07,220.0,220.7,218.2,220.5,8270432,1816702359.36,EQNE
2006-02-08,218.26,221.59,215.5,221.0,9434350,2069810233.74,EQNE
2006-02-09,221.49,224.8,220.5,222.0,9777969,2172431012.74,EQNE
2006-02-10,222.25,223.6,221.51,222.0,5918603,1315498260.91,EQNE
2006-02-13,221.98,222.0,218.57,219.95,7879015,1734636475.84,EQNE
2006-02-14,219.84,220.85,218.6,219.89,3791527,833822493.95,EQNE
2006-02-15,217.93,220.0,217.93,219.78,3549036,778234985.14,EQNE
2006-02-16,219.96,220.47,218.93,220.0,4514626,990871305.56,EQNE
2006-02-17,220.5,227.33,220.5,226.5,19229246,4324159516.84,EQNE
2006-02-20,227.57,229.99,227.37,228.2,8384036,1918321880.59,EQNE
2006-02-21,230.0,230.16,224.55,225.0,10824604,2450816781.98,EQNE
2006-02-22,225.1,226.5,224.11,225.38,6007484,1354150303.37,EQNE
2006-02-26,225.49,229.6,225.38,227.38,8903738,2025205879.84,EQNE
2006-02-27,227.78,228.2,225.05,225.21,9320121,2105518343.84,EQNE
2006-02-28,225.21,225.3,217.01,218.79,11439450,2532843844.97,EQNE
2006-03-01,219.0,220.5,214.6,217.98,11094561,2416459387.51,EQNE
2006-03-02,218.87,220.86,217.5,218.98,7795473,1707405471.68,EQNE
2006-03-03,220.0,228.9,220.0,228.9,28820558,6510258252.57,EQNE
2006-03-06,230.05,239.37,230.05,231.99,25733617,6058174916.53,EQNE
2006-03-07,230.5,230.5,221.97,223.86,18790992,4223578020.02,EQNE
2006-03-09,219.01,221.8,215.11,219.2,16448058,3596821938.21,EQNE
2006-03-10,219.8,221.88,216.3,217.11,12525170,2736046008.31,EQNE
2006-03-13,219.0,223.49,218.21,223.3,17030233,3771254789.95,EQNE
2006-03-14,224.83,225.55,218.22,220.35,15283417,3394026325.96,EQNE
2006-03-15,222.0,223.3,219.55,221.23,10883237,2412774930.64,EQNE
2006-03-16,221.43,223.0,219.4,220.7,7945604,1756452626.82,EQNE
2006-03-17,221.99,229.49,221.41,229.3,23128620,5232200853.49,EQNE
2006-03-20,230.0,232.2,224.5,225.75,17079872,3898432239.42,EQNE
2006-03-21,224.5,227.2,222.6,224.4,13182623,2965007304.38,EQNE
2006-03-22,225.5,225.6,223.7,225.19,6760618,1519027585.92,EQNE
2006-03-23,224.88,228.25,224.88,226.5,16576205,3758115936.27,EQNE
2006-03-24,226.6,229.91,225.55,229.9,11702463,2658697699.9,EQNE
2006-03-27,230.56,235.28,229.16,231.63,22916201,5333308619.49,EQNE
2006-03-28,231.63,232.0,227.79,228.45,12231229,2807079224.07,EQNE
2006-03-29,228.0,229.3,227.0,228.62,9397059,2144757121.42,EQNE
2006-03-30,230.0,231.49,229.5,230.4,16678143,3845990510.5,EQNE
2006-03-31,230.5,233.4,229.5,230.15,19236669,4444815713.52,EQNE
2006-04-03,230.99,232.2,230.1,230.5,9704037,2240322446.81,EQNE
2006-04-04,231.7,232.8,230.5,231.52,15160396,3510566120.18,EQNE
2006-04-05,232.0,240.7,231.55,238.5,30501089,7215028312.01,EQNE
2006-04-06,240.0,244.69,240.0,243.3,31903755,7733604785.8,EQNE
2006-04-07,240.85,251.0,240.85,250.29,45204163,11219912817.29,EQNE
2006-04-10,253.64,268.9,252.0,268.7,65493539,17161555386.77,EQNE
2006-04-11,270.01,275.42,262.4,262.5,66831457,17979977600.83,EQNE
2006-04-12,262.0,265.99,258.35,264.7,38992063,10226859457.75,EQNE
2006-04-13,266.07,266.7,259.81,263.49,29093190,7654708944.02,EQNE
2006-04-14,264.53,268.0,262.3,267.9,19565698,5179244762.05,EQNE
2006-04-17,269.0,271.48,267.53,269.45,33981140,9174033120.43,EQNE
2006-04-18,271.0,273.29,270.3,271.69,39555250,10748598330.43,EQNE
2006-04-19,273.35,278.3,273.35,278.29,51509915,14192526727.25,EQNE
2006-04-20,279.5,280.95,274.11,276.11,61824805,17213830567.05,EQNE
2006-04-21,275.0,280.4,273.3,280.19,32991840,9134806029.62,EQNE
2006-04-24,281.5,287.32,280.5,286.97,39985881,11382488687.22,EQNE
2006-04-25,285.0,289.22,283.69,285.0,30560159,8749199103.43,EQNE
2006-04-26,285.6,309.85,285.5,309.3,98647556,29470755333.16,EQNE
2006-04-27,312.0,325.4,297.0,304.7,93593427,29052952808.83,EQNE
2006-04-28,305.0,311.77,302.0,310.25,42900921,13204704275.92,EQNE
2006-05-02,315.0,323.05,315.0,320.3,36980676,11845568649.51,EQNE
2006-05-03,325.13,327.9,318.3,323.36,39795108,12848306161.07,EQNE
2006-05-04,321.89,332.49,320.3,332.48,57170522,18707921203.51,EQNE
2006-05-05,332.0,338.5,331.01,336.35,51563291,17322711270.7,EQNE
2006-05-06,337.98,350.79,337.1,350.25,39869234,13696662540.97,EQNE
2006-05-10,353.0,359.27,329.4,331.8,101044476,35010642793.55,EQNE
2006-05-11,335.0,346.7,311.0,334.92,130412456,42991891851.99,EQNE
2006-05-12,328.01,328.9,316.25,320.2,55476727,17815364772.53,EQNE
2006-05-15,314.0,316.49,296.01,301.99,79874855,24275180453.93,EQNE
2006-05-16,300.0,310.1,286.52,306.99,99973618,29875462689.49,EQNE
2006-05-17,310.0,315.99,290.03,292.2,94682915,29009234946.73,EQNE
2006-05-18,284.99,295.0,275.26,283.5,99385518,28272657796.27,EQNE
2006-05-19,287.0,291.0,273.07,273.5,53852766,15249009409.11,EQNE
2006-05-22,273.0,275.6,232.0,240.68,103919010,26466926155.94,EQNE
2006-05-23,248.0,269.8,229.54,267.0,132608501,33836141117.79,EQNE
2006-05-24,268.0,268.5,246.1,258.49,103109250,26457547672.34,EQNE
2006-05-25,254.01,275.65,251.15,272.4,104671194,27896427962.28,EQNE
2006-05-26,280.0,293.45,277.48,291.3,113378262,32510643957.74,EQNE
2006-05-29,296.0,300.79,281.5,282.49,89664823,26463267816.59,EQNE
2006-05-30,283.88,292.8,271.5,282.9,141762733,40123261307.66,EQNE
2006-05-31,272.13,295.1,270.0,283.0,134684524,38367940306.07,EQNE
2006-06-01,287.49,289.69,280.51,287.99,68846115,19706982892.81,EQNE
2006-06-02,292.0,302.0,292.0,298.9,91152825,27063011557.14,EQNE
2006-06-05,304.25,306.0,295.33,297.86,58811025,17600366949.07,EQNE
2006-06-06,289.7,290.94,276.5,277.66,66662656,18950197793.49,EQNE
2006-06-07,277.0,281.5,265.55,280.4,88882785,24389701174.3,EQNE
2006-06-08,268.45,269.5,251.22,251.5,92187770,23866764197.7,EQNE
2006-06-09,259.93,264.38,250.01,255.67,65303392,16752254274.01,EQNE
2006-06-13,239.0,243.5,226.4,228.0,66468479,15504305671.03,EQNE
2006-06-14,227.0,245.8,219.0,244.0,109212922,25033600295.36,EQNE
2006-06-15,250.0,258.6,246.15,257.88,78479541,19857583394.67,EQNE
2006-06-16,268.0,273.37,245.0,258.17,102419983,26639651650.94,EQNE
2006-06-19,258.0,269.45,252.23,259.99,63138498,16558814211.16,EQNE
2006-06-20,255.95,264.98,250.45,264.0,57599999,14900031337.71,EQNE
2006-06-21,265.0,268.45,255.53,264.0,61222244,16066362928.08,EQNE
2006-06-22,269.9,272.5,259.0,259.15,54188778,14454442965.85,EQNE
2006-06-23,259.67,262.59,256.5,260.0,31641356,8211028140.19,EQNE
2006-06-26,260.48,262.37,252.75,257.9,25042926,6442136684.66,EQNE
2006-06-27,260.24,268.85,257.33,266.22,46159786,12166426127.29,EQNE
2006-06-28,262.28,267.49,259.5,266.31,44203361,11644473082.92,EQNE
2006-06-29,268.5,276.75,264.5,275.5,66624517,18069802470.33,EQNE
2006-06-30,286.5,289.48,278.2,281.83,74464570,21184798078.28,EQNE
2006-07-03,283.56,286.67,282.0,285.65,33746291,9619918327.26,EQNE
2006-07-04,286.9,287.97,281.01,286.8,31216071,8895583630.6,EQNE
2006-07-05,285.5,285.83,271.5,273.21,42190688,11833435139.0,EQNE
2006-07-06,275.0,285.33,272.14,285.0,58249850,16194048461.48,EQNE
2006-07-07,285.0,285.45,275.02,277.85,55969281,15722251993.46,EQNE
2006-07-10,274.29,280.3,274.29,280.0,23701179,6593697244.9,EQNE
2006-07-11,279.0,280.85,273.6,274.55,25861566,7172041577.44,EQNE
2006-07-12,277.16,281.2,275.61,277.01,33239478,9250350112.22,EQNE
2006-07-13,275.0,277.39,259.22,261.6,67389730,17982785536.24,EQNE
2006-07-14,257.5,271.33,252.54,265.0,76760356,20113368151.42,EQNE
2006-07-17,261.51,264.0,254.5,258.12,35190411,9131362972.54,EQNE
2006-07-18,257.0,264.93,254.5,262.97,43166171,11192026281.73,EQNE
2006-07-19,263.5,271.84,257.9,271.2,44901065,11871391358.52,EQNE
2006-07-20,276.77,277.3,267.67,268.3,47245060,12940087407.0,EQNE
2006-07-21,267.0,269.13,264.5,266.88,30798464,8216097505.97,EQNE
2006-07-24,265.95,272.14,264.61,272.0,29632615,7959035389.55,EQNE
2006-07-25,275.0,275.0,269.5,269.77,36061136,9815036755.2,EQNE
