date,open,high,low,close,volume,value,board
2012-06-08,102.64,102.64,102.6,102.6,40,4104.8,EQLV
2012-07-10,102.62,102.62,102.62,102.62,15000,1539300,EQLV
2012-08-21,102.75,102.75,102.6,102.6,15000,1539750,EQLV
2012-09-03,102.75,102.75,102.6,102.6,15000,1539301.1,EQLV
2012-12-20,102.62,102.62,102.62,102.62,131560,13500687.2,EQNL
2013-03-27,102.62,102.62,102.62,102.62,48800,5007856,EQNL
2013-04-25,102.62,102.62,102.62,102.62,127000,13032740,EQNL
2013-09-26,103.15,103.15,103.15,103.15,100,10315,TQNL
2013-09-27,103.1,103.1,103.1,103.1,4850,500035,TQNL
2013-09-30,103.1,103.1,103.1,103.1,48500,5000350,TQNL
2013-12-30,111.7,111.7,111.7,111.7,161150,18000455,TQNL
2019-12-02,85.5,85.5,85.5,85.5,5000,427500,TQBR
2019-12-05,85.5,85.5,85,85.0,54808290,4659250295,TQBR
2022-11-25,88.5,88.5,88.5,88.5,10,885,TQBR
2023-11-30,1739,1739,1739,1739.0,10,17390,TQBR
