date,open,high,low,close,volume,value,board
2019-07-26,800,900,672.8,688.5,10362,7122079.6,TQBR
2019-07-29,685,690.7,678,689.0,2288,1574568.7,TQBR
2019-07-30,690.8,720,678.2,689.9,1263,872457.6,TQBR
2019-07-31,687.9,687.9,678.1,678.1,201,136770.3,TQBR
2019-08-01,678,679,672,672.2,1030,693306.8,TQBR
2019-08-02,672.2,677.4,672,672.0,1328,892720.3,TQBR
2019-08-05,672,672.5,658.6,672.0,1990,1337128,TQBR
2019-08-06,672,673.1,672,673.1,994,667980.5,TQBR
2019-08-07,672,672,672,672.0,153,102816,TQBR
2019-08-08,672.1,672.1,672,672.0,205,137760.4,TQBR
2019-08-09,672,684.8,672,684.8,155,106077.5,TQBR
2019-08-12,665,684.8,665,684.8,161,110167.2,TQBR
2019-08-13,672.5,685.4,672.5,685.4,27,18492.9,TQBR
2019-08-14,684.5,684.6,673.1,673.1,359,244911.3,TQBR
2019-08-15,684.8,684.8,673.2,673.2,36,24316.4,TQBR
2019-08-16,673.2,684.8,673.1,673.1,205,138010,TQBR
2019-08-19,673.1,673.1,672,672.1,500,336160.1,TQBR
2019-08-20,673.1,679.9,672,679.9,761,511499,TQBR
2019-08-21,673.3,839,673.3,684.5,1763,1231723.2,TQBR
2019-08-22,685,705.6,684.6,686.8,972,666520.6,TQBR
2019-08-23,683.4,686,683.4,686.0,4,2739.1,TQBR
2019-08-26,686.4,686.5,680,684.9,398,272584.4,TQBR
2019-08-27,685,685,411.6,680.0,3009,2029640.6,TQBR
2019-08-28,679.6,680,410,672.0,2077,1272688,TQBR
2019-08-29,674.8,675,674.7,675.0,198,133642,TQBR
2019-08-30,675.1,675.1,672,675.0,66,44402.6,TQBR
2019-09-02,672.1,679.1,672,672.6,533,359697.5,TQBR
2019-09-03,679.2,679.8,672.2,679.8,522,354841.8,TQBR
2019-09-04,672.1,679.8,672,679.8,428,290938.8,TQBR
2019-09-05,672.1,679.8,672,676.0,1843,1244261,TQBR
2019-09-06,672.1,678.1,672,678.0,233,156636.1,TQBR
2019-09-09,678,678,658.9,658.9,68,46081.2,TQBR
2019-09-10,672,677,672,677.0,24,16172.5,TQBR
2019-09-11,673.1,677,673,677.0,25,16865,TQBR
2019-09-12,677,677,672,675.0,27,18229.1,TQBR
2019-09-13,672.1,677,672,676.2,59,39904.4,TQBR
2019-09-16,675,675.1,675,675.0,19,12825.2,TQBR
2019-09-17,675.8,677,675.8,677.0,190,128568.3,TQBR
2019-09-18,677,677,672,677.0,528,357101.9,TQBR
2019-09-19,677,677,673.2,673.2,235,159080,TQBR
2019-09-20,676.9,677,676.9,677.0,13,8800.8,TQBR
2019-09-23,677,677,672.2,677.0,252,170422,TQBR
2019-09-24,672,672,643,646.3,897,582896.5,TQBR
2019-09-25,666,668,645,665.9,181,117913.2,TQBR
2019-09-26,646.4,646.4,639,646.3,1156,746877.1,TQBR
2019-09-27,646.2,646.3,632.9,633.4,3636,2323297,TQBR
2019-09-30,632,646.2,625,645.0,993,634554.9,TQBR
2019-10-01,639.1,646,632,639.0,1441,920947.5,TQBR
2019-10-02,644.9,644.9,639,639.0,45,28782.7,TQBR
2019-10-03,640,640,635.1,639.0,29,18520.4,TQBR
2019-10-04,640,640,633,639.9,76,48525.7,TQBR
2019-10-07,639.9,639.9,639,639.0,221,141263.1,TQBR
2019-10-08,641,646,641,646.0,8,5162.4,TQBR
2019-10-09,648,648,641,641.0,38,24398.8,TQBR
2019-10-10,648.4,648.4,641.1,641.8,20,12848.9,TQBR
2019-10-11,642.1,651.5,642,651.0,286,186062.4,TQBR
2019-10-14,645.1,653.5,645.1,653.3,103,67201.8,TQBR
2019-10-15,653.3,658.5,651,651.0,1196,782573.7,TQBR
2019-10-16,659.4,662.5,655.5,655.5,363,239675.4,TQBR
2019-10-17,655.4,663.9,655.4,656.1,2556,1675468.3,TQBR
2019-10-18,660,664,657,662.0,5100,3351884.8,TQBR
2019-10-21,663,663,661.1,661.3,43,28467,TQBR
2019-10-22,665,673,662,671.3,2984,1976980.9,TQBR
2019-10-23,672.9,673,672.9,673.0,127,85470.2,TQBR
2019-10-24,666.1,666.1,666,666.1,294,195804.9,TQBR
2019-10-25,672.9,673,668.1,672.8,53,35663.2,TQBR
2019-10-28,669.1,672,669.1,670.0,285,190995.7,TQBR
2019-10-29,672,672,671,672.0,3601,2417639.9,TQBR
2019-10-30,675,675,672,672.0,51,34414.2,TQBR
2019-10-31,672,679.6,440,675.0,3433,2297424.5,TQBR
2019-11-01,679.5,679.5,675,676.0,1041,706023.5,TQBR
2019-11-05,678.5,679,677,678.0,165,111812.5,TQBR
2019-11-06,679,683,679,682.5,3490,2373183.5,TQBR
2019-11-07,681.5,683,672,682.0,4684,3190430.5,TQBR
2019-11-08,683,687,683,687.0,3129,2138747.5,TQBR
2019-11-11,686.5,686.5,685,686.5,10023,6865770,TQBR
2019-11-12,686.5,694,686,694.0,1014,696628.5,TQBR
2019-11-13,696,700.5,695,700.5,1163,811431,TQBR
2019-11-14,702.5,705,701,703.0,482,338923,TQBR
2019-11-15,704.5,704.5,692,703.5,2227,1542249,TQBR
2019-11-18,704.5,737,704.5,724.0,26328,18730642.5,TQBR
2019-11-19,724,724,710.5,719.0,4893,3513317.5,TQBR
2019-11-20,719,719,712,712.0,1074,772199,TQBR
2019-11-21,719,729.5,713.5,729.5,6968,5038332,TQBR
2019-11-22,715.5,730,715,716.0,668,478478,TQBR
2019-11-25,729.5,730,717,718.0,3351,2405842,TQBR
2019-11-26,729.5,729.5,719,720.0,5057,3641187.5,TQBR
2019-11-27,729.5,735,716.5,716.5,3528,2574767.5,TQBR
2019-11-28,719,724.5,716.5,716.5,27,19401,TQBR
2019-11-29,718.5,720,716.5,719.5,2372,1702085.5,TQBR
2019-12-02,726,726.5,720,726.5,1127,818719,TQBR
2019-12-03,726.5,733.5,722.5,733.0,2225,1625990.5,TQBR
2019-12-04,726.5,726.5,722.5,723.5,5951,4307836.5,TQBR
2019-12-05,726.5,726.5,725.5,725.5,1193,865524.5,TQBR
2019-12-06,726.5,738.5,726.5,728.0,1413,1030233.5,TQBR
2019-12-09,727.5,737,727.5,730.0,2184,1599380,TQBR
2019-12-10,730,737,729,729.5,851,620695.5,TQBR
2019-12-11,730.5,736.5,730,731.5,1461,1066619.5,TQBR
2019-12-12,736.5,736.5,735,736.0,130,95681.5,TQBR
2019-12-13,736,737,734,736.0,2298,1688725.5,TQBR
2019-12-16,716,747.5,716,747.0,692,515686,TQBR
2019-12-17,747,752,740,752.0,6725,5049170,TQBR
2019-12-18,742.5,757.5,742.5,757.5,2842,2142541.5,TQBR
2019-12-19,764,764,750.5,759.0,1791,1358519.5,TQBR
2019-12-20,759.5,762.5,759,762.5,1003,761942.5,TQBR
2019-12-23,748.5,762.5,747.5,760.0,1519,1155793.5,TQBR
2019-12-24,750,766.5,750,757.5,3857,2950332.5,TQBR
2019-12-25,752.5,767.5,752.5,761.5,3230,2478369,TQBR
2019-12-26,761.5,772,760,772.0,3073,2360159.5,TQBR
2019-12-27,762,767.5,752,760.5,1027,781468,TQBR
2019-12-30,752,767,752,761.5,721,548125.5,TQBR
2020-01-03,761,767.5,761,761.0,128,97437.5,TQBR
2020-01-06,767.5,767.5,759,760.0,35,26608.5,TQBR
